date,open,high,low,close,volume,amount
2026-01-09,1.56,1.847,1.555,1.8,5294306440.0,9246537028.0
2026-01-16,1.805,1.98,1.756,1.964,6457589776.0,12009377536.0
2026-01-23,1.984,1.992,1.869,1.946,6201878694.0,11976851304.0
2026-01-30,1.925,1.941,1.789,1.841,5902620341.0,11085859306.0
2026-02-06,1.818,1.823,1.734,1.786,4321921179.0,7709549281.0
2026-02-13,1.822,1.861,1.792,1.832,2831973122.0,5162861085.0
2026-02-27,1.854,1.965,1.795,1.905,3315543777.0,6279335932.0
2026-03-06,1.855,1.915,1.74,1.769,3857201448.0,6975209068.0
2026-03-13,1.707,1.773,1.665,1.697,3659648809.0,6308357108.0
2026-03-20,1.691,1.728,1.652,1.66,3570411387.0,6029496590.0
2026-03-27,1.631,1.68,1.57,1.66,3377700903.0,5500636083.0
2026-04-03,1.624,1.71,1.592,1.604,3082246713.0,5083453322.0
2026-04-10,1.612,1.798,1.606,1.77,3466539916.0,5989423341.0
2026-04-17,1.75,1.824,1.742,1.798,3511805349.0,6270686901.0
2026-04-24,1.778,1.86,1.764,1.838,4055458195.0,7370785421.0
2026-04-30,1.86,2.03,1.85,2.01,4145425996.5,8081761113.0
2026-05-08,2.074,2.146,2.034,2.058,2523152134.5,5236829919.0
2026-05-15,2.094,2.5,2.09,2.388,5838072153.5,13304561848.0
2026-05-22,2.416,2.8,2.342,2.564,8658353053.5,22097093155.0
2026-05-29,2.534,2.746,2.38,2.416,7197388679.0,18469606528.6
2026-06-05,2.39,2.502,2.266,2.41,5510533894.5,13130631296.7
2026-06-12,2.29,2.874,2.288,2.646,5880071360.0,15145000124.5
2026-06-18,2.682,3.068,2.586,3.042,4267948275.5,12188002238.5
2026-06-26,3.096,3.576,3.02,3.524,6915215711.5,22688763577.0
2026-07-03,3.58,4.212,3.366,3.46,11181310255.5,41915592526.7
2026-07-10,3.51,4.0138916,3.3,3.6180995,11429172517.67274,41485375182.8
2026-07-17,3.4901667,3.7060533,2.7745425999999997,2.8025279,10975384254.733734,35618033149.1
2026-07-24,2.8744901,3.1503452000000003,2.518677,2.9664418,10986225982.140625,31583882929.5
2026-07-31,2.9224649,3.0983725,2.558656,2.6785930000000002,11130232831.986794,31514380580.2
2026-08-07,2.5986350000000003,2.9664418,2.4147316,2.9504502,10684603361.264664,28669566640.4
2026-08-14,2.9744376,3.0863788,2.9024753999999997,2.9664418,7176174173.441056,21534957579.2
2026-08-21,2.9624439,3.1943221000000004,2.8824859,2.9144691,7306711071.562571,22089364176.600002
2026-08-28,2.918467,2.9864313,2.7265678,2.8824859,6001689630.556042,17269955671.5
2026-09-02,2.8145216,2.8984775,2.7105762,2.7345636000000004,2827202924.535381,7907349004.299999
