date,open,high,low,close,volume,amount
2025-01-02,1.01,1.013,0.969,0.98,1746919189.0,1726955353.0
2025-01-03,0.98,0.987,0.964,0.966,1081340423.0,1054857377.0000001
2025-01-06,0.965,0.973,0.953,0.962,826670571.0,795643282.0
2025-01-07,0.963,0.99,0.96,0.99,993234911.0,967670096.0
2025-01-08,0.98,1.0,0.96,0.99,1029262136.9999999,1010899967.0
2025-01-09,0.984,0.996,0.983,0.986,609546570.0,603561515.0
2025-01-10,0.983,1.004,0.974,0.975,1124216221.0,1115234281.0
2025-01-13,0.961,0.978,0.96,0.975,670729386.0,649795783.0
2025-01-14,0.98,1.008,0.97,1.005,1637676978.0,1629928370.0
2025-01-15,1.002,1.013,0.995,1.002,661601588.0,663927969.0
2025-01-16,1.007,1.016,0.978,0.981,1478278834.0,1467835888.0
2025-01-17,0.974,1.001,0.971,0.989,897921778.9999999,886008039.0
2025-01-20,0.996,1.001,0.986,0.991,713967543.0,709851679.0
2025-01-21,0.996,1.004,0.988,1.0,812675192.0,810144285.0
2025-01-22,0.996,1.004,0.991,1.0,1166403001.0,1163792170.0
2025-01-23,1.01,1.019,0.99,0.991,1043286027.0,1047317676.0
2025-01-24,0.991,1.004,0.99,0.999,1013040856.0,1010976054.0
2025-01-27,1.0,1.0,0.978,0.98,977661039.0,966455887.0
2025-02-05,1.007,1.013,0.997,1.006,1408569493.0,1416423550.0
2025-02-06,1.0,1.037,0.999,1.035,1340065926.0,1371989126.0
2025-02-07,1.033,1.06,1.027,1.043,1487443767.0,1555357834.0
2025-02-10,1.045,1.063,1.043,1.062,1269377480.0,1337939628.0
2025-02-11,1.06,1.063,1.043,1.049,1052791916.0,1106293874.0
2025-02-12,1.049,1.067,1.046,1.066,976936221.0000001,1032633794.0
2025-02-13,1.065,1.067,1.04,1.041,989234477.9999999,1041475456.0
2025-02-14,1.036,1.049,1.032,1.047,1129098105.0,1176249394.0
2025-02-17,1.051,1.065,1.051,1.062,1271731984.0,1346628620.0
2025-02-18,1.061,1.062,1.032,1.035,923055325.0,967029374.0
2025-02-19,1.037,1.06,1.035,1.06,935779590.0,984491827.0
2025-02-20,1.057,1.066,1.051,1.058,839695767.0,889226743.0
2025-02-21,1.064,1.126,1.063,1.122,2503540747.0,2756418602.0
2025-02-24,1.122,1.137,1.11,1.128,2019531503.0,2274989116.0
2025-02-25,1.109,1.147,1.106,1.129,1366158466.0,1538814534.0
2025-02-26,1.131,1.157,1.12,1.155,1397255694.0,1599612992.0
2025-02-27,1.155,1.169,1.128,1.154,1209034725.0,1387524127.0
2025-02-28,1.144,1.152,1.101,1.104,1641704538.0,1839990545.0
2025-03-03,1.104,1.114,1.081,1.088,1001924630.0000001,1098414343.0
2025-03-04,1.078,1.115,1.076,1.107,1060775957.0,1164476810.0
2025-03-05,1.106,1.117,1.097,1.111,737506953.0,816690661.0
2025-03-06,1.123,1.154,1.123,1.15,1186930411.0,1357221677.0
2025-03-07,1.142,1.15,1.13,1.136,1125222432.0,1284117571.0
2025-03-10,1.131,1.139,1.115,1.133,756858914.0,853278740.0
2025-03-11,1.113,1.129,1.111,1.126,797084782.0,893274892.0
2025-03-12,1.133,1.138,1.119,1.119,700825620.0,792036949.0
2025-03-13,1.116,1.121,1.089,1.095,830412837.0,914838841.0
2025-03-14,1.095,1.115,1.093,1.115,839313955.0000001,929278406.0
2025-03-17,1.12,1.12,1.103,1.109,720106838.0,798092252.0
2025-03-18,1.114,1.129,1.112,1.115,510155562.0,571240491.0
2025-03-19,1.111,1.115,1.1,1.102,604641131.0,668071304.0
2025-03-20,1.102,1.103,1.088,1.089,729617013.0,798555928.0
2025-03-21,1.086,1.09,1.06,1.066,1009186135.0,1080928601.0
2025-03-24,1.064,1.071,1.053,1.071,614626984.0,653987179.0
2025-03-25,1.069,1.073,1.052,1.058,728651926.0,772068906.0
2025-03-26,1.058,1.065,1.052,1.054,641365344.0,678242429.0
2025-03-27,1.052,1.077,1.049,1.063,660701419.0,702654025.0
2025-03-28,1.062,1.068,1.053,1.055,511008454.0,540801527.0
2025-03-31,1.05,1.055,1.035,1.046,622368522.0,649667479.0
