date,open,high,low,close,volume,amount
2025-01-02,1.003,1.005,0.966,0.974,3701130650.0,3655642738.0
2025-01-03,0.973,0.978,0.958,0.961,3716577760.0,3606030159.0
2025-01-06,0.962,0.963,0.951,0.957,3548745803.0,3399535779.0
2025-01-07,0.959,0.966,0.954,0.966,3433547813.0000005,3295221450.0
2025-01-08,0.963,0.971,0.947,0.964,3353431062.0,3215724576.0
2025-01-09,0.961,0.967,0.96,0.963,3273652626.0,3155875344.0
2025-01-10,0.961,0.966,0.951,0.953,3566387079.9999995,3421980793.0
2025-01-13,0.945,0.954,0.944,0.949,3455763400.0,3276673907.0
2025-01-14,0.95,0.978,0.948,0.976,3505418414.0,3374174942.0
2025-01-15,0.973,0.974,0.967,0.969,3286806142.0,3190734627.0
2025-01-16,0.971,0.984,0.964,0.971,3409580958.0,3315844444.0
2025-01-17,0.97,0.981,0.966,0.976,3419094634.0000005,3326853776.0
2025-01-20,0.981,0.988,0.976,0.979,3354225726.0,3295268068.0
2025-01-21,0.982,0.985,0.975,0.98,2838839009.0,2779600388.0
2025-01-22,0.98,0.98,0.967,0.972,2859174571.0,2776252295.0
2025-01-23,0.979,0.991,0.971,0.972,2957865758.0,2900816948.0
2025-01-24,0.97,0.985,0.97,0.982,2883420036.0,2820752363.0
2025-01-27,0.987,0.987,0.976,0.977,2641493010.0,2590064806.0
2025-02-05,0.981,0.983,0.969,0.972,2772807165.0,2701082676.0
2025-02-06,0.971,0.989,0.971,0.989,3007706561.0,2950602953.0
2025-02-07,0.988,1.011,0.986,1.004,3130013675.0,3130357308.0
2025-02-10,1.006,1.01,1.001,1.009,3573520153.0,3593215079.0
2025-02-11,1.009,1.009,0.999,1.004,2932167950.0,2941211942.0
2025-02-12,1.002,1.015,0.998,1.013,3414059813.0000005,3430659080.0
2025-02-13,1.011,1.018,1.008,1.01,3257478410.0,3298914710.0
2025-02-14,1.009,1.02,1.008,1.017,3419515793.0,3465719288.0
2025-02-17,1.02,1.023,1.012,1.02,3483373771.0,3544733170.0
2025-02-18,1.019,1.023,1.006,1.01,3699822833.0,3768807540.0
2025-02-19,1.009,1.02,1.007,1.018,3250582483.0,3296482592.0
2025-02-20,1.017,1.02,1.012,1.016,3333708100.0,3386239487.0
2025-02-21,1.017,1.033,1.016,1.031,3027144687.0,3103409605.0
2025-02-24,1.033,1.035,1.022,1.028,3437656332.0,3539466186.0
2025-02-25,1.023,1.027,1.015,1.019,3037572031.0,3104276154.0
2025-02-26,1.018,1.028,1.018,1.028,3382988489.0,3460778949.0
2025-02-27,1.028,1.03,1.017,1.028,3107571610.0,3177255217.0
2025-02-28,1.026,1.026,1.002,1.006,3439047099.0,3493854042.0
2025-03-03,1.007,1.017,1.0,1.005,3094409857.0,3123389744.0
2025-03-04,1.003,1.006,0.996,1.004,3087046442.0,3092530107.0
2025-03-05,1.006,1.01,1.001,1.009,3306961192.0,3322433422.0
2025-03-06,1.011,1.027,1.011,1.024,3079055925.0,3142701241.0
2025-03-07,1.021,1.029,1.019,1.022,3070238310.0,3143189933.0
2025-03-10,1.02,1.023,1.012,1.019,2530715461.0,2570434666.0
2025-03-11,1.014,1.021,1.008,1.021,2373844775.0,2409125372.0
2025-03-12,1.021,1.027,1.016,1.02,2630887585.0,2686285407.0
2025-03-13,1.018,1.021,1.008,1.013,2811951840.0,2852252918.0
2025-03-14,1.012,1.038,1.012,1.035,2763102054.0,2843687660.0
2025-03-17,1.037,1.039,1.032,1.033,2658396874.0,2751985101.0
2025-03-18,1.035,1.041,1.034,1.039,3190393679.0,3309401563.0
2025-03-19,1.039,1.041,1.031,1.036,2893313622.0,2998676815.0
2025-03-20,1.036,1.036,1.026,1.028,2964106802.0,3055781289.0
2025-03-21,1.025,1.029,1.008,1.012,3082541403.0,3141728704.0
2025-03-24,1.012,1.017,1.006,1.014,3219439647.0,3259743600.0
2025-03-25,1.014,1.018,1.01,1.015,2955319332.0,2996361602.0
2025-03-26,1.013,1.017,1.01,1.011,3040999835.0,3080182587.0
2025-03-27,1.012,1.02,1.004,1.013,3466427189.0,3513327672.0
2025-03-28,1.013,1.014,1.006,1.009,3355276616.0,3388125703.0
2025-03-31,1.006,1.011,0.994,1.001,3597321109.0000005,3602206292.0
2025-04-01,1.0,1.007,0.999,1.002,3045310016.0,3053895981.0
2025-04-02,1.002,1.005,0.998,1.001,3074857104.0,3079894807.0
2025-04-03,0.995,1.0,0.989,0.993,3349675682.0,3328834896.0
2025-04-07,0.957,0.957,0.894,0.899,3585919028.0,3304436512.0
2025-04-08,0.91,0.925,0.909,0.923,2427685233.0,2225211947.0
2025-04-09,0.915,0.94,0.906,0.936,2226237298.0,2065611723.0
2025-04-10,0.947,0.961,0.947,0.953,3053822312.0,2913231544.0
2025-04-11,0.952,0.963,0.947,0.958,2648462011.0,2527051587.0
2025-04-14,0.962,0.967,0.96,0.961,2760009700.0,2657832828.0
2025-04-15,0.96,0.961,0.955,0.96,2790578313.0,2672029248.0
2025-04-16,0.959,0.962,0.949,0.961,2881049400.0,2745906233.0
2025-04-17,0.956,0.965,0.956,0.96,3088862367.0,2969004569.0
2025-04-18,0.96,0.963,0.956,0.963,2955046845.0,2832016240.0
2025-04-21,0.962,0.969,0.959,0.967,2878966358.0,2781120945.0
2025-04-22,0.967,0.971,0.966,0.967,2739973091.0,2652438190.0
2025-04-23,0.969,0.974,0.966,0.97,3030591621.0,2938237831.0
2025-04-24,0.97,0.974,0.963,0.968,2894506213.0,2802872562.0
2025-04-25,0.968,0.973,0.967,0.968,2787336703.0,2703188473.0
2025-04-28,0.97,0.97,0.963,0.966,3139238723.0,3035060043.0
2025-04-29,0.966,0.969,0.962,0.965,2199711736.0,2124246589.0000002
2025-04-30,0.965,0.971,0.965,0.967,2708429736.0,2621497553.0
2025-05-06,0.971,0.98,0.97,0.979,2534577200.0,2477026811.0
2025-05-07,0.99,0.995,0.98,0.984,2535630500.0,2494308561.0
2025-05-08,0.983,0.995,0.981,0.991,2489456681.0,2465361102.0
2025-05-09,0.989,0.99,0.984,0.987,2250080827.0,2220256404.0
2025-05-12,0.99,1.0,0.99,0.999,2468902957.0,2458851742.0
2025-05-13,1.005,1.006,0.998,1.0,2170216580.0,2170677549.0
2025-05-14,1.0,1.014,0.998,1.009,2499944776.0,2506708011.0
2025-05-15,1.01,1.01,0.997,1.0,2038382000.0,2041763854.0
2025-05-16,0.998,1.0,0.992,0.996,2274375004.0,2264244844.0
2025-05-19,0.996,0.996,0.988,0.995,1962360300.0,1945680441.0
2025-05-20,0.993,1.002,0.992,1.0,2041294800.0,2034063581.0
2025-05-21,0.998,1.006,0.998,1.004,2091804959.0,2099343437.0
2025-05-22,1.004,1.005,1.0,1.002,2124615700.0,2129748958.9999998
2025-05-23,1.001,1.007,0.993,0.995,2373771329.0,2379817959.0
2025-05-26,0.995,0.997,0.986,0.99,2195622800.0,2175035852.0
2025-05-27,0.99,0.99,0.982,0.985,2272251254.0,2238966533.0
2025-05-28,0.986,0.987,0.982,0.983,1861122448.0,1831047478.0
2025-05-29,0.983,0.994,0.981,0.991,1795230307.9999998,1775028513.0
2025-05-30,0.99,0.99,0.981,0.987,2092272000.0,2061354837.0
2025-06-03,0.986,0.99,0.982,0.986,2025639527.0,1998734847.0
2025-06-04,0.987,0.993,0.986,0.991,1963011048.0,1945310390.0
2025-06-05,0.991,0.997,0.988,0.994,2128470670.0,2110952328.0000002
2025-06-06,0.994,0.998,0.992,0.995,1912753300.0,1901850973.0
2025-06-09,0.995,1.002,0.994,0.997,1943447346.0,1940607461.0
2025-06-10,0.997,1.0,0.987,0.993,2035643412.0,2025379763.0
