date,open,high,low,close,volume,amount
2025-01-03,1.041,1.056,0.964,0.966,4592823416.0,4608878200.0
2025-01-10,0.965,1.004,0.953,0.975,4582930410.0,4493009141.0
2025-01-17,0.961,1.016,0.96,0.989,5346208565.0,5297496049.0
2025-01-24,0.996,1.019,0.986,0.999,4749372619.0,4742081864.0
2025-01-27,1.0,1.0,0.978,0.98,977661039.0,966455887.0
2025-02-07,1.007,1.06,0.997,1.043,4236079186.0,4343770510.0
2025-02-14,1.045,1.067,1.032,1.047,5417438200.0,5694592146.0
2025-02-21,1.051,1.126,1.032,1.122,6473803413.0,6943795166.0
2025-02-28,1.122,1.169,1.101,1.104,7633684926.0,8640931314.0
2025-03-07,1.104,1.154,1.076,1.136,5112360383.0,5720921062.0
2025-03-14,1.131,1.139,1.089,1.115,3924496108.0,4382707828.0
2025-03-21,1.12,1.129,1.06,1.066,3573706679.0,3916888576.0
2025-03-28,1.064,1.077,1.049,1.055,3156354127.0,3347754066.0
2025-04-03,1.05,1.061,1.032,1.042,2046230790.0,2140448484.0
2025-04-11,0.999,1.05,0.897,1.035,10867894909.0,10603219554.0
2025-04-18,1.045,1.049,1.018,1.032,2978847812.0,3075471218.0
2025-04-25,1.034,1.048,1.02,1.027,2147232410.0,2222968344.0
2025-04-30,1.027,1.037,1.016,1.036,1317635843.0,1354185345.0
2025-05-09,1.04,1.069,1.03,1.031,2494224761.0,2610806951.0
2025-05-16,1.034,1.044,1.014,1.017,2587930809.0,2667686707.0
2025-05-23,1.017,1.025,1.003,1.004,1740240694.0,1767121205.0
2025-05-30,1.006,1.014,0.997,1.005,2019181729.0,2029895184.0
2025-06-06,1.002,1.026,1.002,1.021,1504047935.0,1528287802.0
2025-06-13,1.02,1.031,0.991,0.997,2480134231.0,2499377860.0
2025-06-20,0.995,0.999,0.981,0.982,2279854162.0,2256077582.0
2025-06-27,0.979,1.03,0.976,1.013,3651329826.0,3683353912.0
2025-07-04,1.016,1.029,1.001,1.01,2860195773.0,2905123712.0
2025-07-11,1.009,1.025,1.002,1.02,3014045864.0,3051623930.0
2025-07-18,1.022,1.039,1.012,1.033,3462419651.0,3548090425.0
2025-07-25,1.034,1.087,1.03,1.082,4639359071.0,4876237934.0
2025-08-01,1.083,1.102,1.056,1.064,4862745874.0,5268580509.0
2025-08-08,1.059,1.097,1.059,1.07,2970030990.0,3205214541.0
2025-08-15,1.07,1.139,1.07,1.131,5052550173.0,5601389054.0
2025-08-22,1.142,1.296,1.134,1.295,6985415454.0,8340969642.0
2025-08-29,1.315,1.405,1.285,1.381,13371226274.0,17859250433.0
2025-09-05,1.388,1.41,1.228,1.296,8478160076.0,11184938738.0
2025-09-12,1.295,1.398,1.271,1.372,5936640603.0,7844402328.0
2025-09-19,1.396,1.47,1.366,1.398,5976577554.0,8407714827.0
2025-09-26,1.392,1.525,1.386,1.493,6213181682.0,9107556442.0
2025-09-30,1.492,1.546,1.462,1.537,2013929515.0,3041242255.0
2025-10-10,1.57,1.631,1.484,1.498,3044830853.0,4724074591.0
2025-10-17,1.441,1.529,1.3954054,1.4014636,7407386760.082301,10826645155.0
2025-10-24,1.4216576,1.5064724,1.3943957,1.5014239000000003,5130861848.073685,7380997692.0
2025-10-31,1.5276760999999999,1.5357536999999999,1.453968,1.4559874,4693001963.949688,7068272032.0
2025-11-07,1.4418516,1.4812299000000002,1.3964151,1.4559874,3511499382.985045,5056169101.0
2025-11-14,1.4590165000000002,1.4701232,1.3994442,1.4004539,3213818980.8854113,4580193464.0
2025-11-21,1.3964151,1.4145897,1.3176585,1.3206876,4202322607.705259,5756310298.0
2025-11-28,1.3257361,1.3883375,1.3075615,1.3630950000000002,4585692292.760225,6184909258.0
2025-12-05,1.3641047,1.3792502000000002,1.3307846,1.3641047,3393788346.043379,4601593523.0
2025-12-12,1.3651144000000002,1.3984345,1.3499689,1.3853084000000002,4534902955.333267,6244703054.0
2025-12-19,1.3742017,1.3822793,1.322707,1.3489592000000001,3367529239.3780327,4548262361.0
2025-12-26,1.3560271,1.3964151,1.3529980000000001,1.3873278000000002,3467144724.1754975,4791870039.0
2025-12-31,1.3863181,1.4075218,1.3812696000000002,1.3853084000000002,2002940549.6682181,2795264894.0
