object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,weights
weight,structure,delta=-0.05,2021,0.0029406556554447683,0.023519609693086307,0.02057895403764154,0.13294054781997158,0.2662152120244899,0.1332746642045183,1.0,29,0.6460905349794238,-0.20418471760463408,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2022,-0.07098337536211052,-0.05310347005715921,0.017879905304951316,-0.3925555936985177,-0.26902236548799724,0.12353322821052048,0.5766137377610969,23,0.5206611570247934,-0.167370458417332,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2023,-0.06031910763728798,-0.04675800663839513,0.01356110099889285,-0.3898777490492146,-0.2864177072543868,0.10346004179482776,0.48629458714173723,27,0.6074380165289256,-0.17257052948893048,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2024,0.06821503071757551,0.07619129808244685,0.007976267364871337,0.429718323504386,0.4534348009354132,0.023716477431027227,1.0,29,0.512396694214876,-0.18357160128619632,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2025,0.5165797353772803,0.41893582766702253,-0.09764390771025777,2.1935321360904703,1.8978589384532008,-0.2956731976372695,0.5222088815815575,19,0.6995884773662552,-0.14393100149378024,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2021H1,0.24893799167194453,0.24893799167194453,0.0,3.071835242807882,3.071835242807882,0.0,0.0,5,0.6440677966101694,-0.070445854346318,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2021H2,-0.19785984963082448,-0.1814010440244196,0.01645880560640489,-2.7932256547119008,-2.546124503058154,0.2471011516537467,1.0,25,0.648,-0.20418471760463353,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2022H1,-0.06477702515250938,-0.06477702515250938,0.0,-0.7230789850675907,-0.7230789850675907,0.0,0.0,13,0.5299145299145299,-0.167370458417332,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2022H2,-0.004512956055262585,0.014646242613518545,0.01915919866878113,0.027823439228323324,0.3187889314805502,0.2909654922522269,0.576613737761093,11,0.512,-0.0933038322947507,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2023H1,0.0509484040161825,0.047771944003002,-0.0031764600131805043,0.7678236149964333,0.7356459088063126,-0.032177706190120614,0.856391837660477,15,0.7711864406779662,-0.0913757241448695,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2023H2,-0.10632026926329408,-0.09067463009527132,0.01564563916802275,-2.295242649962902,-1.9812227702963539,0.3140198796665483,1.0,13,0.45161290322580644,-0.10075410793620887,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
