window,total_return,max_drawdown,sharpe,trade_count,exposure,start,end,strategy_return,buyhold_return,excess_return,target_return,target_margin,pass,status,turnover,mean_mfe,mean_mae
2021,0.0029406556554448324,-0.22018543313931405,0.13294054781997158,31,0.6584362139917695,2021-01-04,2021-12-31,0.0029406556554447683,0.01147453052895675,-0.008533874873511982,,,,N/A,33.148229155834485,0.0388414900607674,-0.033274665264646064
2022,-0.07098337536211091,-0.167370458417332,-0.3925555936985177,27,0.5454545454545454,2022-01-04,2022-12-30,-0.07098337536211052,-0.31253885252495706,0.24155547716284653,,,,N/A,24.701326172287143,0.044511139471126906,-0.034571731571857826
2023,-0.06031910763728747,-0.19033050155566777,-0.3898777490492146,29,0.6570247933884298,2023-01-03,2023-12-29,-0.06031910763728798,-0.11695621287633784,0.056637105239049856,,,,N/A,29.16469975743681,0.03714591459043099,-0.022157212014741783
2024,0.06821503071757569,-0.18357160128619643,0.429718323504386,31,0.5289256198347108,2024-01-02,2024-12-31,0.06821503071757551,0.1622629052446256,-0.0940478745270501,,,,N/A,29.997551963898545,0.06969373910118387,-0.0361896037066284
2025,0.5165797353772801,-0.12500239103219846,2.1935321360904703,23,0.720164609053498,2025-01-02,2025-12-31,0.5165797353772803,0.3709070217366566,0.14567271364062373,,,,N/A,28.419161188755712,0.08524639894675991,-0.02482559415824991
2021H1,0.2489379916719445,-0.070445854346318,3.071835242807882,5,0.6440677966101694,2021-01-04,2021-06-30,0.24893799167194453,0.14530472607248157,0.10363326559946295,,,,N/A,5.001276796564144,0.05410528756832256,-0.025624037686294565
2021H2,-0.19785984963082512,-0.22018543313931405,-2.7932256547119008,27,0.672,2021-07-01,2021-12-31,-0.19785984963082448,-0.11783505911457293,-0.08002479051625155,,,,N/A,23.51110197883679,0.01614344487397096,-0.03668602435271965
2022H1,-0.06477702515250956,-0.167370458417332,-0.7230789850675907,13,0.5299145299145299,2022-01-04,2022-06-30,-0.06477702515250938,-0.20597192692852184,0.14119490177601246,,,,N/A,11.727584638151045,0.04875794697738115,-0.04847017176977956
2022H2,-0.004512956055262708,-0.09410443425020654,0.027823439228323324,15,0.56,2022-07-01,2022-12-30,-0.004512956055262585,-0.132359941401331,0.12784698534606842,,,,N/A,14.901502933362313,0.03801911536974661,-0.02509292297358869
2023H1,0.05094840401618252,-0.09040812622954864,0.7678236149964333,15,0.847457627118644,2023-01-03,2023-06-30,0.0509484040161825,0.04304484029515154,0.00790356372103096,,,,N/A,15.52582508018398,0.04323581066249787,-0.01687892386729744
2023H2,-0.10632026926329406,-0.12099160975498391,-2.295242649962902,15,0.47580645161290325,2023-07-03,2023-12-29,-0.10632026926329408,-0.1538211476785879,0.047500878415293823,,,,N/A,13.970697119135417,0.025268967522364166,-0.026756759550984572
2024H1,-0.09485536840967648,-0.11218947015927683,-1.2263976900051408,16,0.5555555555555556,2024-01-02,2024-06-28,-0.09485536840967668,-0.16211618961161622,0.06726082120193955,,,,N/A,15.021441966023025,0.033504609076117325,-0.03944679145546437
2024H2,0.18015949433488934,-0.18357160128619576,1.0655359885390128,15,0.504,2024-07-01,2024-12-31,0.18015949433488965,0.38834692242919644,-0.2081874280943068,,,,N/A,16.54554363490259,0.11105274484411708,-0.032467103422244445
2025H1,0.03483459850082465,-0.12500239103219846,0.5727132492529325,13,0.6581196581196581,2025-01-02,2025-06-30,0.03483459850082471,0.018302729823207242,0.016531868677617467,,,,N/A,13.395733507066424,0.0340739091841424,-0.025256520889552048
2025H2,0.46622113477059174,-0.10762651461154682,3.257468496072225,11,0.7777777777777778,2025-07-01,2025-12-31,0.466221134770592,0.3469028131848475,0.11931832158574451,,,,N/A,15.524069364014357,0.14099826472947416,-0.022828727101298373
