factor,type,origin_weight,raw_signal,primary,factor_kind,coverage,active_days,active_ratio,status,canonical_factor,independent_events,years,half_year_windows
raw__30m__cxt_bi_status_V230101,ex04_base,0.05947026720107206,,,,,,,,,,,
raw__30m__cxt_third_buy_V230228__di_1,ex04_base,0.05961894286907473,,,,,,,,,,,
raw__daily__cxt_bi_status_V230101,ex04_base,0.04757621376085765,,,,,,,,,,,
raw__daily__cxt_five_bi_V230619__di_1,ex04_base,0.05976947698292745,,,,,,,,,,,
raw__daily__cxt_seven_bi_V230620__di_1,ex04_base,0.04757621376085765,,,,,,,,,,,
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,ex04_base,0.08370999965363214,,,,,,,,,,,
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,ex04_base,0.07136432064128646,,,,,,,,,,,
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,ex04_base,0.07136432064128646,,,,,,,,,,,
raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,ex04_base,0.07136432064128646,,,,,,,,,,,
raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,ex04_base,0.19030485504343062,,,,,,,,,,,
raw__daily__pressure_support_V240406__di_1__w_20,ex04_base,0.19030485504343062,,,,,,,,,,,
raw__weekly__cxt_bi_status_V230101,ex04_base,0.04757621376085765,,,,,,,,,,,
state__raw__30m__cxt_bi_status_V230101::向上,state,0.0,raw__30m__cxt_bi_status_V230101,向上,state,0.9502407704654896,505.0,0.40529695024077045,candidate,state__raw__30m__cxt_bi_status_V230101::向上,,,
state__raw__30m__cxt_bi_status_V230101::向下,state,0.0,raw__30m__cxt_bi_status_V230101,向下,state,0.9502407704654896,679.0,0.5449438202247191,candidate,state__raw__30m__cxt_bi_status_V230101::向下,,,
state__raw__30m__cxt_third_buy_V230228__di_1::三买,state,0.0,raw__30m__cxt_third_buy_V230228__di_1,三买,event,0.9502407704654896,100.0,0.08025682182985554,candidate,state__raw__30m__cxt_third_buy_V230228__di_1::三买,68.0,"[2021, 2022, 2023, 2024, 2025]","['2021H1', '2021H2', '2022H1', '2022H2', '2023H1', '2023H2', '2024H1', '2024H2', '2025H1', '2025H2']"
state__raw__30m__cxt_third_buy_V230228__di_1::其他,state,0.0,raw__30m__cxt_third_buy_V230228__di_1,其他,state,0.9502407704654896,1084.0,0.869983948635634,candidate,state__raw__30m__cxt_third_buy_V230228__di_1::其他,,,
state__raw__daily__bar_accelerate_V221110__di_1::上涨,state,0.0,raw__daily__bar_accelerate_V221110__di_1,上涨,state,0.9759229534510433,32.0,0.025682182985553772,candidate,state__raw__daily__bar_accelerate_V221110__di_1::上涨,,,
state__raw__daily__bar_trend_V240209__di_1::其他,state,0.0,raw__daily__bar_trend_V240209__di_1,其他,state,0.9759229534510433,917.0,0.7359550561797753,candidate,state__raw__daily__bar_trend_V240209__di_1::其他,,,
state__raw__daily__bar_trend_V240209__di_1::多头,state,0.0,raw__daily__bar_trend_V240209__di_1,多头,state,0.9759229534510433,119.0,0.09550561797752809,candidate,state__raw__daily__bar_trend_V240209__di_1::多头,,,
state__raw__daily__bar_trend_V240209__di_1::空头,state,0.0,raw__daily__bar_trend_V240209__di_1,空头,state,0.9759229534510433,180.0,0.14446227929373998,candidate,state__raw__daily__bar_trend_V240209__di_1::空头,,,
state__raw__daily__bar_zdf_V221203__di_1::满足,state,0.0,raw__daily__bar_zdf_V221203__di_1,满足,state,0.9759229534510433,40.0,0.03210272873194221,candidate,state__raw__daily__bar_zdf_V221203__di_1::满足,,,
state__raw__daily__cxt_bi_base_V230228__di_1::向上,state,0.0,raw__daily__cxt_bi_base_V230228__di_1,向上,state,0.9759229534510433,597.0,0.47913322632423755,candidate,state__raw__daily__cxt_bi_base_V230228__di_1::向上,,,
state__raw__daily__cxt_bi_base_V230228__di_1::向下,state,0.0,raw__daily__cxt_bi_base_V230228__di_1,向下,state,0.9759229534510433,604.0,0.48475120385232745,candidate,state__raw__daily__cxt_bi_base_V230228__di_1::向下,,,
state__raw__daily__cxt_bi_end_V230222__di_1::其他,state,0.0,raw__daily__cxt_bi_end_V230222__di_1,其他,state,0.9759229534510433,719.0,0.5770465489566613,candidate,state__raw__daily__cxt_bi_end_V230222__di_1::其他,,,
