period,signal_date,execution_date,side,size,price,fees,factor_event_id,event_type
2026Q1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026Q1:20251231,InitialEntry
2026Q1,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026Q1,2026-02-27,2026-03-02,Buy,736200.1970815603,1.5054627000000005,554.1609682193957,FourLayer:20260227:Entry,Entry
2026Q1,2026-03-09,2026-03-10,Sell,736200.1970815603,1.4489195,533.3474107276578,FourLayer:20260309:Exit,Exit
2026H1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026H1:20251231,InitialEntry
2026H1,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026H1,2026-02-27,2026-03-02,Buy,736200.1970815603,1.5054627000000005,554.1609682193957,FourLayer:20260227:Entry,Entry
2026H1,2026-03-09,2026-03-10,Sell,736200.1970815603,1.4489195,533.3474107276578,FourLayer:20260309:Exit,Exit
2026H1,2026-04-08,2026-04-09,Buy,772614.4681470632,1.3792502000000002,532.8143298572395,FourLayer:20260408:Entry,Entry
2026H1,2026-06-01,2026-06-02,Sell,772614.4681470632,1.7215385,665.0427762860965,FourLayer:20260601:Exit,Exit
2026H1,2026-06-16,2026-06-17,Buy,743077.9327200585,1.7881787,664.3780658650212,FourLayer:20260616:Entry,Entry
2026M1-M8,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026M1-M8:20251231,InitialEntry
2026M1-M8,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026M1-M8,2026-02-27,2026-03-02,Buy,736200.1970815603,1.5054627000000005,554.1609682193957,FourLayer:20260227:Entry,Entry
2026M1-M8,2026-03-09,2026-03-10,Sell,736200.1970815603,1.4489195,533.3474107276578,FourLayer:20260309:Exit,Exit
2026M1-M8,2026-04-08,2026-04-09,Buy,772614.4681470632,1.3792502000000002,532.8143298572395,FourLayer:20260408:Entry,Entry
2026M1-M8,2026-06-01,2026-06-02,Sell,772614.4681470632,1.7215385,665.0427762860965,FourLayer:20260601:Exit,Exit
2026M1-M8,2026-06-16,2026-06-17,Buy,743077.9327200585,1.7881787,664.3780658650212,FourLayer:20260616:Entry,Entry
2026M1-M8,2026-07-13,2026-07-14,Sell,743077.9327200585,2.0476716,760.7897897087873,FourLayer:20260713:Exit,Exit
2026M1-M8,2026-08-04,2026-08-05,Buy,912950.7814513001,1.6649953000000002,760.0293801238295,FourLayer:20260804:Entry,Entry
2026M1-M8,2026-08-14,2026-08-17,Sell,912950.7814513001,1.7750526,810.267829143581,FourLayer:20260814:Exit,Exit
