trial_number,period,signal_date,execution_date,side,size,price,fees,factor_event_id,event_type
629,2026Q1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026Q1:20251231,InitialEntry
629,2026Q1,2026-01-28,2026-01-29,Sell,716279.4768280691,1.5912872000000002,569.9031815496015,FourLayer:20260128:Exit,Exit
629,2026H1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026H1:20251231,InitialEntry
629,2026H1,2026-01-28,2026-01-29,Sell,716279.4768280691,1.5912872000000002,569.9031815496015,FourLayer:20260128:Exit,Exit
629,2026H1,2026-04-08,2026-04-09,Buy,825569.6655722624,1.3792502000000002,569.3335631771479,FourLayer:20260408:Entry,Entry
629,2026H1,2026-06-01,2026-06-02,Sell,825569.6655722624,1.7215385,710.6249818573872,FourLayer:20260601:Exit,Exit
629,2026H1,2026-06-25,2026-06-26,Buy,676703.2661055455,2.0981566,709.9147120104171,FourLayer:20260625:Entry,Entry
629,2026M1-M8,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026M1-M8:20251231,InitialEntry
629,2026M1-M8,2026-01-28,2026-01-29,Sell,716279.4768280691,1.5912872000000002,569.9031815496015,FourLayer:20260128:Exit,Exit
629,2026M1-M8,2026-04-08,2026-04-09,Buy,825569.6655722624,1.3792502000000002,569.3335631771479,FourLayer:20260408:Entry,Entry
629,2026M1-M8,2026-06-01,2026-06-02,Sell,825569.6655722624,1.7215385,710.6249818573872,FourLayer:20260601:Exit,Exit
629,2026M1-M8,2026-06-25,2026-06-26,Buy,676703.2661055455,2.0981566,709.9147120104171,FourLayer:20260625:Entry,Entry
629,2026M1-M8,2026-07-13,2026-07-14,Sell,676703.2661055455,2.0476716,692.8330298157841,FourLayer:20260713:Exit,Exit
1192,2026Q1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026Q1:20251231,InitialEntry
1192,2026Q1,2026-01-23,2026-01-26,Sell,716279.4768280691,1.5993648,572.7960911006146,FourLayer:20260123:Exit,Exit
1192,2026Q1,2026-01-27,2026-01-28,Buy,711967.7585516373,1.6074424,572.2235812642612,FourLayer:20260127:Entry,Entry
1192,2026Q1,2026-02-02,2026-02-03,Sell,711967.7585516373,1.5135403000000005,538.7959474342865,FourLayer:20260202:Exit,Exit
1192,2026Q1,2026-02-04,2026-02-05,Buy,733773.5469731549,1.4670941000000002,538.257420750102,FourLayer:20260204:Entry,Entry
1192,2026Q1,2026-02-11,2026-02-12,Sell,733773.5469731549,1.5024336,551.2230158818231,FourLayer:20260211:Exit,Exit
1192,2026Q1,2026-03-05,2026-03-06,Buy,764911.4505700213,1.4398322,550.6720683395397,FourLayer:20260305:Entry,Entry
1192,2026Q1,2026-03-18,2026-03-19,Sell,764911.4505700213,1.3903569,531.749956594519,FourLayer:20260318:Exit,Exit
1192,2026Q1,2026-03-25,2026-03-26,Buy,782909.4574001703,1.3570368000000002,531.2184723799583,FourLayer:20260325:Entry,Entry
1192,2026H1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026H1:20251231,InitialEntry
1192,2026H1,2026-01-23,2026-01-26,Sell,716279.4768280691,1.5993648,572.7960911006146,FourLayer:20260123:Exit,Exit
1192,2026H1,2026-01-27,2026-01-28,Buy,711967.7585516373,1.6074424,572.2235812642612,FourLayer:20260127:Entry,Entry
1192,2026H1,2026-02-02,2026-02-03,Sell,711967.7585516373,1.5135403000000005,538.7959474342865,FourLayer:20260202:Exit,Exit
1192,2026H1,2026-02-04,2026-02-05,Buy,733773.5469731549,1.4670941000000002,538.257420750102,FourLayer:20260204:Entry,Entry
1192,2026H1,2026-02-11,2026-02-12,Sell,733773.5469731549,1.5024336,551.2230158818231,FourLayer:20260211:Exit,Exit
1192,2026H1,2026-03-05,2026-03-06,Buy,764911.4505700213,1.4398322,550.6720683395397,FourLayer:20260305:Entry,Entry
1192,2026H1,2026-03-18,2026-03-19,Sell,764911.4505700213,1.3903569,531.749956594519,FourLayer:20260318:Exit,Exit
1192,2026H1,2026-03-25,2026-03-26,Buy,782909.4574001703,1.3570368000000002,531.2184723799583,FourLayer:20260325:Entry,Entry
1192,2026H1,2026-04-02,2026-04-03,Sell,782909.4574001703,1.3045324,510.66537672247097,FourLayer:20260402:Exit,Exit
1192,2026H1,2026-04-03,2026-04-07,Buy,784555.9048515646,1.3004936,510.15496655076277,FourLayer:20260403:Entry,Entry
1192,2026H1,2026-04-09,2026-04-10,Sell,784555.9048515646,1.4014636,549.7632714072656,FourLayer:20260409:Exit,Exit
1192,2026H1,2026-04-14,2026-04-15,Buy,751814.2201435596,1.4610359000000002,549.2137828799896,FourLayer:20260414:Entry,Entry
1192,2026H1,2026-04-21,2026-04-22,Sell,751814.2201435596,1.4670941000000002,551.4911033343587,FourLayer:20260421:Exit,Exit
1192,2026H1,2026-04-24,2026-04-27,Buy,725112.4396855778,1.5195985,550.939887838671,FourLayer:20260424:Entry,Entry
1192,2026H1,2026-04-29,2026-04-30,Sell,725112.4396855778,1.5549380000000002,563.7524433699065,FourLayer:20260429:Exit,Exit
1192,2026H1,2026-04-30,2026-05-06,Buy,670004.2294391735,1.6811505000000002,563.1889726617374,FourLayer:20260430:Entry,Entry
1192,2026H1,2026-05-08,2026-05-11,Sell,670004.2294391735,1.7397131,582.8075675053678,FourLayer:20260508:Exit,Exit
1192,2026H1,2026-05-11,2026-05-12,Buy,658255.3920984906,1.7689944,582.2250511960592,FourLayer:20260511:Entry,Entry
1192,2026H1,2026-05-22,2026-05-25,Sell,658255.3920984906,1.847751,608.1460295026891,FourLayer:20260522:Exit,Exit
1192,2026H1,2026-05-25,2026-05-26,Buy,623525.0581219586,1.948721,607.5381873941515,FourLayer:20260525:Entry,Entry
1192,2026H1,2026-05-28,2026-05-29,Sell,623525.0581219586,1.9022748,593.0580026169686,FourLayer:20260528:Exit,Exit
1192,2026H1,2026-05-29,2026-06-01,Buy,656713.5284607384,1.8043339,592.4652409951668,FourLayer:20260529:Entry,Entry
1192,2026H1,2026-06-04,2026-06-05,Sell,656713.5284607384,1.7599071000000002,577.8774007020529,FourLayer:20260604:Exit,Exit
1192,2026H1,2026-06-09,2026-06-10,Buy,676631.7162525327,1.706393,577.2998120957054,FourLayer:20260609:Entry,Entry
1192,2026H1,2026-06-12,2026-06-15,Sell,676631.7162525327,1.7397131,588.572530320007,FourLayer:20260612:Exit,Exit
1192,2026H1,2026-06-18,2026-06-22,Buy,595130.9112329694,1.9759829,587.9842519287486,FourLayer:20260618:Entry,Entry
1192,2026M1-M8,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026M1-M8:20251231,InitialEntry
1192,2026M1-M8,2026-01-23,2026-01-26,Sell,716279.4768280691,1.5993648,572.7960911006146,FourLayer:20260123:Exit,Exit
1192,2026M1-M8,2026-01-27,2026-01-28,Buy,711967.7585516373,1.6074424,572.2235812642612,FourLayer:20260127:Entry,Entry
1192,2026M1-M8,2026-02-02,2026-02-03,Sell,711967.7585516373,1.5135403000000005,538.7959474342865,FourLayer:20260202:Exit,Exit
1192,2026M1-M8,2026-02-04,2026-02-05,Buy,733773.5469731549,1.4670941000000002,538.257420750102,FourLayer:20260204:Entry,Entry
1192,2026M1-M8,2026-02-11,2026-02-12,Sell,733773.5469731549,1.5024336,551.2230158818231,FourLayer:20260211:Exit,Exit
1192,2026M1-M8,2026-03-05,2026-03-06,Buy,764911.4505700213,1.4398322,550.6720683395397,FourLayer:20260305:Entry,Entry
1192,2026M1-M8,2026-03-18,2026-03-19,Sell,764911.4505700213,1.3903569,531.749956594519,FourLayer:20260318:Exit,Exit
1192,2026M1-M8,2026-03-25,2026-03-26,Buy,782909.4574001703,1.3570368000000002,531.2184723799583,FourLayer:20260325:Entry,Entry
1192,2026M1-M8,2026-04-02,2026-04-03,Sell,782909.4574001703,1.3045324,510.66537672247097,FourLayer:20260402:Exit,Exit
1192,2026M1-M8,2026-04-03,2026-04-07,Buy,784555.9048515646,1.3004936,510.15496655076277,FourLayer:20260403:Entry,Entry
1192,2026M1-M8,2026-04-09,2026-04-10,Sell,784555.9048515646,1.4014636,549.7632714072656,FourLayer:20260409:Exit,Exit
1192,2026M1-M8,2026-04-14,2026-04-15,Buy,751814.2201435596,1.4610359000000002,549.2137828799896,FourLayer:20260414:Entry,Entry
1192,2026M1-M8,2026-04-21,2026-04-22,Sell,751814.2201435596,1.4670941000000002,551.4911033343587,FourLayer:20260421:Exit,Exit
1192,2026M1-M8,2026-04-24,2026-04-27,Buy,725112.4396855778,1.5195985,550.939887838671,FourLayer:20260424:Entry,Entry
1192,2026M1-M8,2026-04-29,2026-04-30,Sell,725112.4396855778,1.5549380000000002,563.7524433699065,FourLayer:20260429:Exit,Exit
1192,2026M1-M8,2026-04-30,2026-05-06,Buy,670004.2294391735,1.6811505000000002,563.1889726617374,FourLayer:20260430:Entry,Entry
1192,2026M1-M8,2026-05-08,2026-05-11,Sell,670004.2294391735,1.7397131,582.8075675053678,FourLayer:20260508:Exit,Exit
1192,2026M1-M8,2026-05-11,2026-05-12,Buy,658255.3920984906,1.7689944,582.2250511960592,FourLayer:20260511:Entry,Entry
1192,2026M1-M8,2026-05-22,2026-05-25,Sell,658255.3920984906,1.847751,608.1460295026891,FourLayer:20260522:Exit,Exit
1192,2026M1-M8,2026-05-25,2026-05-26,Buy,623525.0581219586,1.948721,607.5381873941515,FourLayer:20260525:Entry,Entry
1192,2026M1-M8,2026-05-28,2026-05-29,Sell,623525.0581219586,1.9022748,593.0580026169686,FourLayer:20260528:Exit,Exit
1192,2026M1-M8,2026-05-29,2026-06-01,Buy,656713.5284607384,1.8043339,592.4652409951668,FourLayer:20260529:Entry,Entry
1192,2026M1-M8,2026-06-04,2026-06-05,Sell,656713.5284607384,1.7599071000000002,577.8774007020529,FourLayer:20260604:Exit,Exit
1192,2026M1-M8,2026-06-09,2026-06-10,Buy,676631.7162525327,1.706393,577.2998120957054,FourLayer:20260609:Entry,Entry
1192,2026M1-M8,2026-06-12,2026-06-15,Sell,676631.7162525327,1.7397131,588.572530320007,FourLayer:20260612:Exit,Exit
1192,2026M1-M8,2026-06-18,2026-06-22,Buy,595130.9112329694,1.9759829,587.9842519287486,FourLayer:20260618:Entry,Entry
1192,2026M1-M8,2026-07-08,2026-07-09,Sell,595130.9112329694,2.1223894,631.5497688065976,FourLayer:20260708:Exit,Exit
1192,2026M1-M8,2026-07-09,2026-07-10,Buy,547640.1557433358,2.3041354000000003,630.9185346548911,FourLayer:20260709:Entry,Entry
1192,2026M1-M8,2026-07-14,2026-07-15,Sell,547640.1557433358,2.0941178,573.4114990684459,FourLayer:20260714:Exit,Exit
1192,2026M1-M8,2026-07-15,2026-07-16,Buy,594068.2957841355,1.928527,572.8383741318248,FourLayer:20260715:Entry,Entry
1192,2026M1-M8,2026-07-29,2026-07-30,Sell,594068.2957841355,1.706393,506.85699072398916,FourLayer:20260729:Exit,Exit
1192,2026M1-M8,2026-08-04,2026-08-05,Buy,608230.4100619499,1.6649953000000002,506.35038703505415,FourLayer:20260804:Entry,Entry
1192,2026M1-M8,2026-08-14,2026-08-17,Sell,608230.4100619499,1.7750526,539.8204853897652,FourLayer:20260814:Exit,Exit
1192,2026M1-M8,2026-08-19,2026-08-20,Buy,621046.7012763756,1.736684,539.2809346795548,FourLayer:20260819:Entry,Entry
2214,2026Q1,2026-01-05,2026-01-06,Buy,691752.7861470241,1.4448807,499.75012493750546,FourLayer:20260105:Entry,Entry
2214,2026Q1,2026-02-02,2026-02-03,Sell,691752.7861470241,1.5135403000000005,523.4978597354016,FourLayer:20260202:Exit,Exit
2214,2026Q1,2026-02-09,2026-02-10,Buy,695235.5753138011,1.504453,522.9746234937338,FourLayer:20260209:Entry,Entry
2214,2026Q1,2026-02-12,2026-02-13,Sell,695235.5753138011,1.5125306,525.7825409353643,FourLayer:20260212:Exit,Exit
2214,2026Q1,2026-03-05,2026-03-06,Buy,729608.6601679273,1.4398322,525.257021154277,FourLayer:20260305:Entry,Entry
2214,2026Q1,2026-03-16,2026-03-17,Sell,729608.6601679273,1.4307449,521.9419347655476,FourLayer:20260316:Exit,Exit
2214,2026Q1,2026-03-17,2026-03-18,Buy,744644.6522392906,1.4004539,521.4202536712401,FourLayer:20260317:Entry,Entry
2214,2026H1,2026-01-05,2026-01-06,Buy,691752.7861470241,1.4448807,499.75012493750546,FourLayer:20260105:Entry,Entry
2214,2026H1,2026-02-02,2026-02-03,Sell,691752.7861470241,1.5135403000000005,523.4978597354016,FourLayer:20260202:Exit,Exit
2214,2026H1,2026-02-09,2026-02-10,Buy,695235.5753138011,1.504453,522.9746234937338,FourLayer:20260209:Entry,Entry
2214,2026H1,2026-02-12,2026-02-13,Sell,695235.5753138011,1.5125306,525.7825409353643,FourLayer:20260212:Exit,Exit
2214,2026H1,2026-03-05,2026-03-06,Buy,729608.6601679273,1.4398322,525.257021154277,FourLayer:20260305:Entry,Entry
2214,2026H1,2026-03-16,2026-03-17,Sell,729608.6601679273,1.4307449,521.9419347655476,FourLayer:20260316:Exit,Exit
2214,2026H1,2026-03-17,2026-03-18,Buy,744644.6522392906,1.4004539,521.4202536712401,FourLayer:20260317:Entry,Entry
2214,2026H1,2026-04-01,2026-04-02,Sell,744644.6522392906,1.3307846,495.4808178362018,FourLayer:20260401:Exit,Exit
2214,2026H1,2026-04-03,2026-04-07,Buy,761227.2519218337,1.3004936,494.9855846349383,FourLayer:20260403:Entry,Entry
2214,2026H1,2026-04-09,2026-04-10,Sell,761227.2519218337,1.4014636,533.41614244824,FourLayer:20260409:Exit,Exit
2214,2026H1,2026-04-13,2026-04-14,Buy,740201.5219281464,1.4398322,532.8829928804189,FourLayer:20260413:Entry,Entry
2214,2026H1,2026-04-23,2026-04-24,Sell,740201.5219281464,1.4812299000000002,548.2043131527381,FourLayer:20260423:Exit,Exit
2214,2026H1,2026-04-24,2026-04-27,Buy,720790.8968122295,1.5195985,547.6563828047365,FourLayer:20260424:Entry,Entry
2214,2026H1,2026-06-08,2026-06-09,Sell,720790.8968122295,1.6811505000000002,605.8789882856641,FourLayer:20260608:Exit,Exit
2214,2026H1,2026-06-09,2026-06-10,Buy,709418.5361584098,1.706393,605.2734120853711,FourLayer:20260609:Entry,Entry
2214,2026H1,2026-06-15,2026-06-16,Sell,709418.5361584098,1.8114018,642.5210066753543,FourLayer:20260615:Exit,Exit
