interval_id,start,end,trading_days,return_delta_contribution,absolute_contribution,absolute_contribution_share
1,2021-01-07,2021-01-12,4,0.006431515881254124,0.006431515881254124,0.008002011924506442
3,2021-04-16,2021-04-16,1,-0.005689105911440562,0.005689105911440562,0.007078314690292016
5,2021-06-17,2021-06-17,1,-0.04497602501737319,0.04497602501737319,0.055958609937497544
7,2021-07-07,2021-07-07,1,-0.031069108280254998,0.031069108280254998,0.03865579740959967
9,2021-07-26,2021-07-29,4,-0.021294344703969625,0.021294344703969625,0.02649415835889821
11,2021-09-01,2021-09-03,3,0.014807408727801286,0.014807408727801286,0.018423193442818907
13,2021-09-13,2021-09-15,3,0.03181647929290765,0.03181647929290765,0.039585667111501244
15,2021-09-28,2021-10-11,5,0.01658786674969459,0.01658786674969459,0.020638417129632727
17,2021-12-24,2021-12-27,2,0.015100706713780832,0.015100706713780832,0.01878811114256101
19,2022-01-21,2022-01-21,1,0.010653159851300997,0.010653159851300997,0.013254528751495678
21,2022-03-04,2022-03-08,3,0.05430848227961926,0.05430848227961926,0.06756993698328846
23,2022-03-21,2022-03-21,1,-0.00715599646984999,0.00715599646984999,0.008903401646005055
25,2022-03-25,2022-03-25,1,0.022636246786632452,0.022636246786632452,0.028163736210409962
27,2022-05-05,2022-05-05,1,-0.010811466694636174,0.010811466694636174,0.013451492153512816
29,2022-09-19,2022-09-21,3,0.027799605440166242,0.027799605440166242,0.034587922713083134
31,2022-11-22,2022-11-22,1,0.011741525423728527,0.011741525423728527,0.01460865963596908
33,2022-11-28,2022-11-30,3,-0.005424810851868078,0.005424810851868078,0.006749482070216956
35,2023-02-09,2023-02-09,1,-0.03042084942084944,0.03042084942084944,0.03784924181385749
37,2023-02-24,2023-03-01,4,0.00047397513821090254,0.00047397513821090254,0.0005897139613598617
39,2023-05-10,2023-05-15,4,0.007904027862823293,0.007904027862823293,0.009834092984873418
41,2023-05-25,2023-05-25,1,-0.008191556395715338,0.008191556395715338,0.010191832402969878
43,2023-06-07,2023-06-09,3,-0.004673692516183325,0.004673692516183325,0.0058149499956894795
45,2023-06-27,2023-07-03,5,0.0013946919613183617,0.0013946919613183617,0.001735258360787345
47,2023-07-07,2023-07-07,1,0.00632358674463962,0.00632358674463962,0.007867727837498553
49,2023-08-09,2023-08-14,4,0.03424160108396723,0.03424160108396723,0.04260297342757538
51,2023-08-30,2023-08-30,1,-0.016387265712444865,0.016387265712444865,0.020388831818521334
53,2023-09-08,2023-09-12,3,-0.007054470550799996,0.007054470550799996,0.00877708436250857
55,2023-12-25,2023-12-27,3,0.016683443159994482,0.016683443159994482,0.020757332108471607
57,2024-01-04,2024-01-04,1,0.005376615746180979,0.005376615746180979,0.006689518320219061
59,2024-01-26,2024-01-30,3,0.09003781031335834,0.09003781031335834,0.1120239217450942
61,2024-02-07,2024-02-07,1,-0.027864446155300815,0.027864446155300815,0.03466859672295578
63,2024-03-29,2024-04-03,4,0.005358790273087832,0.005358790273087832,0.006667340088697145
65,2024-06-03,2024-06-03,1,-0.00869407608941919,0.00869407608941919,0.010817061144616617
67,2024-07-11,2024-07-11,1,0.0045572612881650265,0.0045572612881650265,0.00567008771249075
69,2024-07-25,2024-07-29,3,0.0034262081164488922,0.0034262081164488922,0.0042628454488584195
71,2024-09-02,2024-09-04,3,0.02716569235000177,0.02716569235000177,0.0337992159446863
73,2024-10-31,2024-11-01,2,0.01647201511497909,0.01647201511497909,0.02049427596919976
75,2024-12-02,2024-12-02,1,-0.00821682182164718,0.00821682182164718,0.010223267331113894
77,2024-12-05,2024-12-05,1,0.011249266862169871,0.011249266862169871,0.013996197667086457
79,2025-03-12,2025-03-13,2,0.03337800537145408,0.03337800537145408,0.04152849840223573
81,2025-04-21,2025-04-21,1,-0.008252906976744079,0.008252906976744079,0.010268164031474175
83,2025-04-24,2025-04-24,1,-0.009152509652509577,0.009152509652509577,0.011387438471855362
85,2025-06-16,2025-06-24,7,-0.008721970615029995,0.008721970615029995,0.01085176716582333
87,2025-10-15,2025-10-16,2,-0.009546436489044519,0.009546436489044519,0.0118775573336502
89,2025-10-22,2025-10-24,3,-0.049419075452887595,0.049419075452887595,0.061486597930156754
91,2025-12-02,2025-12-04,3,0.004794428485506819,0.004794428485506819,0.005965168184384218
