window,strategy_return,sharpe,max_drawdown,exposure,trade_count,coalition,coalition_size
2021,0.0,0.0,0.0,0.0,0,empty,0
2022,0.0,0.0,0.0,0.0,0,empty,0
2023,0.0,0.0,0.0,0.0,0,empty,0
2024,0.0,0.0,0.0,0.0,0,empty,0
2025,0.0,0.0,0.0,0.0,0,empty,0
2021H1,0.0,0.0,0.0,0.0,0,empty,0
2021H2,0.0,0.0,0.0,0.0,0,empty,0
2022H1,0.0,0.0,0.0,0.0,0,empty,0
2022H2,0.0,0.0,0.0,0.0,0,empty,0
2023H1,0.0,0.0,0.0,0.0,0,empty,0
2023H2,0.0,0.0,0.0,0.0,0,empty,0
2024H1,0.0,0.0,0.0,0.0,0,empty,0
2024H2,0.0,0.0,0.0,0.0,0,empty,0
2025H1,0.0,0.0,0.0,0.0,0,empty,0
2025H2,0.0,0.0,0.0,0.0,0,empty,0
2021,-0.004369947280071118,-0.14454683075680108,-0.030848947995637865,0.02880658436213992,2,structure,1
2022,0.0,0.0,0.0,0.0,0,structure,1
2023,0.0,0.0,0.0,0.0,0,structure,1
2024,0.0,0.0,0.0,0.0,0,structure,1
2025,0.24526199998162568,1.5691101561096972,-0.10762651461154671,0.18106995884773663,6,structure,1
2021H1,0.0,0.0,0.0,0.0,0,structure,1
2021H2,-0.004369947280071118,-0.20114987969108072,-0.030848947995637865,0.056,2,structure,1
2022H1,0.0,0.0,0.0,0.0,0,structure,1
2022H2,0.0,0.0,0.0,0.0,0,structure,1
2023H1,0.0,0.0,0.0,0.0,0,structure,1
2023H2,0.0,0.0,0.0,0.0,0,structure,1
2024H1,0.0,0.0,0.0,0.0,0,structure,1
2024H2,0.0,0.0,0.0,0.0,0,structure,1
2025H1,0.07083024240008662,1.4204551823010614,-0.05800865800865784,0.11965811965811966,2,structure,1
2025H2,0.1628939403042815,1.7273797733130873,-0.10762651461154671,0.23809523809523808,4,structure,1
2021,0.15128303724934722,1.4877759335392817,-0.06111997010983039,0.35390946502057613,16,trend,1
2022,0.08772547947300335,0.8174567377563061,-0.1101053290472419,0.2603305785123967,16,trend,1
2023,-0.07829163431989206,-0.721993196986921,-0.19836264599091713,0.33884297520661155,24,trend,1
2024,0.014831486651053938,0.24664544145901246,-0.2505049292641821,0.3181818181818182,27,trend,1
2025,0.13395635606697964,0.8276649537696412,-0.14055117646509674,0.45267489711934156,31,trend,1
2021H1,0.1704428936136233,3.0175912261472084,-0.03357958361316282,0.3898305084745763,7,trend,1
2021H2,-0.017465583030261023,-0.3240048492044663,-0.05355305108405717,0.32,10,trend,1
2022H1,0.016489389827071932,0.36087119176705745,-0.09169479095183997,0.2564102564102564,9,trend,1
2022H2,0.07236775241674853,1.395300388143184,-0.04682796072579731,0.264,8,trend,1
2023H1,0.028955859719151933,0.5446872703991712,-0.10343328305761057,0.4915254237288136,14,trend,1
2023H2,-0.10422944096777542,-3.3777343382820813,-0.10588098034360383,0.1935483870967742,10,trend,1
2024H1,-0.09686829916441697,-1.7050530755197826,-0.14153208325965339,0.37606837606837606,16,trend,1
2024H2,0.12368050607915326,0.8617371531910852,-0.25050492926418233,0.264,11,trend,1
2025H1,-0.001430780621278327,0.07784283855600217,-0.127703605396553,0.3504273504273504,17,trend,1
2025H2,0.13611771557301044,1.3000958768244884,-0.13652495142407506,0.5476190476190477,15,trend,1
2021,-0.05649539550143978,-0.24469581759986764,-0.18414880264868216,0.6995884773662552,29,volume_position,1
2022,-0.26822879478158634,-1.4780094823187322,-0.3598620635709725,0.8016528925619835,21,volume_position,1
2023,-0.05502752827385504,-0.2923310017388635,-0.23021313450965208,0.8016528925619835,27,volume_position,1
2024,-0.15496899972099665,-0.49677370121379233,-0.19976771196283394,0.7975206611570248,29,volume_position,1
2025,0.5868497446568925,2.3241762241291055,-0.13090232044664762,0.7777777777777778,33,volume_position,1
2021H1,0.052644532221731266,0.7521064992843692,-0.18414880264868216,0.7033898305084746,13,volume_position,1
2021H2,-0.10468021784788661,-1.3091043926310537,-0.15348301381046314,0.696,17,volume_position,1
2022H1,-0.184628773710513,-1.5523282180837836,-0.3598620635709725,0.9829059829059829,3,volume_position,1
2022H2,-0.10061171078333819,-1.5024758791226032,-0.1728868862927434,0.632,19,volume_position,1
2023H1,0.0862619287140276,1.2559874778527484,-0.08931103837555465,0.8135593220338984,15,volume_position,1
2023H2,-0.13050416603158976,-1.9158481179026916,-0.16529649468369922,0.7903225806451613,13,volume_position,1
2024H1,-0.14856238556416035,-1.4972964938736075,-0.19976771196283394,0.8290598290598291,13,volume_position,1
2024H2,-0.006661580596196037,0.1628174281001046,-0.18272404362996264,0.768,17,volume_position,1
2025H1,0.003919965681192794,0.17261760112877853,-0.13090232044664762,0.7692307692307693,15,volume_position,1
2025H2,0.5814005371926443,3.7564609240277025,-0.1076265146115466,0.7857142857142857,19,volume_position,1
2021,0.09282442500539823,0.8417740756826678,-0.13048624431295341,0.4567901234567901,24,structure+trend,2
2022,0.03809454589540384,0.3831099128973964,-0.12689158038505466,0.34710743801652894,24,structure+trend,2
2023,-0.10133106137910564,-0.9504933892769518,-0.20040599091315148,0.3884297520661157,30,structure+trend,2
2024,0.09388844368070215,0.5133593887899134,-0.2431067450814528,0.384297520661157,29,structure+trend,2
2025,0.20160413231544272,1.1366514889863324,-0.14102529516436346,0.5020576131687243,33,structure+trend,2
2021H1,0.22464608920709384,3.252947638887372,-0.057086123676176825,0.5338983050847458,9,structure+trend,2
2021H2,-0.10863477171013136,-2.1610625395965015,-0.12347838391374022,0.384,16,structure+trend,2
2022H1,-0.02101019179918151,-0.17852928004775445,-0.09220836390385367,0.36752136752136755,15,structure+trend,2
2022H2,0.0626396885948921,1.1566649835636382,-0.05290608105953265,0.328,10,structure+trend,2
2023H1,0.004724366665101565,0.17207528540549316,-0.1034332830576109,0.5338983050847458,18,structure+trend,2
