window,mechanism,trading_days,episode_count,log_wealth_delta,negative_log_loss,positive_log_gain
2021H1,both_cash,42,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16
2021H1,late_entry,5,2,0.0010834285905264645,0.023260493326315218,0.024343921916841683
2021H1,both_long,70,3,-0.0028933535735547918,0.002893353573557782,2.990012751280524e-15
2021H1,interrupted_holding,1,1,-0.04395570622513633,0.04395570622513633,0.0
2021H2,both_long,66,11,0.003941470365767496,1.887162301428269e-15,0.003941470365769383
2021H2,interrupted_holding,1,1,-0.030862988771800097,0.030862988771800097,0.0
2021H2,both_cash,41,0,0.004017848200118288,0.003287172365849139,0.007305020565967427
2021H2,late_entry,4,1,-0.019940601253142908,0.047074897882676804,0.027134296629533896
2021H2,fully_missed_entry,11,3,0.06428541594952789,0.029085429423355035,0.09337084537288293
2021H2,early_exit,2,1,0.015169711255850135,0.0,0.015169711255850135
2022H1,both_long,55,7,0.032978480815552796,2.0806923892169316e-15,0.03297848081555488
2022H1,both_cash,55,0,0.008411005776158779,0.0029070332799319347,0.011318039056090712
2022H1,early_exit,5,3,0.08873249375201114,0.001306902011622384,0.09003939576363354
2022H1,late_entry,2,2,-0.01788395446911724,0.01788395446911724,0.0
2022H2,both_long,63,6,4.3487349138393583e-16,8.891542016553622e-16,1.324027693039298e-15
2022H2,both_cash,55,0,0.0006376162982809925,0.009199272047031363,0.009836888345312355
2022H2,fully_missed_entry,6,2,0.022749797663877223,0.01616143821680683,0.03891123588068405
2022H2,early_exit,1,1,0.011828148691313302,0.0,0.011828148691313302
2023H1,both_long,83,8,-0.0006796081448264294,0.003919855207480701,0.003240247062654272
2023H1,both_cash,18,0,-6.505213034913027e-19,2.229119666630197e-16,2.222614453595284e-16
2023H1,interrupted_holding,4,2,-0.034391753352356155,0.05405553759136909,0.019663784239012938
2023H1,late_entry,9,3,0.00043893985577894007,0.027528351368329228,0.02796729122410817
2023H1,early_exit,4,1,0.004342499434105718,0.005356897654607756,0.009699397088713476
2023H2,late_entry,2,2,-0.018662956424702306,0.018662956424702306,0.0
2023H2,both_long,46,7,0.005100571934063915,1.8897643866422342e-15,0.005100571934065804
2023H2,early_exit,8,3,0.03385629847904016,0.014520240388158821,0.04837653886719898
2023H2,both_cash,65,0,0.004169698414274558,0.0,0.004169698414274558
2023H2,fully_missed_entry,3,1,0.0168553798137318,0.00590669171539018,0.02276207152912198
2024H1,both_long,55,6,-0.008853193588872066,0.00965625032763876,0.000803056738766694
2024H1,early_exit,1,1,0.005406566673707806,0.0,0.005406566673707806
2024H1,both_cash,52,0,0.009374543778640287,4.447397311535539e-16,0.00937454377864073
2024H1,fully_missed_entry,7,2,0.09711954480643002,0.018572540334736515,0.11569208514116654
2024H1,late_entry,2,2,-0.03613979686615475,0.03613979686615475,0.0
2024H2,both_cash,61,0,0.006967951069327695,0.0009481011346829151,0.00791605220401061
2024H2,late_entry,2,2,-0.0036155702708332753,0.008183247531809879,0.004567677260976603
2024H2,both_long,53,7,0.004449854684262587,0.0004998750416532057,0.004949729725915793
2024H2,early_exit,5,2,0.020616000019255686,0.028175801630127582,0.048791801649383265
2024H2,fully_missed_entry,3,1,0.027663803982473603,0.007241161256559474,0.034904965239033074
2024H2,ex04_only,1,0,0.011268706831813108,0.0,0.011268706831813108
2025H1,both_cash,39,0,0.000974184197843417,1.1102230246251565e-16,0.000974184197843528
2025H1,both_long,67,7,-0.001070552436649168,0.002491907572892617,0.0014213551362434488
2025H1,early_exit,2,1,0.03361449373572286,0.0,0.03361449373572286
2025H1,interrupted_holding,8,2,-0.01671546813164474,0.03390730647277668,0.017191838341131933
2025H1,ex04_only,1,0,-0.009199272047031151,0.009199272047031151,0.0
2025H2,both_long,90,5,-0.017833642369851115,0.017833642369851667,5.535936292710986e-16
2025H2,early_exit,2,1,-0.009474986802380916,0.01768858533976966,0.008213598537388744
2025H2,both_cash,28,0,0.005188044467097584,3.3480163086352377e-16,0.005188044467097919
2025H2,late_entry,3,1,-0.04842479716483937,0.05192988312278572,0.0035050859579463488
2025H2,fully_missed_entry,3,1,0.004937752147696279,0.011931536029047339,0.016869288176743616
