variant,window,strategy_return,sharpe,max_drawdown,exposure,trade_count,start,end,return_delta_vs_baseline,return_delta_vs_ex04
baseline,2021H1,0.24893799167194453,3.071835242807882,-0.070445854346318,0.6440677966101694,5,2021-01-04,2021-06-30,0.0,0.055870216362254865
baseline,2021H2,-0.19785984963082448,-2.7932256547119008,-0.22018543313931405,0.672,27,2021-07-01,2021-12-31,0.0,-0.029911234379551566
baseline,2022H1,-0.06477702515250938,-0.7230789850675907,-0.167370458417332,0.5299145299145299,13,2022-01-04,2022-06-30,0.0,-0.11108496881591734
baseline,2022H2,-0.004512956055262585,0.027823439228323324,-0.09410443425020654,0.56,15,2022-07-01,2022-12-30,0.0,-0.03568121602934604
baseline,2023H1,0.0509484040161825,0.7678236149964333,-0.09040812622954864,0.847457627118644,15,2023-01-03,2023-06-30,0.0,0.031355864723289884
baseline,2023H2,-0.10632026926329408,-2.295242649962902,-0.12099160975498391,0.47580645161290325,15,2023-07-03,2023-12-29,0.0,-0.03769943373695339
baseline,2024H1,-0.09485536840967668,-1.2263976900051408,-0.11218947015927683,0.5555555555555556,16,2024-01-02,2024-06-28,0.0,-0.0626330659939317
baseline,2024H2,0.18015949433488965,1.0655359885390128,-0.18357160128619576,0.504,15,2024-07-01,2024-12-31,0.0,-0.08222241464465507
baseline,2025H1,0.03483459850082471,0.5727132492529325,-0.12500239103219846,0.6581196581196581,13,2025-01-02,2025-06-30,0.0,-0.007898234803646265
baseline,2025H2,0.466221134770592,3.257468496072225,-0.10762651461154682,0.7777777777777778,11,2025-07-01,2025-12-31,0.0,0.09310761338606466
ex04,2021H1,0.19306777530968966,2.6567773518584046,-0.07616618755034055,0.5932203389830508,7,2021-01-04,2021-06-30,-0.055870216362254865,0.0
ex04,2021H2,-0.16794861525127291,-2.8407777920336588,-0.1746914467340368,0.528,23,2021-07-01,2021-12-31,0.029911234379551566,0.0
ex04,2022H1,0.04630794366340796,0.7254985472584836,-0.0854180176971977,0.4700854700854701,13,2022-01-04,2022-06-30,0.11108496881591734,0.0
ex04,2022H2,0.031168259974083456,0.5734616952061417,-0.07853962266736636,0.504,11,2022-07-01,2022-12-30,0.03568121602934604,0.0
ex04,2023H1,0.01959253929289262,0.38021080082503983,-0.0856484670694928,0.7033898305084746,20,2023-01-03,2023-06-30,-0.031355864723289884,0.0
ex04,2023H2,-0.06862083552634068,-1.5912144703692825,-0.07805054174871007,0.3709677419354839,13,2023-07-03,2023-12-29,0.03769943373695339,0.0
ex04,2024H1,-0.032222302415744974,-0.4131995599473113,-0.08766782107561533,0.4700854700854701,12,2024-01-02,2024-06-28,0.0626330659939317,0.0
ex04,2024H2,0.2623819089795447,1.3922634383082284,-0.1823154056517774,0.432,13,2024-07-01,2024-12-31,0.08222241464465507,0.0
ex04,2025H1,0.042732833304470974,0.6877953718266402,-0.09722267687676034,0.5811965811965812,17,2025-01-02,2025-06-30,0.007898234803646265,0.0
ex04,2025H2,0.37311352138452736,2.792914609533737,-0.14102529516436346,0.7142857142857143,9,2025-07-01,2025-12-31,-0.09310761338606466,0.0
weights_only,2021H1,0.24893799167194453,3.071835242807882,-0.070445854346318,0.6440677966101694,5,2021-01-04,2021-06-30,0.0,0.055870216362254865
weights_only,2021H2,-0.15333994011934604,-2.5008471751740355,-0.17690462499575932,0.552,21,2021-07-01,2021-12-31,0.04451990951147844,0.014608675131926874
weights_only,2022H1,0.03063302122572198,0.5204841369105536,-0.0830829147636587,0.48717948717948717,13,2022-01-04,2022-06-30,0.09541004637823136,-0.01567492243768598
weights_only,2022H2,0.031168259974083456,0.5734616952061417,-0.07853962266736636,0.504,11,2022-07-01,2022-12-30,0.03568121602934604,0.0
