window,cohort,event_count,false_exit_count,protective_exit_count,neutral_exit_count,false_exit_log_loss,protective_exit_log_benefit,net_counterfactual_log_advantage
2021H1,underperformance,1,1,0,0,0.044455581266787086,-0.0,0.044455581266787086
2021H2,control,2,1,1,0,0.0294919558776394,0.012086887283582542,0.017405068594056855
2022H1,control,3,0,3,0,0.0,0.09714349952816989,-0.09714349952816989
2022H2,control,1,0,1,0,0.0,0.016152370171399002,-0.016152370171399002
2023H1,underperformance,3,1,0,2,0.029655255843709462,-0.0,0.027262875329257363
2023H2,control,3,0,2,1,0.0,0.0418784358504746,-0.037525871851632656
2024H1,control,1,0,1,0,0.0,0.008279172069020648,-0.008279172069020648
2024H2,control,2,0,2,0,0.0,0.026115305969825198,-0.026115305969825198
2025H1,control,3,2,1,0,0.017786020568293648,0.03411461877740517,-0.01632859820911152
2025H2,underperformance,1,0,0,1,0.0,-0.0,0.004787067376965327
