factor,descriptor,value,discovery_support,confirmation_support,total_support,protective_support,joint_margin_protective_support,other_false_support,neutral_support,confirmed,low_contamination
__strategy__,below_exit_10_bin,1,2,1,10,4,0,0,3,True,False
__strategy__,below_exit_5_bin,1,2,1,16,7,1,2,4,True,False
__strategy__,score_delta_1_sign,negative,2,1,19,10,2,2,4,True,False
__strategy__,score_delta_5_sign,negative,2,1,18,9,0,2,4,True,False
raw__30m__cxt_bi_status_V230101,contribution_delta_5_sign,zero,2,1,12,4,2,1,4,True,False
raw__30m__cxt_bi_status_V230101,flips_5_bin,2_plus,2,1,17,8,2,2,4,True,False
raw__30m__cxt_bi_status_V230101,transition_age_bin,0_1,2,1,16,8,2,1,4,True,False
raw__30m__cxt_third_buy_V230228__di_1,flips_10_bin,2_plus,2,1,11,6,1,0,2,True,False
raw__30m__cxt_third_buy_V230228__di_1,flips_20_bin,2_plus,2,1,13,7,1,0,3,True,False
raw__30m__cxt_third_buy_V230228__di_1,last_transition,三买=>其他,2,1,13,7,1,0,3,True,False
raw__daily__cxt_bi_status_V230101,flips_20_bin,2_plus,2,1,13,5,1,1,4,True,False
raw__daily__cxt_five_bi_V230619__di_1,contribution_delta_1_sign,zero,2,1,19,11,2,2,3,True,False
raw__daily__cxt_five_bi_V230619__di_1,contribution_delta_5_sign,zero,2,1,17,10,2,2,2,True,False
raw__daily__cxt_five_bi_V230619__di_1,flips_5_bin,0,2,1,8,4,2,0,1,True,False
raw__daily__cxt_five_bi_V230619__di_1,mapped_at_t,zero,2,1,17,9,2,2,3,True,False
raw__daily__cxt_five_bi_V230619__di_1,primary_at_t,其他,2,1,11,6,2,0,2,True,False
raw__daily__cxt_seven_bi_V230620__di_1,contribution_delta_1_sign,zero,2,1,19,10,2,2,4,True,False
raw__daily__cxt_seven_bi_V230620__di_1,contribution_delta_5_sign,zero,2,1,15,8,1,1,3,True,False
raw__daily__cxt_seven_bi_V230620__di_1,flips_10_bin,0,2,1,10,4,0,1,2,True,False
raw__daily__cxt_seven_bi_V230620__di_1,flips_20_bin,0,2,1,10,4,0,1,2,True,False
raw__daily__cxt_seven_bi_V230620__di_1,flips_5_bin,0,2,1,12,6,0,1,2,True,False
raw__daily__cxt_seven_bi_V230620__di_1,last_transition,no_transition,2,1,10,4,0,1,2,True,False
raw__daily__cxt_seven_bi_V230620__di_1,mapped_at_t,zero,2,1,16,7,1,2,4,True,False
raw__daily__cxt_seven_bi_V230620__di_1,primary_at_t,其他,2,1,15,7,1,2,3,True,False
raw__daily__cxt_seven_bi_V230620__di_1,run_length_bin,21_plus,2,1,10,4,0,1,2,True,False
raw__daily__cxt_seven_bi_V230620__di_1,transition_age_bin,none,2,1,10,4,0,1,2,True,False
raw__daily__pressure_support_V240406__di_1__w_20,contribution_delta_5_sign,zero,2,1,17,10,1,1,3,True,False
raw__daily__pressure_support_V240406__di_1__w_20,flips_20_bin,2_plus,2,1,13,7,1,1,2,True,False
raw__daily__pressure_support_V240406__di_1__w_20,last_transition,压力位=>其他,2,1,7,4,0,0,0,True,False
raw__daily__pressure_support_V240406__di_1__w_20,mapped_at_t,zero,2,1,16,9,1,1,3,True,False
raw__daily__pressure_support_V240406__di_1__w_20,primary_at_t,其他,2,1,16,9,1,1,3,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,contribution_delta_5_sign,negative,2,1,12,4,0,1,4,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,last_transition,多头=>空头,2,1,19,11,2,1,4,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,mapped_at_t,negative,2,1,19,11,2,1,4,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,primary_at_t,空头,2,1,19,11,2,1,4,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,contribution_delta_1_sign,zero,2,1,15,9,2,1,2,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,contribution_delta_5_sign,zero,2,1,15,10,2,1,1,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,flips_10_bin,0,2,1,9,5,0,0,1,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,flips_20_bin,0,2,1,7,3,0,0,1,True,False
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,flips_5_bin,0,2,1,11,7,1,0,1,True,False
