rule_id,complexity,action_family,regime,block_label,margin_band
always_ex04,0,,,,
action_family=enter_now,1,enter_now,,,
action_family=continue_hold,1,continue_hold,,,
action_family=enter_now|regime=uptrend,2,enter_now,uptrend,,
action_family=enter_now|regime=sideways,2,enter_now,sideways,,
action_family=enter_now|regime=downtrend,2,enter_now,downtrend,,
action_family=continue_hold|regime=uptrend,2,continue_hold,uptrend,,
action_family=continue_hold|regime=sideways,2,continue_hold,sideways,,
action_family=continue_hold|regime=downtrend,2,continue_hold,downtrend,,
action_family=enter_now|block_label=threshold_block,2,enter_now,,threshold_block,
action_family=enter_now|block_label=weight_block,2,enter_now,,weight_block,
action_family=enter_now|block_label=independent_double_block,2,enter_now,,independent_double_block,
action_family=enter_now|block_label=joint_margin_block,2,enter_now,,joint_margin_block,
action_family=continue_hold|block_label=threshold_block,2,continue_hold,,threshold_block,
action_family=continue_hold|block_label=weight_block,2,continue_hold,,weight_block,
action_family=continue_hold|block_label=independent_double_block,2,continue_hold,,independent_double_block,
action_family=continue_hold|block_label=joint_margin_block,2,continue_hold,,joint_margin_block,
action_family=enter_now|margin_band=near,2,enter_now,,,near
action_family=enter_now|margin_band=far,2,enter_now,,,far
action_family=continue_hold|margin_band=near,2,continue_hold,,,near
action_family=continue_hold|margin_band=far,2,continue_hold,,,far
action_family=enter_now|regime=uptrend|margin_band=near,3,enter_now,uptrend,,near
action_family=enter_now|regime=uptrend|margin_band=far,3,enter_now,uptrend,,far
action_family=enter_now|regime=sideways|margin_band=near,3,enter_now,sideways,,near
action_family=enter_now|regime=sideways|margin_band=far,3,enter_now,sideways,,far
action_family=enter_now|regime=downtrend|margin_band=near,3,enter_now,downtrend,,near
action_family=enter_now|regime=downtrend|margin_band=far,3,enter_now,downtrend,,far
action_family=continue_hold|regime=uptrend|margin_band=near,3,continue_hold,uptrend,,near
action_family=continue_hold|regime=uptrend|margin_band=far,3,continue_hold,uptrend,,far
action_family=continue_hold|regime=sideways|margin_band=near,3,continue_hold,sideways,,near
action_family=continue_hold|regime=sideways|margin_band=far,3,continue_hold,sideways,,far
action_family=continue_hold|regime=downtrend|margin_band=near,3,continue_hold,downtrend,,near
action_family=continue_hold|regime=downtrend|margin_band=far,3,continue_hold,downtrend,,far
action_family=enter_now|block_label=threshold_block|margin_band=near,3,enter_now,,threshold_block,near
action_family=enter_now|block_label=threshold_block|margin_band=far,3,enter_now,,threshold_block,far
action_family=enter_now|block_label=weight_block|margin_band=near,3,enter_now,,weight_block,near
action_family=enter_now|block_label=weight_block|margin_band=far,3,enter_now,,weight_block,far
action_family=enter_now|block_label=independent_double_block|margin_band=near,3,enter_now,,independent_double_block,near
action_family=enter_now|block_label=independent_double_block|margin_band=far,3,enter_now,,independent_double_block,far
action_family=enter_now|block_label=joint_margin_block|margin_band=near,3,enter_now,,joint_margin_block,near
action_family=enter_now|block_label=joint_margin_block|margin_band=far,3,enter_now,,joint_margin_block,far
action_family=continue_hold|block_label=threshold_block|margin_band=near,3,continue_hold,,threshold_block,near
action_family=continue_hold|block_label=threshold_block|margin_band=far,3,continue_hold,,threshold_block,far
action_family=continue_hold|block_label=weight_block|margin_band=near,3,continue_hold,,weight_block,near
action_family=continue_hold|block_label=weight_block|margin_band=far,3,continue_hold,,weight_block,far
action_family=continue_hold|block_label=independent_double_block|margin_band=near,3,continue_hold,,independent_double_block,near
action_family=continue_hold|block_label=independent_double_block|margin_band=far,3,continue_hold,,independent_double_block,far
action_family=continue_hold|block_label=joint_margin_block|margin_band=near,3,continue_hold,,joint_margin_block,near
action_family=continue_hold|block_label=joint_margin_block|margin_band=far,3,continue_hold,,joint_margin_block,far
