signal_date,factor_score,champion_target_position,challenger_target_position,champion_execution_position,challenger_execution_position
2020-11-16,0.0,0.0,0.0,,
2020-11-17,0.0,0.0,0.0,0.0,0.0
2020-11-18,0.0,0.0,0.0,0.0,0.0
2020-11-19,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-24,0.0,0.0,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,0.0
2020-12-28,-0.29780296157749153,0.0,0.0,0.0,0.0
2020-12-29,-0.29780296157749153,0.0,0.0,0.0,0.0
2020-12-30,0.012345679012345678,0.0,0.0,0.0,0.0
2020-12-31,0.012345679012345678,0.0,0.0,0.0,0.0
2021-01-04,0.012345679012345678,0.0,0.0,0.0,0.0
2021-01-05,0.012345679012345678,0.0,0.0,0.0,0.0
2021-01-06,0.1550743202949186,0.0,0.0,0.0,0.0
2021-01-07,0.03523053474851196,0.0,0.0,0.0,0.0
2021-01-08,-0.10749810653406097,0.0,0.0,0.0,0.0
2021-01-11,0.03523053474851196,0.0,0.0,0.0,0.0
2021-01-12,0.20265053405577624,1.0,1.0,0.0,0.0
2021-01-13,0.20265053405577624,1.0,1.0,1.0,1.0
2021-01-14,0.1550743202949186,1.0,1.0,1.0,1.0
2021-01-15,0.1550743202949186,1.0,0.5,1.0,1.0
2021-01-18,0.1550743202949186,1.0,0.5,1.0,0.5
2021-01-19,0.1550743202949186,1.0,0.5,1.0,0.5
2021-01-20,0.1550743202949186,1.0,0.5,1.0,0.5
2021-01-21,0.3453791753383492,1.0,1.0,1.0,0.5
2021-01-22,0.39295538909920685,1.0,1.0,1.0,1.0
2021-01-25,0.3453791753383492,1.0,1.0,1.0,1.0
2021-01-26,0.32068781731365786,1.0,1.0,1.0,1.0
2021-01-27,0.22553538979194257,1.0,1.0,1.0,1.0
2021-01-28,-0.059921892773203284,0.0,0.0,1.0,1.0
2021-01-29,-0.059921892773203284,0.0,0.0,0.0,0.0
2021-02-01,-0.059921892773203284,0.0,0.0,0.0,0.0
2021-02-02,0.107498106534061,0.0,0.0,0.0,0.0
2021-02-03,-0.15507432029491855,0.0,0.0,0.0,0.0
2021-02-04,-0.2502267478166339,0.0,0.0,0.0,0.0
2021-02-05,-0.059921892773203284,0.0,0.0,0.0,0.0
2021-02-08,-0.15507432029491855,0.0,0.0,0.0,0.0
2021-02-09,-0.03523053474851196,0.0,0.0,0.0,0.0
2021-02-10,-0.03523053474851196,0.0,0.0,0.0,0.0
2021-02-18,0.024239732452560094,0.0,0.0,0.0,0.0
2021-02-19,0.00045162557213126314,0.0,0.0,0.0,0.0
2021-02-22,0.07091269506915526,0.0,0.0,0.0,0.0
2021-02-23,0.07091269506915526,0.0,0.0,0.0,0.0
2021-02-24,0.07091269506915526,0.0,0.0,0.0,0.0
2021-02-25,-0.11939215997427535,0.0,0.0,0.0,0.0
2021-02-26,-0.11939215997427535,0.0,0.0,0.0,0.0
2021-03-01,0.07181594621341778,0.0,0.0,0.0,0.0
2021-03-02,-0.047124588188726335,0.0,0.0,0.0,0.0
2021-03-03,0.07181594621341778,0.0,0.0,0.0,0.0
2021-03-04,-0.09560405309384648,0.0,0.0,0.0,0.0
2021-03-05,-0.09560405309384648,0.0,0.0,0.0,0.0
2021-03-08,-0.21454458749599062,0.0,0.0,0.0,0.0
2021-03-09,-0.21454458749599062,0.0,0.0,0.0,0.0
2021-03-10,-0.09560405309384648,0.0,0.0,0.0,0.0
2021-03-11,-0.09560405309384648,0.0,0.0,0.0,0.0
2021-03-12,-0.047124588188726335,0.0,0.0,0.0,0.0
2021-03-15,-0.21454458749599062,0.0,0.0,0.0,0.0
2021-03-16,-0.09560405309384648,0.0,0.0,0.0,0.0
2021-03-17,-0.21454458749599062,0.0,0.0,0.0,0.0
2021-03-18,-0.047124588188726335,0.0,0.0,0.0,0.0
2021-03-19,-0.21454458749599062,0.0,0.0,0.0,0.0
2021-03-22,-0.16606512259087053,0.0,0.0,0.0,0.0
2021-03-23,-0.3087937638734435,0.0,0.0,0.0,0.0
2021-03-24,-0.5000018700611366,0.0,0.0,0.0,0.0
2021-03-25,-0.3572732287785636,0.0,0.0,0.0,0.0
2021-03-26,0.26212080125684833,1.0,1.0,0.0,0.0
2021-03-29,0.26212080125684833,1.0,1.0,1.0,1.0
2021-03-30,0.1431802668547042,1.0,1.0,1.0,1.0
2021-03-31,0.1431802668547042,1.0,0.5,1.0,1.0
2021-04-01,0.40484944253942123,1.0,1.0,1.0,0.5
2021-04-02,0.5951542975828519,1.0,1.0,1.0,1.0
2021-04-06,0.5951542975828519,1.0,1.0,1.0,1.0
2021-04-07,0.47621376318070774,1.0,1.0,1.0,1.0
2021-04-08,0.47621376318070774,1.0,1.0,1.0,1.0
2021-04-09,0.16606512259087053,1.0,0.5,1.0,1.0
2021-04-12,-0.166968373735133,0.0,0.0,1.0,0.5
2021-04-13,-0.0480278393329889,0.0,0.0,0.0,0.0
2021-04-14,-0.0480278393329889,0.0,0.0,0.0,0.0
2021-04-15,0.166968373735133,0.0,0.0,0.0,0.0
2021-04-16,0.30969701501770597,1.0,1.0,0.0,0.0
2021-04-19,0.5000018700611366,1.0,1.0,1.0,1.0
2021-04-20,0.5000018700611366,1.0,1.0,1.0,1.0
2021-04-21,0.5358327060497825,1.0,1.0,1.0,1.0
2021-04-22,0.5951542975828519,1.0,1.0,1.0,1.0
2021-04-23,0.5358327060497825,1.0,1.0,1.0,1.0
2021-04-26,0.5951542975828519,1.0,1.0,1.0,1.0
2021-04-27,0.47621376318070774,1.0,1.0,1.0,1.0
2021-04-28,0.5951542975828519,1.0,1.0,1.0,1.0
2021-04-29,0.47621376318070774,1.0,1.0,1.0,1.0
2021-04-30,0.47621376318070774,1.0,1.0,1.0,1.0
2021-05-06,0.16606512259087053,1.0,0.5,1.0,1.0
2021-05-07,0.07091269506915523,1.0,0.5,1.0,0.5
2021-05-10,0.1184889088300129,1.0,0.5,1.0,0.5
2021-05-11,0.1184889088300129,1.0,0.5,1.0,0.5
2021-05-12,0.11939215997427542,1.0,0.5,1.0,0.5
2021-05-13,0.11939215997427542,1.0,0.5,1.0,0.5
2021-05-14,0.40484944253942123,1.0,1.0,1.0,0.5
2021-05-17,0.5475780838219942,1.0,1.0,1.0,1.0
2021-05-18,0.4286375494198501,1.0,1.0,1.0,1.0
2021-05-19,0.4286375494198501,1.0,1.0,1.0,1.0
2021-05-20,0.5475780838219942,1.0,1.0,1.0,1.0
2021-05-21,0.33258187075387224,1.0,1.0,1.0,1.0
2021-05-24,0.47621376318070774,1.0,1.0,1.0,1.0
2021-05-25,0.40484944253942123,1.0,1.0,1.0,1.0
2021-05-26,0.40484944253942123,1.0,1.0,1.0,1.0
2021-05-27,0.5951542975828519,1.0,1.0,1.0,1.0
2021-05-28,0.40484944253942123,1.0,1.0,1.0,1.0
2021-05-31,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-01,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-02,0.47621376318070774,1.0,1.0,1.0,1.0
2021-06-03,0.3087937638734435,1.0,1.0,1.0,1.0
2021-06-04,0.36841270674251814,1.0,1.0,1.0,1.0
2021-06-07,0.5358327060497825,1.0,1.0,1.0,1.0
2021-06-08,0.3087937638734435,1.0,1.0,1.0,1.0
2021-06-09,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-10,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-11,0.5000018700611366,1.0,1.0,1.0,1.0
2021-06-15,0.40484944253942123,1.0,1.0,1.0,1.0
2021-06-16,0.023336481308297602,0.0,0.0,1.0,1.0
2021-06-17,0.40484944253942123,1.0,1.0,0.0,0.0
2021-06-18,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-21,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-22,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-23,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-24,0.3087937638734435,1.0,1.0,1.0,1.0
2021-06-25,0.47621376318070774,1.0,1.0,1.0,1.0
2021-06-28,0.5951542975828519,1.0,1.0,1.0,1.0
2021-06-29,0.5358327060497825,1.0,1.0,1.0,1.0
2021-06-30,0.5951542975828519,1.0,1.0,1.0,1.0
2021-07-01,0.5951542975828519,1.0,1.0,1.0,1.0
2021-07-02,0.16606512259087053,1.0,0.5,1.0,1.0
2021-07-05,0.5951542975828519,1.0,1.0,1.0,0.5
2021-07-06,0.023336481308297602,0.0,0.0,1.0,1.0
2021-07-07,0.452425656300279,1.0,1.0,0.0,0.0
2021-07-08,0.41704270576149105,1.0,1.0,1.0,1.0
2021-07-09,0.41704270576149105,1.0,1.0,1.0,1.0
2021-07-12,0.29810217135934697,1.0,1.0,1.0,1.0
2021-07-13,0.13068217205208268,1.0,0.5,1.0,1.0
2021-07-14,-0.08400920943548748,0.0,0.0,1.0,0.5
2021-07-15,-0.2743140644789181,0.0,0.0,0.0,0.0
2021-07-16,-0.41704270576149105,0.0,0.0,0.0,0.0
2021-07-19,-0.41704270576149105,0.0,0.0,0.0,0.0
2021-07-20,-0.2981021713593469,0.0,0.0,0.0,0.0
2021-07-21,0.07181594621341773,0.0,0.0,0.0,0.0
2021-07-22,0.09560405309384655,0.0,0.0,0.0,0.0
2021-07-23,0.1431802668547042,0.0,0.0,0.0,0.0
2021-07-26,0.07091269506915523,0.0,0.0,0.0,0.0
2021-07-27,0.1422770157104417,0.0,0.0,0.0,0.0
2021-07-28,0.011143218086227813,0.0,0.0,0.0,0.0
2021-07-29,0.3926561793173515,1.0,1.0,0.0,0.0
2021-07-30,0.3926561793173515,1.0,1.0,1.0,1.0
2021-08-02,0.33333458778428204,1.0,1.0,1.0,1.0
2021-08-03,0.08250753872751426,1.0,0.5,1.0,1.0
2021-08-04,0.2737156449152074,1.0,1.0,1.0,0.5
2021-08-05,0.3572732287785636,1.0,1.0,1.0,1.0
2021-08-06,0.03537921041651463,1.0,0.5,1.0,1.0
2021-08-09,-0.15537353007677399,0.0,0.0,1.0,0.5
2021-08-10,-0.13158542319634517,0.0,0.0,0.0,0.0
2021-08-11,-0.2743140644789181,0.0,0.0,0.0,0.0
2021-08-12,0.2023513242739209,1.0,1.0,0.0,0.0
2021-08-13,-0.1791616369572028,1.0,1.0,1.0,1.0
2021-08-16,-0.4286375494198501,1.0,1.0,1.0,1.0
2021-08-17,-0.3572732287785636,0.0,0.0,1.0,1.0
2021-08-18,-0.3572732287785636,0.0,0.0,0.0,0.0
2021-08-19,-0.0709126950691552,0.0,0.0,0.0,0.0
2021-08-20,-0.1898532294712993,0.0,0.0,0.0,0.0
2021-08-23,0.07181594621341773,0.0,0.0,0.0,0.0
2021-08-24,0.21454458749599065,1.0,1.0,0.0,0.0
2021-08-25,-0.26212080125684833,1.0,1.0,1.0,1.0
2021-08-26,-0.07181594621341772,1.0,1.0,1.0,1.0
2021-08-27,-0.07181594621341772,0.0,0.0,1.0,1.0
2021-08-30,-0.07181594621341772,0.0,0.0,0.0,0.0
2021-08-31,0.1184889088300129,0.0,0.0,0.0,0.0
2021-09-01,-0.16696837373513299,0.0,0.0,0.0,0.0
2021-09-02,-0.16696837373513299,0.0,0.0,0.0,0.0
2021-09-03,-0.16696837373513299,0.0,0.0,0.0,0.0
2021-09-06,0.11939215997427542,0.0,0.0,0.0,0.0
2021-09-07,0.11939215997427542,0.0,0.0,0.0,0.0
2021-09-08,-0.16696837373513299,0.0,0.0,0.0,0.0
2021-09-09,-0.16696837373513299,0.0,0.0,0.0,0.0
2021-09-10,0.14318026685470425,0.0,0.0,0.0,0.0
