factor,factor_kind,endpoint,direction,discovery_effect
state__raw__daily__cxt_bi_trend_V230913__di_1::下降趋势,state,max_drawdown_delta,-1,-0.00790083944173811
state__raw__daily__cxt_bi_zdf_V230601__di_1::向上,state,max_drawdown_delta,1,0.007178435506436644
state__raw__daily__cxt_decision_V240612__di_1::其他,state,return_delta,1,0.010578408726917002
state__raw__daily__cxt_nine_bi_V230621__di_1::其他,state,return_delta,1,0.054327616934142585
state__raw__daily__cxt_overlap_V240526__di_1::顶重合0次,state,return_delta,-1,-0.022641700857238333
state__raw__daily__cxt_overlap_V240526__di_1::顶重合1次,state,return_delta,1,0.0234990535468747
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,return_delta,1,0.018427437771632322
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,return_delta,-1,-0.022868965713289963
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,return_delta,1,0.01383887047265541
state__raw__daily__cxt_third_bs_V230319__di_1::三卖,event,return_delta,1,0.014038485116635894
state__raw__daily__cxt_three_bi_V230618__di_1::其他,state,return_delta,-1,-0.009387689659002869
