factor,factor_kind,year,horizon,active_n,control_n,active_return,control_return,return_delta,active_mae,control_mae,mae_delta,active_max_drawdown,control_max_drawdown,max_drawdown_delta
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2021,5,57,186,-0.010499786355933068,0.0026577711443807775,-0.013157557500313846,-0.0248385438276265,-0.014610980648210734,-0.010227563179415766,-0.03250414784100039,-0.023589214080272022,-0.008914933760728369
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2021,20,57,186,-0.03994768281087193,0.005688301241731859,-0.04563598405260379,-0.06471131776115982,-0.037992014113730356,-0.026719303647429464,-0.08443483232426256,-0.05794900403648174,-0.026485828287780823
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2021,60,57,186,0.009326396791408289,-0.024579060998944056,0.033905457790352346,-0.10072237148143677,-0.09687205694831656,-0.003850314533120208,-0.12319013644421505,-0.13154192689075947,0.008351790446544424
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2022,5,0,242,,-0.005517487177435939,,,-0.02246013959031556,,,-0.031423830049973685,
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2022,20,0,242,,-0.018319634061703026,,,-0.06731845874106003,,,-0.08700335995872352,
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2022,60,0,242,,-0.03720909524959311,,,-0.13585455085602446,,,-0.17021393965956208,
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2023,5,0,237,,-0.0029736705408424206,,,-0.015476891443280382,,,-0.022485533440191968,
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2023,20,0,222,,-0.013550386422731268,,,-0.04143851575156516,,,-0.05899452225830922,
state__raw__daily__cxt_bi_trend_V230824__di_1::其他,state,2023,60,0,182,,-0.046136369363514874,,,-0.08250077097789967,,,-0.12040487836993807,
state__raw__daily__cxt_bi_trend_V230824__di_1::向上,state,2021,5,29,214,0.01026469461307679,-0.0018776566972550808,0.01214235131033187,-0.013297565235964252,-0.01751313087335955,0.004215565637395297,-0.025053969609612058,-0.025765257603686302,0.0007112879940742445
state__raw__daily__cxt_bi_trend_V230824__di_1::向上,state,2021,20,29,214,0.03403088288651114,-0.010307894826945779,0.04433877771345692,-0.024523791016216687,-0.046933971019017154,0.022410180002800466,-0.050097999813317085,-0.06606756167608586,0.01596956186276878
state__raw__daily__cxt_bi_trend_V230824__di_1::向上,state,2021,60,29,214,-0.08127898482895907,-0.00786453349838088,-0.07341445133057818,-0.10232496548977486,-0.09715866246553881,-0.005166303024236055,-0.14944114074934187,-0.1268917901741617,-0.022549350575180177
state__raw__daily__cxt_bi_trend_V230824__di_1::向上,state,2022,5,7,235,0.013866904422785122,-0.006094894586804225,0.019961799009589345,-0.009345289493390039,-0.022850794699585678,0.01350550520619564,-0.02632670498338536,-0.03157565930727632,0.005248954323890963
state__raw__daily__cxt_bi_trend_V230824__di_1::向上,state,2022,20,7,235,-0.006830270863242933,-0.018661870412295452,0.011831599549052519,-0.02721441445390655,-0.06851304729429439,0.04129863284038784,-0.060711188204683464,-0.08778653103224812,0.027075342827564658
state__raw__daily__cxt_bi_trend_V230824__di_1::向上,state,2022,60,7,235,-0.04982452940066949,-0.03683331635998659,-0.012991213040682903,-0.05844614833852259,-0.13816033305867345,0.07971418472015086,-0.13579083735720182,-0.17123930866431325,0.03544847130711143
