year,horizon,age_bin,n,mean_return,mean_mae,mean_max_drawdown
2021,5,early_1_3,39,0.006198116019627857,-0.01273022585767213,-0.023229909676584025
2021,5,middle_4_8,24,-0.0007743388829408634,-0.014974632303113827,-0.025087844623219197
2021,5,mature_9_plus,0,,,
2021,20,early_1_3,39,0.0011083191433893262,-0.03579890641362706,-0.058300271702455435
2021,20,middle_4_8,24,-0.018339247950227424,-0.04778862710384777,-0.06615589219565889
2021,20,mature_9_plus,0,,,
2021,60,early_1_3,39,-0.08744768942252232,-0.12361351073438771,-0.1582938714561366
2021,60,middle_4_8,24,-0.10485789534310193,-0.13466527278683368,-0.1655379698016233
2021,60,mature_9_plus,0,,,
2022,5,early_1_3,39,0.009629784835319373,-0.01274009632237148,-0.024184869978498662
2022,5,middle_4_8,14,-0.00524166007676498,-0.026721622189818432,-0.036147663419585065
2022,5,mature_9_plus,0,,,
2022,20,early_1_3,39,-0.00361301452553742,-0.043409253874998034,-0.07242320122220797
2022,20,middle_4_8,14,-0.017925781441751824,-0.0575774675572023,-0.07677889380065452
2022,20,mature_9_plus,0,,,
2022,60,early_1_3,39,-0.019023483989396416,-0.11071358449815367,-0.15482764287585146
2022,60,middle_4_8,14,-0.02484441912228568,-0.11423018557902324,-0.14867642448764085
2022,60,mature_9_plus,0,,,
2023,5,early_1_3,45,0.0018690875137401062,-0.014983517804987849,-0.022328632841751312
2023,5,middle_4_8,26,-0.005351787184940645,-0.017333511773648627,-0.02347869820507035
2023,5,mature_9_plus,0,,,
2023,20,early_1_3,45,-0.0125678651180162,-0.041411575232193985,-0.06282622204367645
2023,20,middle_4_8,26,-0.0033147970385059866,-0.04102384035660108,-0.05149568940257327
2023,20,mature_9_plus,0,,,
2023,60,early_1_3,45,-0.07490859479921731,-0.11472768201489528,-0.1462076410811492
2023,60,middle_4_8,26,-0.07127477852886174,-0.10467240725170024,-0.13860229377533997
2023,60,mature_9_plus,0,,,
2024,5,early_1_3,39,0.0036488144005457977,-0.023392252015569322,-0.03191783114001777
2024,5,middle_4_8,16,0.006840278775390167,-0.009615699172473506,-0.02788582678362872
2024,5,mature_9_plus,0,,,
2024,20,early_1_3,39,-0.007471512060887524,-0.05308552941271706,-0.0737548691029815
2024,20,middle_4_8,16,-0.015261879255589111,-0.03796953214669971,-0.06749261169925394
2024,20,mature_9_plus,0,,,
2024,60,early_1_3,39,0.02106320095271488,-0.08331308947957677,-0.12024952938451801
2024,60,middle_4_8,16,0.06006570925498437,-0.07387631190457136,-0.1138642323534887
2024,60,mature_9_plus,0,,,
2025,5,early_1_3,48,0.01099478957485213,-0.013691556485073158,-0.024640806689640093
2025,5,middle_4_8,32,0.010518403310243469,-0.010450098625191667,-0.01692147616173978
2025,5,mature_9_plus,0,,,
2025,20,early_1_3,45,0.05453427769338225,-0.027514039960225226,-0.05724359525368404
2025,20,middle_4_8,30,0.03458294934815207,-0.02744628062742297,-0.051757059487061
2025,20,mature_9_plus,0,,,
2025,60,early_1_3,37,0.11163247376893168,-0.04807695103056818,-0.13002780373529652
2025,60,middle_4_8,29,0.13986366709526382,-0.04736588174943878,-0.12021999178642442
2025,60,mature_9_plus,0,,,
