factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|满足|任意,state,return_20,1,0.007532689624942265,raw__30m__cxt_bi_status_V230101,0.5710202880010499
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|3笔,state,max_drawdown_20,-1,-0.005125188968929361,raw__30m__cxt_third_buy_V230228__di_1,0.23150097622495824
state__raw__30m__cxt_bi_base_V230228__di_1__v2::中继,state,return_20,1,0.012071004035540301,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.17321937836162085
state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|中继|任意,state,return_20,1,0.01393954070506447,raw__30m__cxt_bi_status_V230101,0.39796331638628163
state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|中继|任意,state,return_20,1,0.007943186753104011,raw__30m__cxt_bi_status_V230101,0.39343095754159485
state__raw__30m__cxt_bi_end_V230222__di_1__v1::新低,state,return_20,-1,-0.012691810785175806,raw__30m__cxt_bi_status_V230101,0.28150390313512197
state__raw__30m__cxt_bi_end_V230222__di_1__v1::新高,state,return_20,1,0.014318670364905814,raw__30m__cxt_bi_status_V230101,0.2608822876938643
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第2次,state,return_20,-1,-0.011264277959413685,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07333583635533375
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意,state,return_20,1,0.020980502373018635,raw__daily__cxt_seven_bi_V230620__di_1,0.05393728907728229
state__raw__30m__cxt_bi_end_V230312__di_1__v1::看空,state,return_20,1,0.005886567594646986,raw__30m__cxt_bi_status_V230101,0.3470500509457295
state__raw__30m__cxt_bi_end_V230322__di_1__v1::看多,state,max_drawdown_20,1,0.010890229072379836,raw__30m__cxt_bi_status_V230101,0.21757451507693978
state__raw__30m__cxt_bi_end_V230322__di_1__v2::反向分型,state,max_drawdown_20,1,0.007198555654348554,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.09527581233904533
state__raw__30m__cxt_bi_end_V230618__di_1__v1::看多,state,return_20,-1,-0.005995547448283548,raw__30m__cxt_bi_status_V230101,0.47015926925507334
state__raw__30m__cxt_bi_status_V230101__di_1__v2::底分,state,return_20,-1,-0.01038485443430297,raw__30m__cxt_bi_status_V230101,0.5429948042036176
state__raw__30m__cxt_bi_status_V230101__di_1__v2::延伸,state,return_20,1,0.009235732523453045,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.11778729841084673
state__raw__30m__cxt_bi_status_V230101__di_1__v2::顶分,state,return_20,1,0.005546238499872367,raw__30m__cxt_bi_status_V230101,0.6286558425292037
state__raw__30m__cxt_bi_status_V230101__di_1__joint::向上|延伸|任意,state,return_20,1,0.005169956992124843,raw__30m__cxt_bi_status_V230101,0.5620478465455567
state__raw__30m__cxt_bi_status_V230101__di_1__joint::向下|延伸|任意,state,return_20,1,0.008205527750980931,raw__30m__cxt_bi_status_V230101,0.5485187819131294
state__raw__30m__cxt_bi_status_V230102__di_1__v1::向上,state,return_20,1,0.0052190004410191185,raw__30m__cxt_bi_status_V230101,0.5211492161465147
state__raw__30m__cxt_bi_status_V230102__di_1__v2::底分,state,return_20,-1,-0.00661170021976869,raw__30m__cxt_bi_status_V230101,0.36168217873783154
state__raw__30m__cxt_bi_status_V230102__di_1__joint::向上|延伸|任意,state,return_20,1,0.010405837753307447,raw__30m__cxt_bi_status_V230101,0.35648383547569507
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::向上,state,return_20,1,0.013885499700986311,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.30767308582638603
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::向下,state,return_20,1,0.02051694688961207,raw__daily__cxt_bi_status_V230101,0.2897525442543751
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::横盘,state,return_20,-1,-0.013644655079905416,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.08498472823709564
state__raw__30m__cxt_bi_trend_V230913__di_1__v1::下降趋势,state,return_20,-1,-0.006628408180175581,raw__30m__cxt_bi_status_V230101,0.314924795152196
state__raw__30m__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意,state,return_20,-1,-0.006521832548047078,raw__30m__cxt_bi_status_V230101,0.3122995905046912
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层,state,max_drawdown_20,1,0.0134783730121119,raw__30m__cxt_third_buy_V230228__di_1,0.12175434074308585
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第2层,state,max_drawdown_20,-1,-0.005488316830404631,target_position,0.05131662323046154
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意,state,max_drawdown_20,1,0.00901566890980922,raw__30m__cxt_bi_status_V230101,0.4049062106851707
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意,state,max_drawdown_20,1,0.013734825354870344,raw__30m__cxt_bi_status_V230101,0.3568820853156166
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第2层|任意,state,max_drawdown_20,-1,-0.009825497001770354,raw__30m__cxt_bi_status_V230101,0.2458384004387209
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第4层|任意,state,return_20,-1,-0.006867310554241983,raw__30m__cxt_bi_status_V230101,0.22084870900000972
state__raw__30m__cxt_decision_V240526__di_1__v1::开多,state,return_20,1,0.007278285464164392,raw__30m__cxt_bi_status_V230101,0.2923089135568375
state__raw__30m__cxt_decision_V240612__di_1__v1::开多,state,return_20,1,0.01438245913024518,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.1446741840489538
state__raw__30m__cxt_decision_V240612__di_1__v1::开空,state,max_drawdown_20,1,0.005419817371116681,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.20725196288508888
state__raw__30m__cxt_fx_power_V221107__di_1__v1::弱顶,state,max_drawdown_20,1,0.006690703228368242,raw__30m__cxt_bi_status_V230101,0.10317863039646502
state__raw__30m__cxt_fx_power_V221107__di_1__joint::中顶|有中枢|任意,state,return_20,1,0.005608071745112421,raw__30m__cxt_third_buy_V230228__di_1,0.07383256859230651
state__raw__30m__cxt_fx_power_V221107__di_1__joint::弱顶|有中枢|任意,state,max_drawdown_20,1,0.007169485816599217,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.08370148219709082
state__raw__30m__cxt_fx_power_V221107__di_1__joint::强顶|有中枢|任意,state,max_drawdown_20,1,0.005734824667495804,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.2001718172688958
state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合0次,state,return_20,1,0.020398817184148692,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.4102338962130145
state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合1次,state,return_20,-1,-0.016974109050477276,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.28362934483673896
state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合2次,state,max_drawdown_20,-1,-0.00527210309476078,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.20086894685879747
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合0次|底重合0次|任意,state,return_20,1,0.019743658171168545,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.17197840109145754
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合0次|任意,state,return_20,-1,-0.023507661812425824,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.33075288186193363
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡,state,max_drawdown_20,-1,-0.009707949268069605,raw__weekly__cxt_bi_status_V230101,0.10786593506638231
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::6笔震荡,state,max_drawdown_20,1,0.01362091273243406,raw__daily__cxt_bi_status_V230101,0.08447661429417189
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向上|任意,state,return_20,-1,-0.013827409435334628,raw__30m__cxt_third_buy_V230228__di_1,0.0910014763087024
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向下|任意,state,max_drawdown_20,-1,-0.01006787017691749,raw__30m__cxt_third_buy_V230228__di_1,0.16120385800974565
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型,state,max_drawdown_20,-1,-0.008940988287670365,raw__30m__cxt_third_buy_V230228__di_1,0.2714521141115112
state__raw__30m__cxt_ubi_end_V230816__di_1__v1::新高,state,return_20,-1,-0.008923667814797755,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.21955294642388884
state__raw__30m__zdy_bi_end_V230407__di_1__joint::看多|任意|任意,state,return_20,-1,-0.006534839220578256,raw__30m__cxt_bi_status_V230101,0.21757451507693992
state__raw__daily__byi_fx_num_V230628__di_1__v1::向上,state,max_drawdown_20,1,0.008116436062900615,raw__daily__cxt_bi_status_V230101,0.7121086787404362
state__raw__daily__byi_fx_num_V230628__di_1__joint::向上|其他|任意,state,max_drawdown_20,1,0.01660521328737622,raw__daily__cxt_bi_status_V230101,0.34482727571882266
state__raw__daily__byi_fx_num_V230628__di_1__joint::向下|其他|任意,state,max_drawdown_20,1,0.005982536861230172,raw__daily__cxt_five_bi_V230619__di_1,0.45354143503043653
