factor,exact_match,closest_reference,max_abs_correlation
state__raw__30m__byi_bi_end_V230106__di_1__v1::nan,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.27141895859528975
state__raw__30m__byi_bi_end_V230106__di_1__v1::看多,False,raw__30m__cxt_bi_status_V230101,0.08021460139661979
state__raw__30m__byi_bi_end_V230106__di_1__v1::看空,False,raw__30m__cxt_bi_status_V230101,0.08217146062178009
state__raw__30m__byi_bi_end_V230106__di_1__v2::弱,False,target_position,0.05936100009191599
state__raw__30m__byi_bi_end_V230106__di_1__v2::强,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.04225550634996813
state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|弱|任意,False,target_position,0.051387450856528634
state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|强|任意,False,raw__30m__cxt_bi_status_V230101,0.06703105147153661
state__raw__30m__byi_bi_end_V230106__di_1__joint::看空|弱|任意,False,raw__30m__cxt_bi_status_V230101,0.03347892838960475
state__raw__30m__byi_bi_end_V230106__di_1__joint::看空|强|任意,False,raw__30m__cxt_bi_status_V230101,0.07498170914257653
state__raw__30m__byi_bi_end_V230107__di_1__v1::看多,False,raw__30m__cxt_bi_status_V230101,0.16656128659028877
state__raw__30m__byi_bi_end_V230107__di_1__v1::看空,False,raw__30m__cxt_bi_status_V230101,0.18554534537722672
state__raw__30m__byi_bi_end_V230107__di_1__v2::弱,False,raw__30m__cxt_third_buy_V230228__di_1,0.0469043567479055
state__raw__30m__byi_bi_end_V230107__di_1__v2::强,False,raw__daily__cxt_seven_bi_V230620__di_1,0.09681919495933689
state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|弱|任意,False,raw__30m__cxt_bi_status_V230101,0.1493656777109093
state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|强|任意,False,raw__30m__cxt_bi_status_V230101,0.07168814393177357
state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|弱|任意,False,raw__30m__cxt_bi_status_V230101,0.16554887813674957
state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|强|任意,False,raw__daily__cxt_seven_bi_V230620__di_1,0.09122245943341742
state__raw__30m__byi_fx_num_V230628__di_1__v1::向上,False,raw__30m__cxt_bi_status_V230101,0.7178028307160149
state__raw__30m__byi_fx_num_V230628__di_1__v1::向下,False,raw__30m__cxt_bi_status_V230101,0.6542796313564265
state__raw__30m__byi_fx_num_V230628__di_1__v2::满足,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.060785883734606645
state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|其他|任意,False,raw__30m__cxt_bi_status_V230101,0.3489505726180077
state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|满足|任意,False,raw__30m__cxt_bi_status_V230101,0.5710202880010499
state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|其他|任意,False,raw__30m__cxt_bi_status_V230101,0.30174963133401617
