factor,reason
state__raw__30m__byi_bi_end_V230106__di_1__v1::nan,state_active_support
state__raw__30m__byi_bi_end_V230106__di_1__v1::看多,state_active_support
state__raw__30m__byi_bi_end_V230106__di_1__v1::看空,state_active_support
state__raw__30m__byi_bi_end_V230106__di_1__v2::弱,state_active_support
state__raw__30m__byi_bi_end_V230106__di_1__v2::强,state_active_support
state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|弱|任意,state_active_support
state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|强|任意,state_active_support
state__raw__30m__byi_bi_end_V230106__di_1__joint::看空|弱|任意,state_active_support
state__raw__30m__byi_bi_end_V230106__di_1__joint::看空|强|任意,state_active_support
state__raw__30m__byi_bi_end_V230107__di_1__v1::看多,state_active_support
state__raw__30m__byi_bi_end_V230107__di_1__v1::看空,state_active_support
state__raw__30m__byi_bi_end_V230107__di_1__v2::弱,state_active_support
state__raw__30m__byi_bi_end_V230107__di_1__v2::强,state_active_support
state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|弱|任意,state_active_support
state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|强|任意,state_active_support
state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|弱|任意,state_active_support
state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|强|任意,state_active_support
state__raw__30m__byi_fx_num_V230628__di_1__v1::向上,minimum_absolute_effect
state__raw__30m__byi_fx_num_V230628__di_1__v1::向下,minimum_absolute_effect
state__raw__30m__byi_fx_num_V230628__di_1__v2::满足,minimum_absolute_effect
state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|其他|任意,cross_year_direction
state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|其他|任意,cross_year_direction
state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|满足|任意,state_influence
state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否,minimum_absolute_effect
state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::是,minimum_absolute_effect
state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向上,minimum_absolute_effect
state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向下,minimum_absolute_effect
state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::3笔,minimum_absolute_effect
state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::5笔,minimum_absolute_effect
state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::7笔,cross_year_direction
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向上|任意,minimum_absolute_effect
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意,minimum_absolute_effect
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|5笔,state_active_support
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|7笔,state_active_support
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔,state_influence
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|5笔,state_active_support
state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|7笔,state_active_support
state__raw__30m__cxt_bi_base_V230228__di_1__v2::转折,cross_year_direction
state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|转折|任意,minimum_absolute_effect
state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|转折|任意,minimum_absolute_effect
state__raw__30m__cxt_bi_end_V230104__di_1__v1::看多,state_active_support
state__raw__30m__cxt_bi_end_V230104__di_1__v1::看空,state_active_support
state__raw__30m__cxt_bi_end_V230105__di_1__v1::看多,state_active_support
state__raw__30m__cxt_bi_end_V230105__di_1__v1::看空,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第1次,cross_year_direction
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第3次,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第4次,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第5次,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第6次,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第8次,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第9次,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第其他次,cross_year_direction
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第1次|任意,minimum_absolute_effect
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第3次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第4次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第5次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第6次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第8次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第2次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第3次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第4次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第5次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第6次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第8次|任意,state_active_support
state__raw__30m__cxt_bi_end_V230224__di_1__v1::看多,state_active_support
state__raw__30m__cxt_bi_end_V230224__di_1__v1::看空,state_active_support
state__raw__30m__cxt_bi_end_V230312__di_1__v1::看多,minimum_absolute_effect
state__raw__30m__cxt_bi_end_V230320__di_1__v1::看多,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v1::看空,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::11K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::13K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::17K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::19K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::23K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::29K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::31K,state_active_support
