factor,year,endpoint,effect,matched_strata,references
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2021,return_20,-0.012063426602152975,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2022,return_20,-0.06323679462282836,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2023,return_20,0.014228055141417832,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2024,return_20,-0.0401239776100241,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2025,return_20,0.016630963312547598,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2021,max_drawdown_20,0.010769577447924603,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2022,max_drawdown_20,0.007400945681224014,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2023,max_drawdown_20,0.019912380969216895,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2024,max_drawdown_20,0.04410851776604966,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_0,2025,max_drawdown_20,0.03606790365805408,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2021,return_20,0.01179370162438932,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2022,return_20,0.012397760031496605,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2023,return_20,0.002655165296184262,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2024,return_20,-0.05684212693699496,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2025,return_20,0.030481468176173733,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2021,max_drawdown_20,0.024188479873733664,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2022,max_drawdown_20,0.019803280496293874,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2023,max_drawdown_20,0.009768991826412485,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2024,max_drawdown_20,0.004281221362029394,1,['target_position']
conditional__dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit__target_1,2025,max_drawdown_20,0.03524528555987361,1,['target_position']
