candidate_id,trend_trend_multiplier,trend_volume_multiplier,range_trend_multiplier,range_volume_multiplier,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count,manhattan_distance,euclidean_distance,strategy_return_delta_from_selected,annualized_return_delta_from_selected,max_drawdown_delta_from_selected,calmar_delta_from_selected,win_loss_ratio_delta_from_selected,closed_trade_count_delta_from_selected,winning_trade_count_delta_from_selected,losing_trade_count_delta_from_selected,has_wins_and_losses_delta_from_selected,sharpe_delta_from_selected,exposure_delta_from_selected,trade_count_delta_from_selected,strategy_return_global_percentile,strategy_return_neighborhood_percentile,sharpe_global_percentile,sharpe_neighborhood_percentile,max_drawdown_global_percentile,max_drawdown_neighborhood_percentile,calmar_global_percentile,calmar_neighborhood_percentile,win_loss_ratio_global_percentile,win_loss_ratio_neighborhood_percentile,exposure_global_percentile,exposure_neighborhood_percentile,trade_count_global_percentile,trade_count_neighborhood_percentile,closed_trade_count_global_percentile,closed_trade_count_neighborhood_percentile
18,0.5,0.5,1.25,1.25,0.9696009251885924,0.15134997732359823,-0.27397911819609433,0.5524142800374768,4.4524681853270245,65,20,45,True,0.8377109362374674,0.5338283828382838,131,1.0,1.0,0.21702754920444467,0.027611243822070808,-0.04325631972477417,0.016105192589802364,-0.17541223166546516,2.0,2.0,0.0,0.0,0.11310010829121986,0.0066006600660065695,4.0,0.9744,1.0,0.9616,1.0,0.7312,0.5,0.8832,0.9333333333333333,0.8992,0.7666666666666667,0.3152,0.5166666666666667,0.2752,0.38333333333333336,0.2752,0.38333333333333336
138,0.75,0.5,1.0,1.25,0.6428889349872051,0.10873926687124658,-0.2707609938851795,0.40160610031354516,4.541656256224637,69,19,50,True,0.6552494116104923,0.5528052805280528,139,1.0,1.0,-0.10968444099694263,-0.014999466630280844,-0.040038195413859334,-0.13470298713412932,-0.08622416076785289,6.0,1.0,5.0,0.0,-0.06936141633575521,0.025577557755775526,12.0,0.544,0.26666666666666666,0.5552,0.26666666666666666,0.744,0.5666666666666667,0.6448,0.4,0.9216,0.8333333333333334,0.444,0.6333333333333333,0.7136,0.7666666666666667,0.7136,0.7666666666666667
142,0.75,0.5,1.25,1.0,0.7149767852642088,0.11868331316367486,-0.22482152200690486,0.5279001409839659,3.957324183927295,64,20,44,True,0.7049871037312395,0.5024752475247525,129,1.0,1.0,-0.03759659071993893,-0.005055420337852556,0.005901276464415295,-0.0084089464637086,-0.6705562330651946,1.0,2.0,-1.0,0.0,-0.01962372421500802,-0.024752475247524774,2.0,0.6656,0.5,0.6848,0.5333333333333333,0.9488,0.9333333333333333,0.8416,0.7,0.6704,0.3333333333333333,0.0912,0.1,0.18,0.2,0.18,0.2
144,0.75,0.5,1.25,1.5,0.5409984023827195,0.09407723054238692,-0.2922503471137011,0.3219063089967377,4.283881813058152,69,19,50,True,0.586989889512401,0.5618811881188119,139,1.0,1.0,-0.2115749736014283,-0.029661502959140496,-0.06152754864238097,-0.21440277845093675,-0.34399860393433723,6.0,1.0,5.0,0.0,-0.13762093843384648,0.034653465346534684,12.0,0.3824,0.13333333333333333,0.3936,0.13333333333333333,0.6576,0.4,0.5232,0.2,0.8416,0.6,0.5008,0.7333333333333333,0.7136,0.7666666666666667,0.7136,0.7666666666666667
148,0.75,0.5,1.5,1.25,0.727591027371838,0.1203891857685837,-0.2268487624865052,0.5307024135771754,4.051543341120765,65,20,45,True,0.7118208625454802,0.5107260726072608,131,1.0,1.0,-0.024982348612309746,-0.003349547732943714,0.0038740359848149497,-0.005606673870499068,-0.5763370758717246,2.0,2.0,0.0,0.0,-0.012789965400767378,-0.01650165016501648,4.0,0.6928,0.5333333333333333,0.7072,0.5666666666666667,0.9312,0.8666666666666667,0.8512,0.7666666666666667,0.7264,0.36666666666666664,0.1432,0.2,0.2752,0.38333333333333336,0.2752,0.38333333333333336
168,0.75,0.75,1.25,1.25,0.8285052633541543,0.13369244526363344,-0.27130830606857625,0.4927694518495175,4.806758614424731,63,18,45,True,0.7657142245243904,0.5462046204620462,127,1.0,1.0,0.07593188737000656,0.009953711762106021,-0.0405855075972561,-0.04353963559815699,0.17887819743224131,0.0,0.0,0.0,0.0,0.04110339657814288,0.018976897689768957,0.0,0.8496,0.8333333333333334,0.8464,0.8333333333333334,0.7392,0.5333333333333333,0.7872,0.5333333333333333,0.9872,1.0,0.404,0.6,0.1192,0.06666666666666667,0.1192,0.06666666666666667
268,1.0,0.5,1.25,1.25,0.7094981250558208,0.11793931585031037,-0.24758360199648144,0.4763615800855279,4.371224568247385,65,19,46,True,0.6969252680734341,0.5338283828382838,131,1.0,1.0,-0.04307525092832698,-0.005799417651217054,-0.016860803525161283,-0.059947507362146546,-0.2566558487451047,2.0,1.0,1.0,0.0,-0.027685559872813403,0.0066006600660065695,4.0,0.648,0.43333333333333335,0.656,0.4666666666666667,0.8632,0.7,0.7616,0.5,0.8832,0.7,0.3152,0.5166666666666667,0.2752,0.38333333333333336,0.2752,0.38333333333333336
13,0.5,0.5,1.0,1.25,0.8463338600678179,0.13598196067543267,-0.3074079198872459,0.44235021897064153,4.410936450307056,71,21,50,True,0.7689470200380534,0.5594059405940595,143,2.0,1.4142135623730951,0.0937604840836701,0.012243227173905247,-0.07668512141592576,-0.09395886847703294,-0.2169439666854336,8.0,3.0,5.0,0.0,0.04433619209180584,0.03217821782178221,16.0,0.8816,0.9,0.8528,0.8666666666666667,0.5984,0.3333333333333333,0.7136,0.43333333333333335,0.8912,0.7333333333333333,0.4864,0.6833333333333333,0.8592,0.9166666666666666,0.8592,0.9166666666666666
17,0.5,0.5,1.25,1.0,0.9273486116018124,0.14617034088514358,-0.27426979614449853,0.5329436304686427,3.827898961959668,66,22,44,True,0.8191155951301956,0.509075907590759,133,2.0,1.4142135623730951,0.17477523561766461,0.02243160738361616,-0.04354699767317838,-0.003365456979031789,-0.7999814550328215,3.0,4.0,-1.0,0.0,0.09450476718394807,-0.018151815181518205,6.0,0.9536,0.9333333333333333,0.9504,0.9333333333333333,0.7296,0.4666666666666667,0.856,0.8,0.5856,0.13333333333333333,0.1312,0.15,0.3968,0.55,0.3968,0.55
19,0.5,0.5,1.25,1.5,0.7318258514242133,0.12095966528640689,-0.31897169034995076,0.3792175573753878,4.182383628495513,71,21,50,True,0.7011870665697716,0.5684818481848185,143,2.0,1.4142135623730951,-0.02074752455993445,-0.002779068215120528,-0.08824889187863061,-0.15709153007228666,-0.4454967884969765,8.0,3.0,5.0,0.0,-0.02342376137647595,0.041254125412541254,16.0,0.6976,0.5666666666666667,0.672,0.5,0.5584,0.2,0.608,0.3333333333333333,0.7968,0.5666666666666667,0.5472,0.8166666666666667,0.8592,0.9166666666666666,0.8592,0.9166666666666666
