candidate_id,trend_trend_multiplier,trend_volume_multiplier,range_trend_multiplier,range_volume_multiplier,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count,manhattan_distance,euclidean_distance,strategy_return_delta_from_selected,annualized_return_delta_from_selected,max_drawdown_delta_from_selected,calmar_delta_from_selected,win_loss_ratio_delta_from_selected,closed_trade_count_delta_from_selected,winning_trade_count_delta_from_selected,losing_trade_count_delta_from_selected,has_wins_and_losses_delta_from_selected,sharpe_delta_from_selected,exposure_delta_from_selected,trade_count_delta_from_selected,strategy_return_global_percentile,strategy_return_neighborhood_percentile,sharpe_global_percentile,sharpe_neighborhood_percentile,max_drawdown_global_percentile,max_drawdown_neighborhood_percentile,calmar_global_percentile,calmar_neighborhood_percentile,win_loss_ratio_global_percentile,win_loss_ratio_neighborhood_percentile,exposure_global_percentile,exposure_neighborhood_percentile,trade_count_global_percentile,trade_count_neighborhood_percentile,closed_trade_count_global_percentile,closed_trade_count_neighborhood_percentile
0,0.5,0.5,0.5,0.5,1.059614905520244,0.16209769321664336,-0.25775898617991755,0.6288731020360937,4.311412617982504,64,21,43,True,0.887617460175564,0.5198019801980198,129,7.0,4.358898943540674,0.3070415295360962,0.03835895971511594,-0.027036187708597392,0.09256401458841923,-0.31646779900998556,1.0,3.0,-2.0,0.0,0.16300663222931644,-0.007425742574257432,2.0,0.9904,,0.9904,,0.7984,,0.944,,0.8576,,0.1992,,0.18,,0.18,
1,0.5,0.5,0.5,0.75,0.71465307660374,0.11863940617810598,-0.3470826961505593,0.34181884459789363,3.55063004110431,67,22,45,True,0.6910739417359634,0.5717821782178217,135,6.0,3.7416573867739413,-0.03792029938040775,-0.005099327323421443,-0.11635989767923915,-0.19449024284978084,-1.0772503758881795,4.0,4.0,0.0,0.0,-0.03353688621028417,0.04455445544554448,8.0,0.664,,0.6384,,0.456,,0.5568,,0.3872,,0.572,,0.5192,,0.5192,
2,0.5,0.5,0.5,1.0,0.6126851125142341,0.1044698690060537,-0.3598261607269102,0.2903342791836112,3.5049547072049854,65,21,44,True,0.6255888649730736,0.594059405940594,131,5.0,3.3166247903554,-0.13988826346991368,-0.019268864495473714,-0.12910336225559005,-0.24597480826406326,-1.1229257097875043,2.0,3.0,-1.0,0.0,-0.0990219629731739,0.06683168316831678,4.0,0.4976,,0.4768,,0.4,,0.464,,0.3584,,0.6912,,0.2752,,0.2752,
3,0.5,0.5,0.5,1.25,0.4600478858498396,0.08187064643794062,-0.39264379992988596,0.20851124212978833,2.813519801213204,53,19,34,True,0.5209443248031341,0.6377887788778878,107,4.0,3.1622776601683795,-0.2925254901343082,-0.0418680870635868,-0.1619210014585658,-0.32779784531788614,-1.8143606157792855,-10.0,1.0,-11.0,0.0,-0.2036665031431134,0.11056105610561051,-20.0,0.2848,,0.2752,,0.2768,,0.2768,,0.048,,0.8768,,0.0296,,0.0296,
4,0.5,0.5,0.5,1.5,0.5049408926542711,0.08870441277904306,-0.4073107404831967,0.21778068674008486,2.667087923859244,54,20,34,True,0.5483570115514769,0.6435643564356436,109,5.0,3.3166247903554,-0.24763248332987664,-0.03503432072248436,-0.17658794201187655,-0.3185284007075896,-1.9607924931332454,-9.0,2.0,-11.0,0.0,-0.17625381639477067,0.11633663366336633,-18.0,0.3312,,0.3184,,0.2208,,0.2928,,0.0336,,0.8976,,0.0536,,0.0536,
5,0.5,0.5,0.75,0.5,1.109591326114988,0.16790515077810442,-0.241679080037554,0.694744248248603,3.811046051073696,65,23,42,True,0.9145176844373327,0.5008250825082509,131,6.0,3.7416573867739413,0.35701795013084014,0.044166417276577,-0.01095628156623385,0.15843516080092857,-0.8168343659187935,2.0,5.0,-3.0,0.0,0.18990685649108519,-0.02640264026402639,4.0,0.9968,,0.9968,,0.8768,,0.984,,0.5712,,0.0808,,0.2752,,0.2752,
6,0.5,0.5,0.75,0.75,0.9873033249716408,0.1534939478877808,-0.3047623921365382,0.5036512110687633,4.347672841705796,66,21,45,True,0.8487997852552379,0.528052805280528,133,5.0,3.0,0.234729948987493,0.029755214386253392,-0.07403959366521806,-0.032657876378911155,-0.2802075752866937,3.0,3.0,0.0,0.0,0.12418895730899038,0.0008250825082507518,6.0,0.9808,,0.9712,,0.6032,,0.8048,,0.8704,,0.2584,,0.3968,,0.3968,
7,0.5,0.5,0.75,1.0,0.9080047952495158,0.1437689537141189,-0.30740791988724525,0.46768135891506046,4.3834266137604825,69,21,48,True,0.8019957691096584,0.5627062706270627,139,4.0,2.449489742783178,0.15543141926536808,0.020030220212591487,-0.0766851214159251,-0.06862772853261401,-0.24445380323200716,6.0,3.0,3.0,0.0,0.07738494116341088,0.035478547854785436,12.0,0.9424,,0.928,,0.6,,0.7536,,0.8864,,0.5072,,0.7136,,0.7136,
8,0.5,0.5,0.75,1.25,0.5491563794103029,0.09527899003306972,-0.3650854237048511,0.26097725038208286,3.5592555226934715,68,21,47,True,0.5847903433837843,0.5957095709570958,137,3.0,2.23606797749979,-0.20341699657384482,-0.0284597434684577,-0.13436262523353093,-0.2753318370655916,-1.0686248942990182,5.0,3.0,2.0,0.0,-0.1398204845624632,0.0684818481848185,10.0,0.3936,,0.3872,,0.3776,,0.3936,,0.3904,,0.7008,,0.6208,,0.6208,
9,0.5,0.5,0.75,1.5,0.5581131049352404,0.09659265475096923,-0.3391864858590119,0.28477742710279874,3.553989273342492,64,20,44,True,0.5882469401428135,0.6047854785478548,129,4.0,2.449489742783178,-0.1944602710489074,-0.02714607875055819,-0.10846368738769174,-0.25153166034487573,-1.0738911436499978,1.0,2.0,-1.0,0.0,-0.136363887803434,0.07755775577557755,2.0,0.4112,,0.3968,,0.488,,0.4496,,0.3888,,0.7584,,0.18,,0.18,
