signal_date,execution_date,side,size,price,fees,trigger,entry_limit,cap_premium,open_improvement,touch_volume,diagnostic_participation
2021-01-12,2021-01-13 10:00:00,Buy,697001.5689505318,1.434,499.75012493753127,intraday_limit,1.434,0.0,0.001394700139470073,61322601.0,0.0008153600660219876
2021-01-28,2021-01-29 00:00:00,Sell,697001.5689505318,1.456,507.41714219598714,priority_open_exit,,,,,
2021-03-26,2021-03-29 10:00:00,Buy,791428.5380727111,1.281,506.90997863557146,intraday_limit,1.281,0.0,0.0031225604996096834,20575144.0,0.002430116649487362
2021-04-12,2021-04-13 00:00:00,Sell,791428.5380727111,1.267,501.36997886906244,priority_open_exit,,,,,
2021-04-16,2021-04-19 00:00:00,Buy,770567.4760767737,1.3,500.86885944990297,open,1.3,0.0,0.0,24317445.0,0.002056137065386598
2021-05-07,2021-05-10 00:00:00,Sell,770567.4760767737,1.295,498.94244075971096,priority_open_exit,,,,,
2021-05-14,2021-05-17 00:00:00,Buy,751800.5243823505,1.326,498.4437476654984,open,1.327,0.0,0.0,45776246.0,0.0010922695583207064
2021-06-16,2021-06-17 00:00:00,Sell,751800.5243823505,1.441,541.6722778174835,priority_open_exit,,,,,
2021-06-17,2021-06-18 00:00:00,Buy,719110.7989906373,1.505,541.1308762404545,open,1.505,0.0,0.0,74220050.0,0.0006736724106221971
2021-07-06,2021-07-07 00:00:00,Sell,719110.7989906373,1.557,559.8277570142112,priority_open_exit,,,,,
2021-07-07,2021-07-08 00:00:00,Buy,698212.4956693988,1.602,559.2682090311886,open,1.605,0.0,0.0,68454010.0,0.000730417399944868
2021-07-14,2021-07-15 00:00:00,Sell,698212.4956693988,1.589,554.7298278093373,priority_open_exit,,,,,
2021-07-29,2021-07-30 00:00:00,Buy,681642.5279309087,1.626,554.1753752078287,open,1.631,0.0,0.0,64715300.0,0.000772614822151794
2021-08-09,2021-08-10 00:00:00,Sell,681642.5279309087,1.604,546.6773074005889,priority_open_exit,,,,,
2021-08-24,2021-08-25 00:00:00,Buy,675069.101724649,1.618,546.1309032952411,open,1.619,0.0,0.0,57185510.0,0.0008743473652678799
2021-08-27,2021-08-30 00:00:00,Sell,675069.101724649,1.525,514.7401900650448,priority_open_exit,,,,,
2021-10-15,2021-10-18 00:00:00,Buy,735659.0945872018,1.398,514.225707116454,open,1.398,0.0,0.0,38343904.0,0.0013039882428247265
2021-10-27,2021-10-28 00:00:00,Sell,735659.0945872018,1.391,511.6509002853989,priority_open_exit,,,,,
2021-10-29,2021-11-01 10:00:00,Buy,714380.8596543884,1.431,511.1395050827149,intraday_limit,1.431,0.0,0.0013976240391335715,48476744.0,0.001031422407412511
2021-12-02,2021-12-03 00:00:00,Sell,714380.8596543884,1.469,524.7127414161482,priority_open_exit,,,,,
2021-12-03,2021-12-06 00:00:00,Buy,707406.6004048451,1.482,524.1882908999902,open,1.484,0.0,0.0,33470884.0,0.0014938356572835065
2021-12-08,2021-12-09 00:00:00,Sell,707406.6004048451,1.45,512.8697852935127,priority_open_exit,,,,,
2021-12-10,2021-12-13 00:00:00,Buy,690508.317809917,1.484,512.3571718149584,open,1.485,0.0,0.0,27923768.0,0.0017905892929636143
2021-12-15,2021-12-16 00:00:00,Sell,690508.317809917,1.463,505.1068344779543,priority_open_exit,,,,,
2021-12-17,2021-12-20 00:00:00,Buy,701810.8206824479,1.438,504.60198007068,open,1.441,0.0,0.0,25724494.0,0.0019436728279281217
2021-12-27,2021-12-28 00:00:00,Sell,701810.8206824479,1.398,490.5657636570311,priority_open_exit,,,,,
2021-12-31,2022-01-04 00:00:00,Buy,683031.9763814296,1.435,490.07544305367577,open,1.436,0.0,0.0,25545019.0,0.0019573287457723167
2022-01-05,2022-01-06 00:00:00,Sell,683031.9763814296,1.371,468.21841980946994,priority_open_exit,,,,,
2022-01-17,2022-01-18 00:00:00,Buy,681851.946620808,1.372,467.75043538187435,open,1.372,0.0,0.0,56663704.0,0.0008823990750763487
2022-01-20,2022-01-21 00:00:00,Sell,681851.946620808,1.343,457.86358215587256,priority_open_exit,,,,,
2022-02-23,2022-02-24 00:00:00,Buy,726617.8671820479,1.259,457.4059473910991,open,1.264,0.0,0.0,107409200.0,0.00046550947218674003
2022-03-03,2022-03-04 00:00:00,Sell,726617.8671820479,1.239,450.1397687192788,priority_open_exit,,,,,
2022-03-21,2022-03-22 00:00:00,Buy,763480.2273479884,1.178,449.68985390796513,open,1.184,0.0,0.0,90968050.0,0.0005496435286894684
2022-03-24,2022-03-25 00:00:00,Sell,763480.2273479884,1.167,445.4907126575512,priority_open_exit,,,,,
2022-05-05,2022-05-06 00:00:00,Buy,932032.3446679226,0.955,445.04544457893303,open,0.983,0.0,0.0,62271756.0,0.0008029322314276797
2022-06-22,2022-06-23 00:00:00,Sell,932032.3446679226,1.095,510.28770870568763,priority_open_exit,,,,,
2022-06-24,2022-06-27 10:30:00,Buy,896706.5541131542,1.137,509.7776760133281,intraday_limit,1.137,0.0,0.0035180299032542273,102772104.0,0.0004865133441269238
2022-07-05,2022-07-06 00:00:00,Sell,896706.5541131542,1.122,503.0523768574796,priority_open_exit,,,,,
2022-07-06,2022-07-07 00:00:00,Buy,884770.3800723774,1.136,502.54957588111034,open,1.136,0.0,0.0,170966165.0,0.0002924555276770699
2022-07-11,2022-07-12 00:00:00,Sell,884770.3800723774,1.11,491.0475609401695,priority_open_exit,,,,,
2022-07-21,2022-07-22 10:00:00,Buy,868242.0509386006,1.13,490.5567587803093,intraday_limit,1.13,0.0,0.0026548672566373277,132700656.0,0.000376787888674793
2022-08-19,2022-08-22 00:00:00,Sell,868242.0509386006,1.137,493.59560595859443,priority_open_exit,,,,,
2022-10-17,2022-10-18 10:00:00,Buy,996166.1758123265,0.99,493.1022570271016,intraday_limit,0.99,0.0,0.0060606060606061,108604980.0,0.0004603840450041978
2022-11-21,2022-11-22 00:00:00,Sell,996166.1758123265,1.061,528.4661562684391,priority_open_exit,,,,,
2022-12-02,2022-12-05 10:00:00,Buy,1015265.296563843,1.04,527.9379542131984,intraday_limit,1.04,0.0,0.004807692307692291,212415420.0,0.00023538780753299361
2022-12-07,2022-12-08 00:00:00,Sell,1015265.296563843,1.026,520.8310971372515,priority_open_exit,,,,,
2022-12-12,2022-12-13 00:00:00,Buy,1012277.2885710507,1.028,520.3105263255201,open,1.032,0.0,0.0,133948293.0,0.00037327836645144856
2022-12-15,2022-12-16 00:00:00,Sell,1012277.2885710507,1.01,511.2000307283806,priority_open_exit,,,,,
2022-12-27,2022-12-28 00:00:00,Buy,1037985.9474998608,0.984,510.6890861699315,open,0.987,0.0,0.0,81654178.0,0.0006123385382680603
2023-01-13,2023-01-16 00:00:00,Sell,1037985.9474998608,0.999,518.4739807761805,priority_open_exit,,,,,
2023-01-18,2023-01-19 00:00:00,Buy,1007696.0426125311,1.028,517.955765902841,open,1.031,0.0,0.0,53372532.0,0.0009368114669920475
2023-02-16,2023-02-17 00:00:00,Sell,1007696.0426125311,1.028,517.955765902841,priority_open_exit,,,,,
2023-03-01,2023-03-02 10:00:00,Buy,1016577.7386746501,1.018,517.4380689853969,intraday_limit,1.018,0.0,0.0019646365422396617,48843393.0,0.0010236799069221092
2023-03-07,2023-03-08 00:00:00,Sell,1016577.7386746501,1.012,514.3883357693729,priority_open_exit,,,,,
2023-03-09,2023-03-10 00:00:00,Buy,1011563.3946835406,1.016,513.8742044992387,open,1.023,0.0,0.0,87626580.0,0.000570603120651291
2023-03-16,2023-03-17 00:00:00,Sell,1011563.3946835406,1.019,515.3915495912639,priority_open_exit,,,,,
2023-03-17,2023-03-20 00:00:00,Buy,993011.4090813192,1.037,514.876415608664,open,1.037,0.0,0.0,106088340.0,0.00047130532912476524
2023-04-21,2023-04-24 00:00:00,Sell,993011.4090813192,1.136,564.0304803581894,priority_open_exit,,,,,
2023-04-28,2023-05-04 00:00:00,Buy,1020773.064768359,1.104,563.4667317521341,open,1.112,0.0,0.0,132482800.0,0.00037740748232978165
2023-05-08,2023-05-09 00:00:00,Sell,1020773.064768359,1.082,552.2382280396823,priority_open_exit,,,,,
2023-05-15,2023-05-16 00:00:00,Buy,1052836.3851006986,1.048,551.6862657927661,open,1.049,0.0,0.0,83517410.0,0.0005986775691439665
2023-05-23,2023-05-24 00:00:00,Sell,1052836.3851006986,1.038,546.4220838672626,priority_open_exit,,,,,
2023-05-25,2023-05-26 10:00:00,Buy,1045739.3388082376,1.044,545.8759348579,intraday_limit,1.044,0.0,0.0009578544061301653,110381870.0,0.0004529729384001195
2023-06-06,2023-06-07 00:00:00,Sell,1045739.3388082376,1.052,550.0588922131329,priority_open_exit,,,,,
2023-06-07,2023-06-08 00:00:00,Buy,1055733.1569892797,1.041,549.5091082129201,open,1.045,0.0,0.0,172308639.0,0.00029017697713926
2023-07-05,2023-07-06 00:00:00,Sell,1055733.1569892797,1.029,543.1747092709844,priority_open_exit,,,,,
2023-07-31,2023-08-01 00:00:00,Buy,1092914.0100973663,0.993,542.6318060133424,open,0.993,0.0,0.0,106929100.0,0.000467599558960096
2023-08-08,2023-08-09 00:00:00,Sell,1092914.0100973663,0.988,539.899520988099,priority_open_exit,,,,,
2023-08-30,2023-08-31 00:00:00,Buy,1124838.1465734388,0.959,539.3598912819639,open,0.963,0.0,0.0,338793600.0,0.00014758248089692368
2023-09-07,2023-09-08 00:00:00,Sell,1124838.1465734388,0.917,515.7382902039217,priority_open_exit,,,,,
2023-09-27,2023-09-28 00:00:00,Buy,1141135.7910387435,0.903,515.2228096539927,open,0.903,0.0,0.0,85192640.0,0.000586905159882356
2023-10-16,2023-10-17 00:00:00,Sell,1141135.7910387435,0.896,511.2288343853571,priority_open_exit,,,,,
2023-10-27,2023-10-30 00:00:00,Buy,1160722.4114491944,0.88,510.71786103764555,open,0.884,0.0,0.0,244749978.0,0.00020429011029369736
2023-11-22,2023-11-23 00:00:00,Sell,1160722.4114491944,0.892,517.6821955063407,priority_open_exit,,,,,
2023-12-08,2023-12-11 00:00:00,Buy,1172709.2336112843,0.882,517.1647720225764,open,0.886,0.0,0.0,201852960.0,0.0002477050621402827
2023-12-15,2023-12-18 00:00:00,Sell,1172709.2336112843,0.867,508.3694527704917,priority_open_exit,,,,,
2023-12-28,2023-12-29 00:00:00,Buy,1168840.8224980868,0.869,507.86133737541877,open,0.871,0.0,0.0,125810984.0,0.0003974215796611208
2024-01-04,2024-01-05 00:00:00,Sell,1168840.8224980868,0.842,492.0819862716945,priority_open_exit,,,,,
2024-02-08,2024-02-19 10:00:00,Buy,1276857.532995992,0.77,491.590150203457,intraday_limit,0.77,0.0,0.012987012987013102,417611872.0,0.00011972839699346478
2024-03-14,2024-03-15 00:00:00,Sell,1276857.532995992,0.821,524.1500172948547,priority_open_exit,,,,,
2024-03-18,2024-03-19 00:00:00,Buy,1242292.1215221747,0.843,523.6261292215967,open,0.845,0.0,0.0,140988229.0,0.0003546395351912676
2024-03-21,2024-03-22 00:00:00,Sell,1242292.1215221747,0.822,510.58206194561376,priority_open_exit,,,,,
2024-04-18,2024-04-19 00:00:00,Buy,1344062.542943656,0.759,510.07173504711744,open,0.764,0.0,0.0,115867192.0,0.00043152853829408414
2024-04-23,2024-04-24 00:00:00,Sell,1344062.542943656,0.746,501.33532851798367,priority_open_exit,,,,,
2024-04-24,2024-04-25 00:00:00,Buy,1330237.0351443791,0.753,500.83424373185875,open,0.756,0.0,0.0,102103630.0,0.000489698554302134
2024-05-15,2024-05-16 00:00:00,Sell,1330237.0351443791,0.768,510.81102149544165,priority_open_exit,,,,,
2024-05-31,2024-06-03 00:00:00,Buy,1341131.3160363152,0.761,510.3004657518179,open,0.761,0.0,0.0,140873110.0,0.0003549293403120013
2024-06-25,2024-06-26 00:00:00,Sell,1341131.3160363152,0.734,492.1951929853277,priority_open_exit,,,,,
2024-07-11,2024-07-12 00:00:00,Buy,1343451.4857020534,0.732,491.7032437669516,open,0.736,0.0,0.0,122671036.0,0.00040759417732479244
2024-07-24,2024-07-25 00:00:00,Sell,1343451.4857020534,0.727,488.3446150526964,priority_open_exit,,,,,
2024-07-31,2024-08-01 10:00:00,Buy,1278785.0969539348,0.763,487.8565144879261,intraday_limit,0.763,0.0,0.001310615989515096,236735213.0,0.00021120643340878908
2024-08-05,2024-08-06 00:00:00,Sell,1278785.0969539348,0.73,466.7565603881862,priority_open_exit,,,,,
2024-09-24,2024-09-25 14:00:00,Buy,1363421.1610802556,0.684,466.2900370894475,intraday_limit,0.684,0.0,0.0073099415204676,120938150.0,0.00041343447042971966
2024-10-30,2024-10-31 00:00:00,Sell,1363421.1610802556,0.981,668.7580795098654,priority_open_exit,,,,,
2024-11-05,2024-11-06 10:00:00,Buy,1311265.2711330508,1.019,668.0896556422894,intraday_limit,1.019,0.0,0.004906771344455496,710378470.0,7.038501603236933e-05
2024-11-15,2024-11-18 00:00:00,Sell,1311265.2711330508,1.014,664.8114924644567,priority_open_exit,,,,,
2024-12-02,2024-12-03 00:00:00,Buy,1275978.8918570965,1.041,664.1470132116186,open,1.041,0.0,0.0,187610457.0,0.0002665096647571196
2024-12-05,2024-12-06 00:00:00,Sell,1275978.8918570965,1.03,657.1291293064047,priority_open_exit,,,,,
2024-12-10,2024-12-11 00:00:00,Buy,1269772.3957010887,1.034,656.4723285774629,open,1.036,0.0,0.0,247927920.0,0.00020167151807670553
2024-12-13,2024-12-16 00:00:00,Sell,1269772.3957010887,1.013,643.1397184226014,priority_open_exit,,,,,
2024-12-20,2024-12-23 00:00:00,Buy,1241539.9036006443,1.035,642.4969001133334,open,1.035,0.0,0.0,339074986.0,0.00014746000756304684
2024-12-31,2025-01-02 00:00:00,Sell,1241539.9036006443,1.01,626.9776513183255,priority_open_exit,,,,,
2025-01-14,2025-01-15 00:00:00,Buy,1250201.5708566203,1.002,626.3509869991668,open,1.005,0.0,0.0,188597140.0,0.0002651153670729047
2025-03-11,2025-03-12 00:00:00,Sell,1250201.5708566203,1.133,708.2391898902755,priority_open_exit,,,,,
2025-03-27,2025-03-28 00:00:00,Buy,1332450.6678776063,1.062,707.531304643009,open,1.063,0.0,0.0,107527196.0,0.0004649986409019724
