candidate_id,structure_share,trend_share,volume_share,is_control,range_to_range_count,range_to_range_loss_count,range_to_range_loss_rate,range_to_range_short_loss_count,range_to_range_compound_return,range_to_range_median_holding_sessions,range_to_range_fees,range_to_trend_count,range_to_trend_loss_count,range_to_trend_loss_rate,range_to_trend_short_loss_count,range_to_trend_compound_return,range_to_trend_median_holding_sessions,range_to_trend_fees,trend_to_range_count,trend_to_range_loss_count,trend_to_range_loss_rate,trend_to_range_short_loss_count,trend_to_range_compound_return,trend_to_range_median_holding_sessions,trend_to_range_fees,trend_to_trend_count,trend_to_trend_loss_count,trend_to_trend_loss_rate,trend_to_trend_short_loss_count,trend_to_trend_compound_return,trend_to_trend_median_holding_sessions,trend_to_trend_fees,range_days,range_transition_count,range_signal_density_per_100,first_front_count,mean_pareto_layer,worst_pareto_layer,max_drawdown,calmar,win_loss_ratio,strategy_return,sharpe,exposure,trade_count
0,0.25,0.15,0.6,False,11,7,0.6363636363636364,5,-0.030277490392804474,8.0,9848.028021586711,11,9,0.8181818181818182,4,-0.2671192758407003,12.0,8816.866900228597,6,1,0.16666666666666666,1,0.28183490424718594,21.5,4879.528980788106,23,17,0.7391304347826086,14,0.38767163897366475,8.0,20180.321909545848,592,40,6.756756756756757,0,20.5,29,-0.423832953247652,0.12457591010202666,2.6145397933030896,0.28077188548108034,0.3253327371711118,0.6518151815181518,105
1,0.25,0.175,0.575,False,15,12,0.8,8,-0.2844789627439921,7.0,13550.433147936365,7,5,0.7142857142857143,2,-0.02706026349643731,18.0,5975.664293474394,6,1,0.16666666666666666,1,0.3029640510204914,21.5,5072.851930790428,23,17,0.7391304347826086,14,0.38767163897366475,8.0,20960.492301074002,592,44,7.4324324324324325,0,14.75,25,-0.3632496920788033,0.14144065338835918,2.8760258860280086,0.27247840393225164,0.3206187904533189,0.636963696369637,105
2,0.25,0.2,0.55,False,16,13,0.8125,9,-0.3408013723933343,7.0,14864.353123868612,6,4,0.6666666666666666,2,0.08263617328298234,19.5,5140.232203467668,6,1,0.16666666666666666,1,0.30296405102049095,21.5,5200.470847288292,23,17,0.7391304347826086,14,0.3876716389736641,8.0,21487.80028349086,592,45,7.601351351351352,0,14.25,24,-0.3530418397994334,0.16095471070202086,2.940057027235095,0.3044904392513008,0.3414202251143234,0.6344884488448845,105
3,0.25,0.225,0.525,False,28,24,0.8571428571428571,19,-0.432231391465155,5.5,25331.79186900254,5,3,0.6,2,0.1433088949599941,22.0,4447.630729004719,8,3,0.375,3,0.16203456840725328,19.0,7112.6717167280985,21,15,0.7142857142857143,14,0.7242591946836416,7.0,19985.08024265429,592,70,11.824324324324325,0,10.0,17,-0.34540543811019264,0.16955426637070525,3.524111486189216,0.3148599097785738,0.3491009415724203,0.6031353135313532,127
4,0.25,0.25,0.5,False,31,25,0.8064516129032258,20,-0.3291752968893057,4.0,29270.795239371608,5,3,0.6,2,0.12015606295019698,22.0,4660.543893244084,8,4,0.5,3,0.048459479019759666,16.5,7392.118627295096,21,15,0.7142857142857143,14,0.7242591946836425,7.0,20830.182829221172,592,76,12.837837837837837,0,10.5,15,-0.34624626052953245,0.19690977863241696,3.60388953099419,0.3732977491671041,0.38696442098990114,0.5915841584158416,133
5,0.25,0.275,0.475,False,35,30,0.8571428571428571,26,-0.34611223348047593,4.0,35103.61034275776,5,3,0.6,2,0.12811415605437104,22.0,4751.354304170904,9,5,0.5555555555555556,5,0.07514656850214596,10.0,8400.108097360331,20,14,0.7,13,0.8063726270678782,7.5,20761.249892993987,592,85,14.358108108108109,1,5.25,12,-0.30862443002514983,0.25938538528991206,4.4393570625519105,0.44828557185546547,0.43447491491329054,0.5643564356435643,141
6,0.25,0.3,0.45,False,35,29,0.8285714285714286,26,-0.30058528809911056,3.0,37222.10748128188,5,2,0.4,1,0.1558711239915498,18.0,4954.432279680085,10,6,0.6,6,0.06866374192086311,8.5,9849.487990899155,19,13,0.6842105263157895,12,0.8284344643683783,7.0,21063.36538777829,592,86,14.527027027027026,0,6.75,13,-0.2793143626606772,0.3659623683488174,4.152276669772327,0.5969362423485729,0.5188125717478035,0.5544554455445545,141
7,0.25,0.325,0.425,False,30,26,0.8666666666666667,24,-0.28811984703771876,3.0,32695.76288421837,4,1,0.25,0,0.19540135215451437,20.0,4080.8715762643865,10,6,0.6,6,0.06866374192086355,8.5,10053.702768093726,19,13,0.6842105263157895,12,0.828434464368379,7.0,21729.251752200893,592,75,12.66891891891892,1,3.5,8,-0.2550977484925524,0.4556714230960998,4.555999735014936,0.6970421729753129,0.5733986431533843,0.5297029702970297,129
8,0.25,0.35,0.4,False,29,25,0.8620689655172413,24,-0.2692812349228606,3.0,33852.22067764521,4,1,0.25,1,0.2011310360129268,17.0,4288.6726406648595,11,5,0.45454545454545453,5,0.16417525627864227,10.0,11867.754988453724,19,13,0.6842105263157895,12,0.6720442554051123,7.0,22725.4793475346,592,74,12.5,0,4.75,7,-0.22684876248650687,0.5402107876658669,4.023702931274121,0.7436459902668227,0.5993059904976975,0.5107260726072608,129
9,0.25,0.375,0.375,False,31,26,0.8387096774193549,26,-0.24722674345423135,4.0,37965.48452810604,4,1,0.25,1,0.20113103601292703,17.0,4395.296913236182,11,5,0.45454545454545453,5,0.1641752562786427,10.0,12160.04130366198,19,13,0.6842105263157895,12,0.6720442554051143,7.0,23339.72702639661,592,78,13.175675675675674,0,3.75,5,-0.2292334719955622,0.5649607348919652,4.0172002067425785,0.7962725648869386,0.6269374969855228,0.5016501650165016,133
10,0.25,0.4,0.35,False,28,23,0.8214285714285714,23,-0.193960532543774,4.0,34511.499032111,4,1,0.25,1,0.20113103601292703,17.0,4442.4095098529215,12,6,0.5,6,0.1463322256730566,8.5,13480.091994767114,19,13,0.6842105263157895,12,0.6720442554051149,7.0,23826.16126675427,592,73,12.33108108108108,2,2.0,3,-0.21146385813049617,0.6715354034748001,4.102173927217813,0.8938976255570314,0.6741132026654587,0.49587458745874585,129
11,0.25,0.425,0.325,False,29,24,0.8275862068965517,24,-0.21751288757728693,4.0,35004.14243963486,3,0,0.0,0,0.21055183957055923,22.0,3235.688929128087,12,6,0.5,6,0.14633222567305748,8.5,13277.536446820553,19,13,0.6842105263157895,12,0.6720442554051138,7.0,23513.205236950416,592,74,12.5,1,3.0,5,-0.20527915066069014,0.6665595543072822,4.0237854310135965,0.8529785362336662,0.6555488401151097,0.49257425742574257,129
12,0.25,0.45,0.3,False,29,24,0.8275862068965517,24,-0.22636267345910344,4.0,34756.369204686016,3,0,0.0,0,0.210551839570559,22.0,3223.4696933677956,12,6,0.5,6,0.14633222567305726,8.5,13173.796948912648,19,13,0.6842105263157895,12,0.6720442554051149,7.0,23352.92376488763,592,74,12.5,0,4.5,6,-0.21426729786568754,0.6260657361383182,3.9659288273622377,0.832021688473582,0.6455995227519347,0.4900990099009901,129
13,0.25,0.475,0.275,False,29,24,0.8275862068965517,24,-0.22636267345910344,4.0,34756.369204686016,3,0,0.0,0,0.210551839570559,22.0,3223.4696933677956,12,6,0.5,6,0.14633222567305726,8.5,13173.796948912648,19,13,0.6842105263157895,12,0.6720442554051149,7.0,23352.92376488763,592,74,12.5,0,4.5,6,-0.21426729786568754,0.6260657361383182,3.9659288273622377,0.832021688473582,0.6455854018550777,0.4892739273927393,129
14,0.25,0.5,0.25,False,30,24,0.8,24,-0.19737090663127388,4.0,36115.70477741282,2,0,0.0,0,0.1880957509539003,23.0,2155.279229522508,12,6,0.5,6,0.14633222567305681,8.5,13261.052453335233,19,13,0.6842105263157895,12,0.6720442554051134,7.0,23569.64867810227,592,75,12.66891891891892,1,3.25,6,-0.19994404548303057,0.692260560325555,4.014763818847368,0.8654179171697147,0.6616759033849929,0.4876237623762376,129
15,0.25,0.525,0.225,False,30,24,0.8,24,-0.19737090663127388,4.0,36115.70477741282,2,0,0.0,0,0.1880957509539003,23.0,2155.279229522508,12,6,0.5,6,0.14633222567305681,8.5,13261.052453335233,19,13,0.6842105263157895,12,0.6720442554051134,7.0,23569.64867810227,592,75,12.66891891891892,1,3.25,6,-0.19994404548303057,0.692260560325555,4.014763818847368,0.8654179171697147,0.6616759033849929,0.4876237623762376,129
16,0.25,0.55,0.2,False,26,20,0.7692307692307693,20,-0.14561164303314011,4.0,32166.30823774374,2,0,0.0,0,0.1880957509539003,23.0,2155.311110212757,12,6,0.5,6,0.1463322256730566,8.5,13573.951593052228,19,13,0.6842105263157895,12,0.6720442554051125,7.0,24207.51214098487,592,67,11.317567567567567,3,2.0,5,-0.20271322444035178,0.7562506578421714,3.9674404016268845,0.985713404204984,0.7175760194409454,0.4760726072607261,121
17,0.25,0.575,0.175,False,28,19,0.6785714285714286,19,-0.11357576029140026,4.0,35464.7099326752,2,0,0.0,0,0.1880957509539003,23.0,2168.0819446333026,13,6,0.46153846153846156,6,0.1324504587810349,10.0,14744.039855992356,18,13,0.7222222222222222,12,0.6678289491664755,7.0,23565.54254294282,592,72,12.162162162162163,0,3.75,5,-0.2168013734655332,0.7316104567514573,3.406151994126384,1.0300901304496302,0.7387502486788471,0.46534653465346537,125
18,0.25,0.6,0.15,False,28,20,0.7142857142857143,20,-0.14280165329891392,4.0,34523.42024463597,2,0,0.0,0,0.1903915881538112,24.5,2134.848269089942,13,6,0.46153846153846156,6,0.13555306277769552,10.0,14441.871913830422,18,13,0.7222222222222222,12,0.6678289491664757,7.0,23099.013554703466,592,72,12.162162162162163,1,4.0,7,-0.2168013734655332,0.6996387106425032,3.5048928227640967,0.9723393916474565,0.7132155288592238,0.46204620462046203,125
