candidate_id,first_front_count,mean_pareto_layer,worst_pareto_layer
0,0,12.2,21
1,0,17.4,23
2,0,19.4,25
3,0,21.0,24
4,0,14.4,27
5,0,28.8,35
6,0,16.0,23
7,0,20.2,28
8,0,26.8,31
9,0,16.6,18
10,0,12.2,22
11,0,23.8,33
12,0,19.0,29
13,0,22.8,28
14,0,26.6,35
15,0,31.2,37
16,0,19.8,26
17,0,19.2,23
18,0,18.4,28
19,0,11.6,16
20,0,10.6,15
21,0,21.8,24
22,0,22.2,28
23,0,17.2,22
24,0,19.8,28
25,0,14.2,22
26,0,17.4,25
27,0,14.0,28
28,0,13.4,19
29,0,14.4,26
30,0,25.4,33
31,1,18.4,31
32,0,20.4,24
33,0,26.0,36
34,0,24.2,36
35,0,21.8,32
36,2,4.4,13
37,0,16.0,20
38,0,25.8,31
39,0,10.4,19
40,0,22.6,27
41,0,19.4,24
42,0,17.2,19
43,0,8.8,18
44,0,13.0,28
45,0,18.8,28
46,0,19.2,23
47,0,14.2,20
48,0,15.8,23
49,0,20.0,29
50,0,12.6,14
51,0,27.6,33
52,0,16.6,24
53,0,14.6,18
54,0,22.8,29
55,0,20.2,28
56,0,17.4,20
57,0,18.0,22
58,0,22.0,30
59,0,17.8,20
60,0,20.4,23
61,0,21.2,29
62,0,21.8,25
63,0,29.0,40
64,0,23.0,26
65,0,12.8,19
66,0,22.8,30
67,0,14.2,25
68,0,25.6,39
69,0,24.2,30
70,0,22.0,27
71,0,19.8,23
72,0,18.6,26
73,0,7.8,11
74,0,13.8,17
75,0,18.6,21
76,1,14.6,27
77,0,27.2,29
78,0,22.4,27
79,0,16.4,23
80,0,14.6,20
81,0,24.0,27
82,0,13.4,26
83,0,28.4,32
84,0,25.0,33
85,0,16.6,27
86,0,27.6,35
87,0,14.0,22
88,0,19.6,30
89,0,13.0,21
90,0,14.6,18
91,0,25.2,32
92,0,26.0,30
93,0,27.8,31
94,0,14.6,24
95,0,20.4,32
96,0,19.4,23
97,0,22.2,31
98,0,18.0,29
99,0,14.2,27
100,0,17.8,23
101,0,20.4,34
102,0,23.2,29
103,0,19.8,26
104,0,16.0,23
105,0,13.4,21
106,0,24.0,36
107,0,14.8,25
108,0,27.4,30
109,0,18.8,26
110,0,19.8,24
111,0,14.0,21
112,0,18.8,26
113,0,13.6,19
114,0,9.0,11
115,0,19.6,24
116,0,11.0,17
117,0,24.4,29
118,0,13.6,19
119,0,21.4,27
120,0,19.8,25
121,0,20.0,23
122,0,17.8,26
123,0,10.4,13
124,0,20.8,29
125,0,22.8,28
126,0,22.6,25
127,0,22.4,26
128,0,21.2,27
129,0,17.6,26
130,0,27.0,32
131,0,16.4,20
132,0,27.0,29
133,0,24.8,29
134,0,21.8,25
135,0,14.0,24
136,0,9.0,12
137,0,17.0,25
138,0,25.2,29
139,0,9.8,15
140,0,9.8,14
141,0,20.0,25
142,0,8.4,18
143,0,29.8,33
144,0,18.2,28
145,0,15.8,19
146,0,28.8,33
147,0,22.0,23
148,0,12.6,18
149,0,26.8,34
150,0,17.0,21
151,0,21.0,28
152,0,19.2,29
153,0,19.4,25
154,0,28.4,36
155,0,20.0,23
156,0,16.0,25
157,0,24.0,28
158,0,22.4,30
159,0,18.6,22
160,0,16.6,23
161,0,21.6,29
162,0,17.8,26
163,0,17.2,25
164,0,22.4,25
165,0,25.0,31
166,0,17.0,21
167,0,23.8,32
168,0,18.4,25
169,0,17.2,25
170,0,11.6,21
171,0,14.0,23
172,0,12.4,16
173,0,27.4,32
174,0,29.6,36
175,0,15.8,21
176,0,15.0,21
177,0,22.4,30
178,0,22.8,25
179,0,18.6,23
180,0,13.8,20
181,0,12.0,19
182,0,19.6,28
183,0,15.2,22
184,0,28.2,33
185,0,10.0,15
186,0,15.4,20
187,0,19.0,24
188,0,16.4,24
189,0,22.4,27
190,0,19.6,23
191,0,29.6,36
192,0,17.2,22
193,0,8.8,12
194,0,20.6,22
195,0,10.0,15
196,0,26.2,30
197,0,14.4,20
198,0,24.4,27
199,0,21.0,25
200,0,17.4,22
201,0,26.6,39
202,0,15.6,24
203,0,10.0,14
204,0,16.6,27
205,0,16.0,28
206,0,15.8,21
207,0,25.4,28
208,0,14.0,22
209,0,25.8,33
210,0,11.0,16
211,0,12.0,15
212,0,13.8,21
213,0,7.4,13
214,0,23.0,34
215,0,17.2,24
216,0,21.0,28
217,0,17.0,25
218,0,16.6,26
219,0,24.0,25
220,0,17.8,25
221,0,16.8,21
222,0,21.4,33
223,0,20.2,29
224,0,16.6,27
225,0,27.6,34
226,0,21.8,24
227,0,26.0,31
228,0,24.0,29
229,0,16.4,25
230,0,26.6,35
231,0,10.6,13
232,0,18.6,26
233,0,17.8,24
234,0,13.2,20
235,0,23.8,26
236,0,23.0,27
237,0,21.8,26
238,0,17.6,25
239,0,17.2,22
240,0,18.2,23
241,0,15.4,18
242,0,24.6,32
243,0,20.4,27
244,0,10.2,16
245,0,18.0,22
246,0,15.0,24
247,0,10.6,19
248,0,12.0,19
249,0,19.4,22
250,0,11.6,15
251,0,19.8,28
252,0,21.8,25
253,0,13.0,16
254,0,22.4,31
255,0,10.0,14
256,0,20.2,25
257,0,6.4,13
258,0,16.8,30
259,0,26.0,38
260,0,9.4,14
261,0,30.2,32
262,0,14.6,17
263,0,14.0,20
264,0,6.8,17
265,0,25.4,35
266,0,8.8,15
267,0,19.6,36
268,0,28.0,33
269,0,10.8,16
270,0,24.4,28
271,0,17.8,31
272,0,9.8,12
273,0,17.0,26
274,0,21.2,27
275,0,28.4,40
276,0,19.6,23
277,0,17.0,22
278,0,15.2,31
279,0,11.6,17
280,0,31.2,40
281,0,33.6,42
282,0,30.0,44
283,0,16.2,25
284,0,13.2,19
285,0,26.6,33
286,0,27.0,37
287,0,23.6,27
288,0,13.8,19
289,0,23.0,32
290,0,26.4,33
291,0,32.6,44
292,0,17.0,26
293,0,29.2,39
294,0,13.2,27
295,0,10.2,19
296,1,8.0,17
297,0,26.8,30
298,0,15.4,28
299,0,14.6,24
300,0,15.2,24
301,0,21.0,31
302,0,37.0,42
303,0,11.6,18
304,1,3.2,7
305,0,24.4,37
306,0,12.2,18
307,0,17.8,26
308,0,15.4,19
309,0,28.4,35
310,0,11.2,15
311,0,12.6,16
312,0,18.8,35
313,0,22.8,26
314,0,11.0,15
315,0,21.8,27
