candidate_id,first_front_count,mean_pareto_layer,worst_pareto_layer
0,0,9.2,19
1,0,14.4,19
2,0,15.8,21
3,0,17.8,21
4,0,11.8,23
5,0,24.8,32
6,0,13.6,21
7,0,17.4,24
8,0,22.6,25
9,0,13.4,18
10,0,9.6,17
11,0,20.2,31
12,0,15.2,27
13,0,18.8,28
14,0,21.6,32
15,0,28.0,36
16,0,17.2,23
17,0,15.2,20
18,0,15.2,24
19,0,9.8,13
20,0,9.0,13
21,0,19.0,24
22,0,19.4,27
23,0,14.2,19
24,0,17.0,24
25,0,11.0,19
26,0,14.0,23
27,0,11.8,28
28,0,11.0,17
29,0,11.0,20
30,0,21.8,31
31,1,14.8,27
32,0,17.2,20
33,0,22.0,35
34,0,22.4,36
35,0,18.0,28
36,3,3.4,12
38,0,22.0,27
39,0,8.6,16
40,0,18.8,23
41,0,15.8,23
42,0,13.6,19
43,0,6.8,15
44,0,10.4,26
45,0,15.2,24
46,0,16.0,22
47,0,11.2,17
48,0,12.4,20
49,0,17.0,25
50,0,8.2,9
51,0,24.2,32
52,0,14.2,20
53,0,12.6,15
54,0,18.4,25
55,0,16.4,26
56,0,14.2,17
57,0,15.4,19
58,0,17.4,27
59,0,13.8,17
60,0,17.8,20
61,0,17.2,25
62,0,18.0,23
63,0,26.0,39
64,0,18.4,25
65,0,10.2,18
66,0,18.2,28
67,0,11.6,21
68,0,22.8,38
69,0,21.4,26
70,0,18.0,22
71,0,16.0,20
72,0,15.2,24
73,0,6.4,11
74,0,12.4,17
75,0,15.2,20
76,1,11.8,25
77,0,23.0,29
78,0,18.6,24
79,0,14.2,18
80,0,13.0,20
81,0,20.8,24
82,0,11.2,22
83,0,24.8,28
84,0,20.2,31
85,0,13.4,23
86,0,23.2,31
87,0,11.4,20
88,0,15.4,28
89,0,10.6,19
90,0,11.8,17
91,0,20.4,28
92,0,23.2,30
93,0,24.6,30
94,0,11.4,22
95,0,16.8,28
96,0,16.4,20
97,0,17.6,29
98,0,14.6,27
99,0,11.8,25
100,0,14.6,20
101,0,17.6,33
102,0,20.0,29
103,0,16.2,22
104,0,12.6,19
105,0,10.8,19
106,0,21.6,35
107,0,12.2,25
108,0,23.6,29
109,0,15.0,23
110,0,15.6,18
111,0,10.6,18
112,0,16.2,22
113,0,10.4,17
114,0,6.4,9
115,0,16.8,22
116,0,9.4,14
117,0,20.8,25
118,0,10.2,15
119,0,17.8,25
120,0,17.0,20
121,0,16.8,20
122,0,15.0,22
123,0,8.2,12
124,0,17.0,27
125,0,19.2,24
126,0,19.2,23
127,0,19.4,26
128,0,17.8,23
129,0,14.8,22
130,0,23.8,30
131,0,14.0,19
132,0,23.2,25
133,0,20.8,26
134,0,18.4,21
135,0,10.2,21
136,0,6.6,9
137,0,13.8,23
138,0,22.2,27
139,0,7.2,14
140,0,7.8,11
141,0,16.0,23
142,0,6.4,15
143,0,25.8,32
144,0,15.0,24
145,0,13.6,17
146,0,25.2,32
147,0,17.2,22
148,0,9.8,12
149,0,22.6,30
150,0,13.4,17
151,0,16.8,22
152,0,15.8,27
153,0,15.8,21
154,0,24.4,34
155,0,17.2,21
156,0,13.6,21
157,0,21.0,28
158,0,18.2,28
159,0,15.2,20
160,0,15.4,23
161,0,18.6,27
162,0,16.2,25
163,0,13.6,24
164,0,18.4,23
165,0,21.0,30
166,0,14.0,18
167,0,18.8,30
168,0,15.2,24
169,0,15.0,20
170,0,9.6,18
171,0,11.4,23
172,0,9.8,16
173,0,24.2,31
174,0,26.4,35
175,0,12.4,17
176,0,12.2,18
177,0,20.0,30
178,0,18.0,25
179,0,14.4,20
180,0,12.0,18
181,0,9.8,19
182,0,15.8,24
183,0,13.0,18
184,0,24.4,29
185,0,7.6,13
186,0,12.2,15
187,0,15.6,20
188,0,13.6,19
189,0,19.6,23
190,0,15.6,21
191,0,25.8,34
192,0,15.4,22
193,0,6.2,7
194,0,17.0,21
195,0,8.0,14
196,0,22.2,28
197,0,11.0,16
198,0,20.6,26
199,0,17.0,22
200,0,13.6,16
201,0,23.8,38
202,0,12.6,22
203,0,7.6,10
204,0,13.8,27
205,0,13.2,26
206,0,13.2,18
207,0,21.4,25
208,0,11.8,20
209,0,22.0,31
210,0,8.8,16
211,0,9.4,15
212,0,10.2,18
213,0,5.6,12
214,0,18.4,31
215,0,15.8,24
216,0,18.2,24
217,0,13.8,20
218,0,15.2,26
219,0,18.8,22
220,0,15.2,21
221,0,14.2,18
222,0,17.4,29
223,0,16.8,26
224,0,12.4,23
225,0,23.8,32
226,0,18.8,22
227,0,23.0,27
228,0,20.0,25
229,0,13.4,23
230,0,23.6,31
231,0,7.2,8
232,0,16.0,22
233,0,14.0,21
234,0,10.2,16
235,0,19.6,26
236,0,19.2,27
237,0,18.4,22
238,0,14.8,21
239,0,14.0,20
240,0,15.2,19
241,0,11.8,15
242,0,22.0,31
243,0,15.6,23
244,0,8.6,14
245,0,14.6,19
246,0,11.8,18
247,0,8.6,17
248,0,9.4,18
249,0,16.2,20
250,0,9.8,13
251,0,16.8,24
252,0,18.4,22
253,0,10.2,14
254,0,18.8,29
255,0,7.6,13
256,0,17.6,21
260,0,6.2,10
261,0,25.8,30
262,0,11.0,16
263,0,11.6,17
265,0,22.2,34
267,0,18.4,35
268,0,25.0,32
270,0,21.4,28
272,0,8.2,10
274,0,18.6,23
275,0,25.0,39
276,0,18.0,23
277,0,15.4,22
278,0,14.4,31
280,0,28.0,39
281,0,29.8,41
283,0,14.6,25
284,0,9.2,16
287,0,20.4,23
288,0,10.2,17
294,0,12.2,27
297,0,23.8,30
299,0,13.4,24
303,0,8.4,15
305,0,21.0,36
307,0,16.0,26
308,0,11.8,15
309,0,25.4,34
311,0,9.6,14
313,0,19.8,23
314,0,9.0,12
315,0,17.6,21
316,0,16.2,29
317,0,13.4,18
319,0,17.6,25
321,0,11.6,17
322,0,19.8,27
323,0,8.8,12
327,0,14.6,23
330,0,18.2,26
338,0,20.4,32
341,0,12.2,16
342,0,16.6,22
345,0,17.0,29
347,0,25.4,29
348,0,20.4,34
349,0,16.8,28
350,0,9.4,16
351,0,19.6,25
353,0,23.8,37
355,0,25.0,34
358,0,16.8,21
359,0,11.0,14
360,0,25.0,39
365,0,23.2,39
366,0,19.0,30
367,0,21.0,28
368,0,21.2,31
373,0,28.4,41
375,0,13.6,17
378,0,12.4,17
380,0,10.2,18
382,0,11.4,16
384,0,19.4,27
387,0,10.0,14
388,0,9.4,16
391,0,13.0,18
392,0,9.2,16
393,0,27.4,37
394,0,12.0,19
398,0,19.4,27
399,0,29.4,41
400,0,9.2,20
401,0,6.6,14
403,0,25.4,33
404,0,30.6,42
406,0,15.2,20
408,0,21.4,37
409,0,26.6,33
411,0,10.6,17
413,0,29.6,41
414,1,14.0,21
415,0,10.8,14
416,0,22.6,36
417,0,23.0,41
421,0,27.4,42
422,0,26.2,36
425,0,29.2,40
426,0,15.6,21
427,0,20.8,27
428,0,28.6,42
429,0,9.6,17
431,0,21.6,37
433,0,6.4,12
435,0,28.4,40
437,0,12.8,16
439,0,16.0,28
441,0,21.4,33
442,0,14.2,24
443,0,30.6,36
444,0,13.2,19
445,1,6.4,12
446,0,19.4,26
449,0,14.8,19
450,0,11.0,16
454,0,22.0,37
456,0,13.8,22
457,0,15.0,26
458,0,8.0,15
459,0,28.4,33
461,0,10.4,16
462,0,19.2,26
464,0,24.2,36
466,0,9.8,14
468,0,14.4,21
469,0,11.2,17
473,0,14.4,24
474,0,22.2,32
475,0,23.4,36
478,0,17.8,27
479,0,20.6,31
481,0,8.0,16
482,0,18.2,38
483,0,15.2,27
484,0,18.0,30
490,0,12.0,17
495,2,2.4,5
496,0,14.0,18
498,1,8.4,13
499,0,18.6,26
500,0,24.2,37
501,0,13.2,23
502,0,14.0,24
503,1,10.4,22
504,1,5.6,13
506,0,14.0,23
507,0,22.8,40
508,0,9.8,15
509,0,24.4,33
511,0,7.2,16
512,0,10.2,15
513,0,10.4,17
514,0,19.6,32
515,0,10.8,20
516,0,17.4,25
517,0,10.8,16
518,0,12.6,19
519,0,7.6,13
520,0,10.6,15
521,0,14.0,27
522,0,26.4,35
523,0,27.0,30
524,0,26.0,29
525,0,26.8,33
526,0,11.0,17
527,0,15.4,30
528,0,28.8,34
529,0,23.4,31
530,1,18.2,34
531,0,23.8,36
532,0,8.8,20
533,0,12.2,16
534,0,16.8,23
535,0,19.0,31
536,0,16.6,23
537,0,14.8,24
538,0,12.2,23
539,1,8.0,14
540,0,16.2,19
541,0,10.2,18
542,0,18.2,31
543,0,14.2,27
544,0,16.4,32
545,0,21.6,29
546,0,26.6,31
547,0,16.6,24
548,0,15.0,21
549,0,25.6,31
550,0,24.4,32
551,0,19.4,26
552,0,14.6,19
553,0,23.4,35
555,0,16.4,22
556,1,3.2,7
557,0,18.6,26
558,0,28.6,40
559,0,19.6,29
560,0,22.6,32
561,0,14.4,19
562,0,20.2,39
563,0,16.4,27
564,0,16.2,31
566,0,18.6,25
567,0,26.0,37
568,0,13.8,23
569,0,21.8,26
570,0,26.4,30
571,0,20.6,35
572,0,13.2,17
573,0,20.2,28
574,0,20.8,26
575,0,21.4,38
576,0,11.4,16
577,0,26.2,34
578,0,23.4,33
579,0,14.2,19
580,0,12.0,17
581,0,24.4,33
582,0,23.0,30
583,0,11.8,20
584,0,10.4,13
585,0,7.0,12
586,0,16.2,26
587,0,26.0,31
588,1,5.8,16
589,1,6.6,13
590,0,30.8,36
591,0,20.4,24
592,0,21.2,27
593,0,17.2,34
594,1,5.6,9
595,0,6.2,9
596,0,15.6,37
597,0,25.4,30
598,0,20.4,30
599,0,11.8,22
600,0,22.6,33
601,0,15.4,22
602,0,25.6,34
603,0,27.8,36
604,0,19.8,27
605,0,26.4,32
606,0,19.0,29
607,0,19.2,28
608,0,27.2,39
609,0,21.0,30
610,0,13.6,29
611,0,15.2,30
612,0,25.8,33
613,0,20.6,28
614,0,15.8,27
615,0,19.2,39
616,0,13.0,18
617,0,20.0,25
618,0,9.4,14
619,0,16.8,32
620,0,16.4,24
621,0,18.0,25
622,0,20.0,36
623,0,18.2,34
624,0,16.8,32
625,0,9.8,15
626,0,14.0,24
627,0,24.6,32
628,0,13.4,31
629,0,23.0,33
630,0,15.8,26
631,0,17.2,23
632,0,8.0,13
633,0,22.0,31
634,0,12.0,15
635,0,11.8,16
636,0,15.6,20
637,0,27.0,35
638,0,20.6,30
639,0,18.8,29
640,1,15.8,33
641,0,10.0,20
642,0,28.4,32
643,1,15.6,39
644,0,10.4,19
645,0,21.4,32
646,0,17.4,24
647,0,18.6,37
648,0,18.4,36
649,0,23.8,27
650,0,13.0,18
651,0,20.6,26
652,0,25.0,36
653,0,18.2,29
654,0,25.0,39
655,0,21.6,38
656,0,12.4,21
657,0,30.0,38
658,0,26.2,40
659,0,9.0,13
660,0,18.2,24
661,0,25.0,30
662,0,27.4,33
663,0,7.2,13
664,0,16.0,22
665,0,13.0,24
666,0,26.2,39
667,0,23.6,38
668,0,22.0,34
669,0,25.6,34
670,0,21.4,27
671,0,23.2,33
673,0,17.6,27
674,0,18.8,31
675,0,21.0,33
676,0,7.0,11
677,0,26.2,33
678,0,26.0,32
679,0,24.4,29
680,0,14.6,18
681,0,20.0,27
682,0,15.0,20
683,0,9.2,13
684,0,26.0,37
685,1,17.2,33
686,0,10.2,18
687,0,25.6,38
688,0,13.8,31
689,0,21.8,30
690,0,23.0,30
691,0,16.6,31
692,0,17.8,32
693,0,8.2,15
694,0,19.2,33
695,0,21.4,30
696,0,7.8,20
697,0,20.8,28
698,0,13.2,20
699,0,18.6,34
700,0,25.6,38
701,0,11.2,18
702,0,28.2,32
703,0,20.6,38
704,0,23.8,31
705,0,6.0,12
706,0,17.4,29
707,0,28.0,35
708,0,22.2,33
709,0,19.2,24
710,0,22.0,35
711,0,23.8,33
712,0,21.0,29
713,0,10.6,12
714,0,18.2,26
715,0,21.8,28
716,0,20.4,22
717,0,27.4,40
718,0,13.0,28
719,0,11.0,19
720,0,27.4,32
721,0,18.0,27
722,0,18.2,34
723,0,12.2,15
724,0,10.6,17
725,0,19.2,26
726,0,21.0,27
727,0,25.0,31
728,0,21.8,31
729,0,22.6,29
730,0,13.8,18
731,0,23.6,30
733,0,23.2,32
734,0,24.0,30
735,0,13.0,19
736,0,10.2,13
737,0,16.8,30
738,0,28.4,37
739,0,13.8,15
740,0,17.8,30
741,0,13.4,16
742,0,21.8,32
743,0,19.2,27
744,0,19.6,31
745,0,21.8,39
746,0,25.2,35
747,0,13.2,20
748,0,27.6,42
749,0,17.2,28
750,0,22.8,33
751,0,12.4,14
752,0,15.0,38
753,0,11.4,19
754,0,18.4,25
755,0,4.4,5
756,0,21.8,36
757,0,11.6,17
758,2,6.6,13
759,0,16.4,20
760,0,15.6,21
761,0,19.0,35
762,0,24.0,32
763,0,24.2,29
764,0,19.2,32
765,0,24.8,38
766,0,16.2,25
767,0,20.8,31
862,0,12.4,23
874,0,11.4,24
877,0,5.8,7
889,0,6.2,11
923,3,4.8,13
924,0,13.4,24
925,0,9.6,26
926,2,5.6,19
927,0,10.4,15
928,0,11.2,25
929,1,6.0,20
930,0,14.2,31
931,0,10.6,27
932,0,9.2,18
933,1,12.6,20
934,1,8.2,26
935,0,6.8,9
936,2,4.8,16
937,0,16.8,34
938,0,13.4,21
939,0,10.4,19
940,0,7.4,10
941,0,7.6,21
942,0,8.2,21
943,0,9.8,25
944,0,17.2,25
945,0,9.6,23
946,0,7.6,15
947,0,20.2,37
948,1,7.2,12
949,1,7.6,23
950,0,14.0,17
951,0,11.6,19
952,0,5.4,7
953,0,6.4,15
954,1,5.0,12
955,0,12.0,21
956,0,7.4,17
957,0,5.8,15
958,0,14.6,20
959,0,6.4,15
960,2,4.8,12
961,0,5.0,13
962,0,7.2,16
963,0,5.2,14
964,0,10.2,15
965,2,5.0,12
966,0,5.8,9
967,0,10.2,22
968,0,7.6,15
969,1,5.0,12
970,1,5.6,13
971,1,5.8,16
972,0,7.6,15
973,0,11.4,23
974,0,5.8,14
975,0,8.8,13
976,0,8.6,19
977,3,4.4,13
978,0,9.4,18
979,0,4.2,12
980,1,5.2,13
981,0,9.0,18
982,0,5.2,12
983,0,11.2,21
984,3,4.2,11
985,2,3.8,11
986,1,3.4,9
987,0,10.6,13
988,0,8.0,14
989,0,2.8,6
990,1,6.2,12
991,0,13.0,17
992,0,7.6,19
993,0,18.2,34
994,0,8.0,14
995,0,14.0,18
996,0,6.4,14
997,0,11.8,25
998,0,10.4,19
999,0,13.6,25
1000,0,10.6,17
1001,0,17.4,35
1002,0,5.6,14
1003,0,4.4,7
1004,0,7.0,14
1005,0,13.4,20
1006,0,6.4,13
1007,1,3.2,7
1008,0,6.2,9
1009,0,13.8,24
1010,2,4.8,17
1011,0,3.6,8
1012,0,4.6,8
1013,0,15.2,20
1014,1,6.6,18
1015,0,5.4,14
1036,2,7.4,18
1047,0,7.8,11
1048,0,11.0,15
1049,0,6.6,9
1050,0,6.2,10
1051,0,12.6,24
1052,0,7.0,13
1053,0,5.4,9
1054,0,12.0,23
1055,0,7.6,13
1056,0,11.2,18
1057,0,9.0,18
1058,0,9.0,24
1059,0,6.0,14
1060,0,6.4,19
1061,0,8.4,18
1062,0,10.2,22
1063,0,5.4,9
1064,0,6.2,10
1065,0,11.6,21
1066,1,4.2,7
1067,0,3.8,8
1068,0,7.0,10
1069,0,9.0,17
1070,0,7.8,17
1071,0,3.6,5
1072,0,7.8,16
1073,0,8.0,12
1074,0,4.8,13
1075,0,5.8,8
1076,0,11.4,18
1077,2,3.0,7
1078,0,8.4,13
1079,0,15.8,22
1080,0,13.8,20
1081,0,10.2,15
1082,0,7.8,14
1083,0,15.2,23
1084,0,12.8,18
1085,0,11.6,16
1086,0,19.4,28
1087,0,13.8,25
1088,0,10.2,15
1089,0,14.2,25
1090,0,9.0,13
1091,1,7.4,14
1092,0,12.8,23
1093,0,10.2,14
1094,0,10.8,16
1095,0,13.8,19
1096,0,14.6,19
1097,0,16.2,21
1098,0,8.6,16
1099,1,8.8,16
1100,0,16.6,21
1101,0,7.2,11
1102,1,8.0,16
1103,0,5.6,9
1104,0,13.2,17
1105,0,11.8,19
1106,0,15.0,24
1107,0,15.6,20
1108,0,14.0,20
1116,0,4.8,13
1118,1,5.0,11
1119,0,7.8,18
1127,0,4.4,8
1130,1,5.6,17
1134,0,5.8,8
1139,0,9.8,21
