date,R1102,S001-v1,R0539,R1319
2021-01-04,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.0
2021-01-13,0.0022882509999999634,0.0022882509999999634,0.0022882509999999634,0.0022882509999999634
2021-01-14,0.02712094048082392,0.02712094048082392,0.02712094048082392,0.02712094048082392
2021-01-15,0.0013540931800144484,0.0013540931800144484,0.0013540931800144484,0.0013540931800144484
2021-01-18,0.02028393136708795,0.02028393136708795,0.02028393136708795,0.02028393136708795
2021-01-19,-0.021206051367717582,-0.021206051367717582,-0.021206051367717582,-0.021206051367717582
2021-01-20,0.022342537470237733,0.022342537470237733,0.022342537470237733,0.022342537470237733
2021-01-21,0.0013245004784454562,0.0013245004784454562,0.0013245004784454562,0.0013245004784454562
2021-01-22,0.0033068712435693204,0.0033068712435693204,0.0033068712435693204,0.0033068712435693204
2021-01-25,0.006591943777820353,0.006591943777820353,0.006591943777820353,0.006591943777820353
2021-01-26,-0.014407304172112223,-0.014407304172112223,-0.014407304172112223,-0.014407304172112223
2021-01-27,-0.010631206422545891,-0.010631206422545891,-0.010631206422545891,-0.010631206422545891
2021-01-28,-0.024848837978042493,-0.024848837978042493,-0.024848837978042493,-0.024848837978042493
2021-01-29,0.0022534385140466906,0.0022534385140466906,0.0022534385140466906,0.0022534385140466906
2021-02-01,0.0,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,0.0
2021-02-03,0.0,0.0,0.0,0.0
2021-02-04,0.0,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.0,0.0
2021-02-10,0.0,0.0,0.0,0.0
2021-02-18,0.0,0.0,0.0,0.0
2021-02-19,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,0.0
2021-03-05,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0,0.0
2021-03-10,0.0,0.0,0.0,0.0
2021-03-11,0.0,0.0,0.0,0.0
2021-03-12,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0
2021-03-16,0.0,0.0,0.0,0.0
2021-03-17,0.0,0.0,0.0,0.0
2021-03-18,0.0,0.0,0.0,0.0
2021-03-19,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0
2021-03-23,0.0,0.0,0.0,0.0
2021-03-24,0.0,0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0
2021-03-26,0.0,0.0,0.0,0.0
2021-03-29,-0.005181063458702728,-0.005181063458702728,-0.005181063458702728,-0.005181063458702728
2021-03-30,-0.002352855965232603,-0.002352855965232603,-0.002352855965232603,-0.002352855965232603
2021-03-31,0.0007861349841309373,0.0007861349841309373,0.0007861349841309373,0.0007861349841309373
2021-04-01,0.014139314304733697,0.014139314304733697,0.014139314304733697,0.014139314304733697
2021-04-02,0.0255606659358405,0.0255606659358405,0.0255606659358405,0.0255606659358405
2021-04-06,0.0,0.0,0.0,0.0
2021-04-07,0.003021042675081853,0.003021042675081853,0.003021042675081853,0.003021042675081853
2021-04-08,-0.0082828445296802,-0.0082828445296802,-0.0082828445296802,-0.0082828445296802
2021-04-09,-0.01670404607602427,-0.01670404607602427,-0.01670404607602427,-0.01670404607602427
2021-04-12,-0.020076504214010638,-0.020076504214010638,-0.020076504214010638,-0.020076504214010638
2021-04-13,-0.0020751805969062564,-0.0020751805969062564,-0.0020751805969062564,-0.0020751805969062564
2021-04-14,0.0,0.0,0.0,0.0
2021-04-15,0.0,0.0,0.0,0.0
2021-04-16,0.0,0.0,0.0,0.0
2021-04-19,0.018719761614734542,0.018719761614734542,0.018719761614734542,0.018719761614734542
2021-04-20,-0.006791866281978809,-0.006791866281978809,-0.006791866281978809,-0.006791866281978809
2021-04-21,-0.0030392494120391467,-0.0030392494120391467,-0.0030392494120391467,-0.0030392494120391467
2021-04-22,0.013718315737214715,0.013718315737214715,0.013718315737214715,0.013718315737214715
2021-04-23,0.004510890097787712,0.004510890097787712,0.004510890097787712,0.004510890097787712
2021-04-26,0.0029937555628680723,0.0029937555628680723,0.0029937555628680723,0.0029937555628680723
2021-04-27,-0.0037310246777010336,-0.0037310246777010336,-0.0037310246777010336,-0.0037310246777010336
2021-04-28,0.011234992065753957,0.011234992065753957,0.011234992065753957,0.011234992065753957
2021-04-29,0.0,0.0,0.0,0.0
2021-04-30,-0.0007406779600459545,-0.0007406779600459545,-0.0007406779600459545,-0.0007406779600459545
2021-05-06,-0.011118404557894812,-0.011118404557894812,-0.011118404557894812,-0.011118404557894812
2021-05-07,-0.029232874778706508,-0.029232874778706508,-0.029232874778706508,-0.029232874778706508
2021-05-10,-0.0004999558233960144,-0.0004999558233960144,-0.0004999558233960144,-0.0004999558233960144
2021-05-11,0.0,0.0,0.0,0.0
2021-05-12,0.0,0.0,0.0,0.0
2021-05-13,0.0,0.0,0.0,0.0
2021-05-14,0.0,0.0,0.0,0.0
2021-05-17,0.019852034578974997,0.019852034578974997,0.019852034578974997,0.019852034578974997
2021-05-18,-0.005912777540307612,-0.005912777540307612,-0.005912777540307612,-0.005912777540307612
2021-05-19,0.005204453121294472,0.005204453121294472,0.005204453121294472,0.005204453121294472
2021-05-20,0.0014792877224796275,0.0014792877224796275,0.0014792877224796275,0.0014792877224796275
2021-05-21,-0.0103397186385209,-0.0103397186385209,-0.0103397186385209,-0.0103397186385209
2021-05-24,0.012686547968983053,0.012686547968983053,0.012686547968983053,0.012686547968983053
2021-05-25,0.02652906869062477,0.02652906869062477,0.02652906869062477,0.02652906869062477
2021-05-26,-0.0021536221346744044,-0.0021536221346744044,-0.0021536221346744044,-0.0021536221346744044
2021-05-27,0.022302125743285606,0.022302125743285606,0.022302125743285606,0.022302125743285606
2021-05-28,-0.004926101345876233,-0.004926101345876233,-0.004926101345876233,-0.004926101345876233
2021-05-31,0.038896691045421816,0.038896691045421816,0.038896691045421816,0.038896691045421816
2021-06-01,0.013614685089632372,0.013614685089632372,0.013614685089632372,0.013614685089632372
2021-06-02,-0.024177267280979575,-0.024177267280979575,-0.024177267280979575,-0.024177267280979575
2021-06-03,-0.00894699370974672,-0.00894699370974672,-0.00894699370974672,-0.00894699370974672
