strategy_reference,window,start,end,subject,max_drawdown,calmar,win_loss_ratio,win_loss_ratio_status,return,sharpe,closed_trades
S001-v1,2021,2021-01-04,2021-12-31,strategy,-0.11622955155141323,0.5749257004456128,0.9478477078422224,VALID,0.06436163300000053,0.6006268838207426,17
S001-v1,2021,2021-01-04,2021-12-31,buyhold,-0.09712133440947002,1.8056856419223783,,NO_CLOSED_TRADES,0.16860725803033638,1.1780571545936043,0
S001-v1,2021,2021-01-04,2021-12-31,ma5_ma20,-0.09790899161794642,0.43486444589290935,2.503865465644456,VALID,0.041025760892511975,0.4165052752944918,8
S001-v1,2022,2022-01-04,2022-12-30,strategy,-0.13757777072065158,-0.6468569371832044,1.6191072015743488,VALID,-0.08561744199999977,-0.662035329864326,16
S001-v1,2022,2022-01-04,2022-12-30,buyhold,-0.3167574107683,-0.94635779305346,,NO_CLOSED_TRADES,-0.28979384779547457,-1.2714426057511687,0
S001-v1,2022,2022-01-04,2022-12-30,ma5_ma20,-0.22027178903997313,-0.9122719095450268,0.870619161031752,VALID,-0.1938028938179417,-1.1600637604966895,7
S001-v1,2023,2023-01-03,2023-12-29,strategy,-0.1734839976536252,-0.5413208377236962,2.1926612664833267,VALID,-0.09035768249999998,-1.0344009014880649,18
S001-v1,2023,2023-01-03,2023-12-29,buyhold,-0.17281853281853277,-0.3645933960848603,,NO_CLOSED_TRADES,-0.06058551105918408,-0.4489666748986811,0
S001-v1,2023,2023-01-03,2023-12-29,ma5_ma20,-0.1242074160463652,-0.5164944324276236,1.481728250584616,VALID,-0.0616869270094903,-0.8644527696845988,9
S001-v1,2024,2024-01-02,2024-12-31,strategy,-0.1922586186148456,0.2903805172559762,4.326526132410163,VALID,0.05355448449999978,0.35862726896073444,15
S001-v1,2024,2024-01-02,2024-12-31,buyhold,-0.19865319865319853,0.26987013693689166,,NO_CLOSED_TRADES,0.05142939030122884,0.32223923339650695,0
S001-v1,2024,2024-01-02,2024-12-31,ma5_ma20,-0.11911623439000973,1.6194083900592133,3.3543710715588198,VALID,0.1845773841910976,0.9557356870406059,4
S001-v1,2025,2025-01-02,2025-12-31,strategy,-0.13450208858570178,0.5850875219107254,2.618648642624702,VALID,0.07578108750000023,0.6401721752443467,16
S001-v1,2025,2025-01-02,2025-12-31,buyhold,-0.138099902056807,2.3101059151528878,,NO_CLOSED_TRADES,0.30604578888444545,1.483820680783889,0
S001-v1,2025,2025-01-02,2025-12-31,ma5_ma20,-0.11038801009532728,2.757257615472516,4.710323738627751,VALID,0.29204833454566614,1.9028346245574896,6
S001-v1,2021_2025,2021-01-04,2025-12-31,strategy,-0.3756816128714787,0.0013771859919762825,2.0202590411326953,VALID,0.002490821500001239,0.07425010004490575,83
S001-v1,2021_2025,2021-01-04,2025-12-31,buyhold,-0.4731445881393451,0.03152042857011751,,NO_CLOSED_TRADES,0.07379412375081063,0.17646409605178848,0
S001-v1,2021_2025,2021-01-04,2025-12-31,ma5_ma20,-0.2861371994647831,0.13834982731702106,2.4530560124959764,VALID,0.20529311602474865,0.3324889633280984,34
S001-v1,2026YTD,2026-01-05,2026-09-08,strategy,-0.11700536033154607,0.1312044206670746,1.1296273016992726,VALID,0.01008626549999958,0.17523875899141045,10
S001-v1,2026YTD,2026-01-05,2026-09-08,buyhold,-0.20208831846856645,0.14035999529102136,,NO_CLOSED_TRADES,0.018595648524861064,0.24175853204463224,0
S001-v1,2026YTD,2026-01-05,2026-09-08,ma5_ma20,-0.12443874615314976,0.38923742826167107,2.723713367288957,VALID,0.03164824751029949,0.34147990416524937,6
S001-v2,2021,2021-01-04,2021-12-31,strategy,-0.11639821250078108,0.016653285650482134,1.2379163132281774,VALID,0.0018691190000001967,0.07826188209921106,20
S001-v2,2021,2021-01-04,2021-12-31,buyhold,-0.09712133440947002,1.8056856419223783,,NO_CLOSED_TRADES,0.16860725803033638,1.1780571545936043,0
S001-v2,2021,2021-01-04,2021-12-31,ma5_ma20,-0.09790899161794642,0.43486444589290935,2.503865465644456,VALID,0.041025760892511975,0.4165052752944918,8
