state_id,signal_id,signal_date,frequency,name,state_primary,state_full,open,high,low,close
STATE-A52AA78D99B5F894,SIG-DAILY-93BA325393A0F9B9,2021-02-23,daily,tas_macd_bs1_V230411,顶背驰,顶背驰_任意_任意,2.0543187,2.0812275,2.0526369,2.0588035
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,2021-03-10,daily,bar_triple_V230506,三连跌,三连跌_量柱无序_任意,1.9130475,1.9225777,1.8788509,1.8813736
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2021-03-12,30m,cxt_overlap_V240612,压力,压力_顺畅笔底分型_任意,1.93407,1.9363124,1.9040779,1.9332291
STATE-61095EABC56E27D9,SIG-30M-7DC1FE61B6083F16,2021-04-06,30m,tas_cross_status_V230624,0轴上金叉第3次,0轴上金叉第3次_0轴上死叉第4次_任意,1.9679863,1.9814407,1.9621,1.9679863
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2021-04-14,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,1.9318276,1.956494,1.9318276,1.9497668
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,2021-05-21,daily,bar_triple_V230506,三连跌,三连跌_量柱无序_任意,2.0422658,2.048993,2.0296523,2.0346977
STATE-61095EABC56E27D9,SIG-30M-7DC1FE61B6083F16,2021-06-02,30m,tas_cross_status_V230624,0轴上金叉第3次,0轴上金叉第3次_0轴上死叉第4次_任意,2.0986061,2.1028106,2.079826,2.0868335
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2021-07-14,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.1840976,2.1883021,2.1644766,2.1709235
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2021-07-21,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.1728856,2.1997944,2.1728856,2.1967111
STATE-A52AA78D99B5F894,SIG-DAILY-93BA325393A0F9B9,2021-08-16,daily,tas_macd_bs1_V230411,顶背驰,顶背驰_任意_任意,2.2334304,2.2376349,2.2163321,2.2219381
STATE-61095EABC56E27D9,SIG-30M-7DC1FE61B6083F16,2021-09-02,30m,tas_cross_status_V230624,0轴上金叉第3次,0轴上金叉第3次_0轴上死叉第3次_任意,2.2600589,2.3063084,2.2555741,2.3037857
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2021-09-23,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.3564821,2.3716183,2.3463913,2.3626487
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2021-11-08,30m,cxt_overlap_V240612,压力,压力_顺畅笔底分型_任意,2.2014762,2.2177336,2.1981126,2.2135291
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-02-25,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.1468177,2.1737265,2.1420526,2.1459768
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-03-01,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.1599918,2.1692417,2.1507419,2.1625145
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-03-21,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,1.995736,2.0089101,1.9749938,1.9988193
STATE-61095EABC56E27D9,SIG-30M-7DC1FE61B6083F16,2022-03-23,30m,tas_cross_status_V230624,0轴上金叉第3次,0轴上金叉第3次_0轴上死叉第3次_任意,2.0058268,2.0234857,1.9979784,2.0128343
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-03-28,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,1.9612591,1.9926527,1.9455623,1.9786377
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-05-10,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,1.746269,1.799526,1.7356176,1.7964426999999998
STATE-61095EABC56E27D9,SIG-30M-7DC1FE61B6083F16,2022-06-02,30m,tas_cross_status_V230624,0轴上金叉第3次,0轴上金叉第3次_0轴上死叉第3次_任意,1.9026764,1.9318276,1.8953886,1.9290246
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-06-20,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.0119934,2.0257281000000003,1.9940542,2.0119934
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-06-24,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.012554,2.0372204,2.0083495,2.0330159
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-06-30,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.040584,2.0725382,2.0391825,2.0590838
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-07-04,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.054599,2.0815078,2.0408643,2.0803866
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-07-13,30m,cxt_overlap_V240612,压力,压力_顺畅笔底分型_任意,1.9960163,2.0094707,1.9870467,2.0027435
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-07-26,30m,cxt_overlap_V240612,压力,压力_顺畅笔底分型_任意,1.9946148,2.0268493,1.9918118,2.0187206
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,2022-08-04,daily,bar_triple_V230506,三连跌,三连跌_量柱无序_任意,1.9775165,1.9803195,1.9475244,1.973312
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-08-15,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,2.0565611,2.0761821,2.0520763,2.0666519
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,2022-10-25,daily,bar_triple_V230506,三连跌,三连跌_量柱无序_任意,1.891279,1.907334,1.8594901,1.8835726
STATE-61095EABC56E27D9,SIG-30M-7DC1FE61B6083F16,2022-11-15,30m,tas_cross_status_V230624,0轴上金叉第3次,0轴上金叉第3次_0轴上死叉第3次_任意,1.971554,2.006875,1.9673797,2.0039851
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,2022-11-18,30m,cxt_overlap_V240612,压力,压力_顺畅笔顶分型_任意,1.9988475,2.0123337,1.9901778,1.9949943
