subject,window,signal_date,execution_date,side,size,price,fees
P-A-MEAN-REVERSION,2021,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
P-A-MEAN-REVERSION,2021,2021-03-12,2021-03-15,Sell,148912.43293728583,6.855,510.3973638925472
P-A-MEAN-REVERSION,2021,2021-05-21,2021-05-24,Buy,140522.86663905226,7.257,509.8872215996962
P-A-MEAN-REVERSION,2021,2021-05-28,2021-05-31,Sell,140522.86663905226,7.43,522.0424495640791
P-A-MEAN-REVERSION,2022,2022-08-04,2022-08-05,Buy,141833.4397438715,7.047,499.75012493750546
P-A-MEAN-REVERSION,2022,2022-08-11,2022-08-12,Sell,141833.4397438715,7.37,522.6562254561666
P-A-MEAN-REVERSION,2022,2022-10-25,2022-10-26,Buy,177596.54096198108,5.88,522.1338304281235
P-A-MEAN-REVERSION,2022,2022-11-01,2022-11-02,Sell,177596.54096198108,5.95,528.3497093618937
P-A-MEAN-REVERSION,2022,2022-12-02,2022-12-05,Buy,169826.777250761,6.216,527.8216236953158
P-A-MEAN-REVERSION,2022,2022-12-09,2022-12-12,Sell,169826.777250761,6.195,526.0384425342322
P-A-MEAN-REVERSION,2023,2023-02-17,2023-02-20,Buy,159105.42022844037,6.282,499.75012493750546
P-A-MEAN-REVERSION,2023,2023-02-24,2023-02-27,Sell,159105.42022844037,6.341,504.44373483427023
P-A-MEAN-REVERSION,2023,2023-03-20,2023-03-21,Buy,162587.3667350397,6.199,503.93954319518525
P-A-MEAN-REVERSION,2023,2023-03-27,2023-03-28,Sell,162587.3667350397,6.321,513.857372566093
P-A-MEAN-REVERSION,2023,2023-03-29,2023-03-30,Buy,163511.31453856124,6.279,513.3437719937647
P-A-MEAN-REVERSION,2023,2023-04-06,2023-04-07,Sell,163511.31453856124,6.426,525.3618536123973
P-A-MEAN-REVERSION,2023,2023-05-11,2023-05-12,Buy,170180.5299313998,6.168,524.836754308315
P-A-MEAN-REVERSION,2023,2023-05-18,2023-05-19,Sell,170180.5299313998,6.145,522.8796782142259
P-A-MEAN-REVERSION,2023,2023-07-10,2023-07-11,Buy,171574.00553299265,6.089,522.3570598451188
P-A-MEAN-REVERSION,2023,2023-07-17,2023-07-18,Sell,171574.00553299265,6.111,524.2443739060591
P-A-MEAN-REVERSION,2023,2023-09-15,2023-09-18,Buy,180593.23845632563,5.8,523.7203915233258
P-A-MEAN-REVERSION,2023,2023-09-22,2023-09-25,Sell,180593.23845632563,5.8,523.7203915233443
P-A-MEAN-REVERSION,2023,2023-10-11,2023-10-12,Buy,181791.84602541768,5.756,523.1969328611158
P-A-MEAN-REVERSION,2023,2023-10-18,2023-10-19,Sell,181791.84602541768,5.605,509.4716484862331
P-A-MEAN-REVERSION,2023,2023-11-02,2023-11-03,Buy,182915.51893846068,5.565,508.9624314461835
P-A-MEAN-REVERSION,2023,2023-11-09,2023-11-10,Sell,182915.51893846068,5.68,519.4800737852283
P-A-MEAN-REVERSION,2023,2023-12-15,2023-12-18,Buy,188029.2946817663,5.52,518.9608533215942
P-A-MEAN-REVERSION,2023,2023-12-22,2023-12-25,Sell,188029.2946817663,5.408,508.4312128194961
P-A-MEAN-REVERSION,2024,2024-03-14,2024-03-15,Buy,182958.12737965633,5.463,499.75012493750546
P-A-MEAN-REVERSION,2024,2024-03-21,2024-03-22,Sell,182958.12737965633,5.547,507.4343662874768
P-A-MEAN-REVERSION,2024,2024-06-03,2024-06-04,Buy,191691.12706053216,5.289,506.92718551156577
