holding_sessions,window,signal_date,execution_date,side,size,price,fees
3,2021,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
3,2021,2021-03-15,2021-03-16,Sell,148912.43293728583,6.85,510.02508281020397
3,2021,2021-05-21,2021-05-24,Buy,140420.37001860072,7.257,509.515312612406
3,2021,2021-05-26,2021-05-27,Sell,140420.37001860072,7.363,516.9575922234786
3,2022,2022-08-04,2022-08-05,Buy,141833.4397438715,7.047,499.75012493750546
3,2022,2022-08-09,2022-08-10,Sell,141833.4397438715,7.239,513.3661351529429
3,2022,2022-10-25,2022-10-26,Buy,174439.80461652388,5.88,512.8530255724909
3,2022,2022-10-28,2022-10-31,Sell,174439.80461652388,5.769,503.1716164163632
3,2022,2022-12-02,2022-12-05,Buy,161733.8147554778,6.216,502.6686962599633
3,2022,2022-12-07,2022-12-08,Sell,161733.8147554778,6.207,501.94089409362533
3,2023,2023-02-17,2023-02-20,Buy,159105.42022844037,6.282,499.75012493750546
3,2023,2023-02-22,2023-02-23,Sell,159105.42022844037,6.39,508.34181762986697
3,2023,2023-03-06,2023-03-07,Buy,158698.04058003874,6.4,507.8337298560655
3,2023,2023-03-09,2023-03-10,Sell,158698.04058003874,6.27,497.51835721842144
3,2023,2023-03-20,2023-03-21,Buy,160355.24681273245,6.199,497.02108749595936
3,2023,2023-03-23,2023-03-24,Sell,160355.24681273245,6.32,506.72257992823455
3,2023,2023-03-29,2023-03-30,Buy,161240.99715973213,6.279,506.2161105829291
3,2023,2023-04-03,2023-04-04,Sell,161240.99715973213,6.429,518.309185369959
3,2023,2023-05-11,2023-05-12,Buy,167895.95823919232,6.168,517.7911352096125
3,2023,2023-05-16,2023-05-17,Sell,167895.95823919232,6.126,514.265320086646
3,2023,2023-07-10,2023-07-11,Buy,168747.3515423608,6.089,513.7513117706403
3,2023,2023-07-13,2023-07-14,Sell,168747.3515423608,6.155,519.3199743716153
3,2023,2023-07-18,2023-07-19,Buy,170266.13519116043,6.094,518.8009139273781
3,2023,2023-07-21,2023-07-24,Sell,170266.13519116043,6.0,510.7984055734813
3,2023,2023-09-15,2023-09-18,Buy,175961.33187568097,5.8,510.28786243940704
3,2023,2023-09-20,2023-09-21,Sell,175961.33187568097,5.746,505.5369064788315
3,2023,2023-10-11,2023-10-12,Buy,175480.0633128856,5.756,505.03162221447565
3,2023,2023-10-16,2023-10-17,Sell,175480.0633128856,5.69,499.24078012515963
3,2023,2023-11-02,2023-11-03,Buy,179242.33201821265,5.565,498.74178884061985
3,2023,2023-11-07,2023-11-08,Sell,179242.33201821265,5.7,510.8406462519061
3,2023,2023-12-15,2023-12-18,Buy,184902.19597765614,5.52,510.33006089832634
3,2023,2023-12-20,2023-12-21,Sell,184902.19597765614,5.39,498.31141815978333
3,2024,2024-03-14,2024-03-15,Buy,182958.12737965633,5.463,499.75012493750546
3,2024,2024-03-19,2024-03-20,Sell,182958.12737965633,5.562,508.8065522428243
3,2024,2024-06-03,2024-06-04,Buy,192209.49138465477,5.289,508.2979999666568
3,2024,2024-06-06,2024-06-07,Sell,192209.49138465477,5.291,508.49020945810423
3,2024,2024-11-26,2024-11-27,Buy,175711.50929321753,5.782,507.98197336657904
3,2024,2024-11-29,2024-12-02,Sell,175711.50929321753,5.946,522.3903171287358
3,2025,2025-01-23,2025-01-24,Buy,179475.71375023568,5.569,499.75012493750546
3,2025,2025-02-05,2025-02-06,Sell,179475.71375023568,5.598,502.3525227869097
3,2025,2025-03-25,2025-03-26,Buy,169172.5674413817,5.933,501.85042131482624
3,2025,2025-03-28,2025-03-31,Sell,169172.5674413817,5.881,497.45193456138287
3,2025,2025-04-24,2025-04-25,Buy,177167.46211354295,5.61,496.95473122841213
3,2025,2025-04-29,2025-04-30,Sell,177167.46211354295,5.598,495.8917264558067
3,2025,2025-11-20,2025-11-21,Buy,139587.51269408374,7.098,495.39608255121857
3,2025,2025-11-25,2025-11-26,Sell,139587.51269408374,7.055,492.3949510283804
3,2026YTD,2026-04-02,2026-04-03,Buy,129855.82043329382,7.697,499.75012493750546
3,2026YTD,2026-04-08,2026-04-09,Sell,129855.82043329382,7.961,516.8910932347261
3,2026YTD,2026-08-03,2026-08-04,Buy,138252.86759247116,7.47,516.3744604578242
3,2026YTD,2026-08-06,2026-08-07,Sell,138252.86759247116,7.82,540.5687122865622
3,2026YTD,2026-09-03,2026-09-04,Buy,138008.79471596144,7.826,540.0284137234557
3,2021_2026YTD,2021-03-10,2021-03-11,Buy,148912.43293728583,6.712,499.75012493750546
3,2021_2026YTD,2021-03-15,2021-03-16,Sell,148912.43293728583,6.85,510.02508281020397
3,2021_2026YTD,2021-05-21,2021-05-24,Buy,140420.37001860072,7.257,509.515312612406
3,2021_2026YTD,2021-05-26,2021-05-27,Sell,140420.37001860072,7.363,516.9575922234786
3,2021_2026YTD,2022-08-04,2022-08-05,Buy,146570.42514002454,7.047,516.4408929807832
3,2021_2026YTD,2022-08-09,2022-08-10,Sell,146570.42514002454,7.239,530.5116537943188
3,2021_2026YTD,2022-10-25,2022-10-26,Buy,180265.78478360196,5.88,529.9814072637819
3,2021_2026YTD,2022-10-28,2022-10-31,Sell,180265.78478360196,5.769,519.9766562082999
3,2021_2026YTD,2022-12-02,2022-12-05,Buy,167135.4373907627,6.216,519.4569394104183
3,2021_2026YTD,2022-12-07,2022-12-08,Sell,167135.4373907627,6.207,518.7048299422321
3,2021_2026YTD,2023-02-17,2023-02-20,Buy,164974.9711350186,6.282,518.1863843350438
3,2021_2026YTD,2023-02-22,2023-02-23,Sell,164974.9711350186,6.39,527.0950327763844
3,2021_2026YTD,2023-03-06,2023-03-07,Buy,164552.56286231763,6.4,526.5682011593599
3,2021_2026YTD,2023-03-09,2023-03-10,Sell,164552.56286231763,6.27,515.8722845733657
