omitted_count,omitted_signal_dates,remaining_trades,mean_return_4,mean_return_5,mean_return_6,mean_band_return,mean_peak_advantage
1,2021-03-10,24,0.008797155597841416,0.011738307442162746,0.011240805260824585,0.010592089433609583,0.0017193270128297439
1,2021-05-21,24,0.008593387000652791,0.011880895980848108,0.011037527184274873,0.010503936721925256,0.0020654388883842765
1,2022-08-04,24,0.008309483471914486,0.010965309725627648,0.010563505695633616,0.009946099631058582,0.0015288151418535966
1,2022-10-25,24,0.009993588492457925,0.012377661052481328,0.011660589105371877,0.011343946216770375,0.0015505722535664272
1,2022-12-02,24,0.009771266952670119,0.013013822085006685,0.01251084463275312,0.01176531122347664,0.0018727662922950656
1,2023-02-17,24,0.00902731703077514,0.012482258423676423,0.011938539547030494,0.011149371667160684,0.0019993301347736073
1,2023-03-06,24,0.010767863433360494,0.01390081471622486,0.01332359894558357,0.012664092365056306,0.001855083526752827
1,2023-03-20,24,0.008764525010336024,0.012053991894414343,0.011497553171667776,0.010772023358806046,0.001922952803412444
1,2023-03-29,24,0.008702211831157528,0.011898698199406624,0.010930733056348932,0.010510547695637695,0.002082225755653394
1,2023-05-11,24,0.009691639341963687,0.013028413531994779,0.012350703502058849,0.011690252125339105,0.0020072421099835125
1,2023-07-10,24,0.009392076683680242,0.012722802786032883,0.012242289009001012,0.011452389492904712,0.0019056199396922564
1,2023-07-18,24,0.009761091540856628,0.012716095688940702,0.01215352065190133,0.011543569293899554,0.0017587895925617232
1,2023-09-15,24,0.010293302312340533,0.012873197014658971,0.012477417891893453,0.011881305739630985,0.0014878369125419788
1,2023-10-11,24,0.010117834062404898,0.013965166810395807,0.01383126094652296,0.012638087273107888,0.0019906193059318783
1,2023-11-02,24,0.008587388328089677,0.012013021382199682,0.011416293883047648,0.010672234531112336,0.00201118027663102
1,2023-12-15,24,0.01034369542225734,0.013717762654544339,0.013181361272526976,0.012414273116442885,0.001955234307152181
1,2024-03-14,24,0.008644729262736822,0.012233163745553102,0.012306947290226272,0.01106161343283873,0.001757325469071554
1,2024-06-03,24,0.010085106648603718,0.01321948192980523,0.012355170632585635,0.011886586403664861,0.001999343289210552
1,2024-11-26,24,0.007754197887595099,0.011159818433570187,0.010959039766182371,0.009957685362449217,0.001803199606681451
1,2025-01-23,24,0.008289136981826725,0.01082520712320977,0.009944451828893253,0.009686265311309915,0.0017084127178497814
1,2025-03-25,24,0.010081253172367183,0.013252052757864405,0.012893864059989851,0.012075723330073812,0.0017644941416858882
1,2025-04-24,24,0.009263269181355477,0.01147827653075357,0.011393514528354048,0.010711686746821032,0.0011498846758988084
1,2025-11-20,24,0.009790682642856189,0.013166413560326218,0.011959795646186322,0.011638963949789576,0.002291174415804962
1,2026-04-02,24,0.00787743039678504,0.011315706304382047,0.010042984573338992,0.009745373758168693,0.002355498819320031
1,2026-08-03,24,0.0066327004084193635,0.009958888327860025,0.009423456040093823,0.008671681592124404,0.0019308101036034319
2,2021-03-10|2021-05-21,23,0.00817568214211115,0.011256680610883479,0.010480183067830235,0.009970848606941621,0.0019287480059127866
2,2021-03-10|2022-08-04,23,0.00787943498168857,0.010301286257609954,0.009985551949248052,0.009388757729515524,0.0013687927921416424
2,2021-03-10|2022-10-25,23,0.00963676195964694,0.011775044163892055,0.011130334637670585,0.010847380253736527,0.0013914958652332919
2,2021-03-10|2022-12-02,23,0.009404774265955318,0.012438864371744603,0.012017557796677101,0.011287065478125673,0.0017276983404283929
2,2021-03-10|2023-02-17,23,0.008628478695282295,0.011884189246878242,0.011420369881140447,0.010644345941100327,0.001859764958666871
2,2021-03-10|2023-03-06,23,0.010444701028414839,0.013364421899972261,0.012865649253543658,0.012224924060643585,0.0017092467589930134
2,2021-03-10|2023-03-20,23,0.008354260934824087,0.011437302433735202,0.010960210185109785,0.010250591184556358,0.001780066873768266
2,2021-03-10|2023-03-29,23,0.008289238486985658,0.011275256838944538,0.010368745716950992,0.009977747014293728,0.0019462647369762138
2,2021-03-10|2023-05-11,23,0.009321684585218171,0.01245409022947131,0.011850454008126555,0.011208742940938678,0.001868020932798946
2,2021-03-10|2023-07-10,23,0.009009097463531098,0.012135192059771939,0.01173732584145751,0.010960538454920182,0.0017619804072776355
2,2021-03-10|2023-07-18,23,0.009394156444932545,0.012128193349762706,0.011644697990570885,0.011055682595088712,0.0016087661320109922
2,2021-03-10|2023-09-15,23,0.00994950681517662,0.01229212516790351,0.011982677719258317,0.011408103234112817,0.0013260329006860414
