decision_id,signal_date,valid_session,target_position,factor_score,regime
DEC-4ABD50E8FEE2E9C2DD5A,2020-12-31,2021-01-04,0,0.0,
DEC-906C75336767B475F8ED,2021-01-04,2021-01-05,0,0.0,
DEC-FE156122FF3FC60951C5,2021-01-05,2021-01-06,0,0.0,
DEC-E0F55EC76800C810C27D,2021-01-06,2021-01-07,0,0.0,
DEC-7006DAD236C4C481FA38,2021-01-07,2021-01-08,0,0.0,
DEC-A728B445AB43624EB656,2021-01-08,2021-01-11,0,0.0,
DEC-E7CBE22BE77AC34FC785,2021-01-11,2021-01-12,0,0.0,
DEC-E0B37EDB0D985A7A4A18,2021-01-12,2021-01-13,0,0.0,
DEC-DE803841050E7D60B2C3,2021-01-13,2021-01-14,0,0.0,
DEC-740EB8DFED4B3CAA9E85,2021-01-14,2021-01-15,0,0.0,
DEC-C7B5642856A4CE5D9390,2021-01-15,2021-01-18,0,0.0,
DEC-BD0641CE1C0AD36FADFA,2021-01-18,2021-01-19,0,0.0,
DEC-0D79A942DA5A49D47B6B,2021-01-19,2021-01-20,0,0.0,
DEC-F06F1BC159BE0CD433EE,2021-01-20,2021-01-21,0,0.0,
DEC-3C5A4762193B65F56FFF,2021-01-21,2021-01-22,0,0.0,
DEC-8ECA465E111E901E9275,2021-01-22,2021-01-25,0,0.0,
DEC-D40CD11A7897ED731E3D,2021-01-25,2021-01-26,0,0.0,
DEC-F654E31B45C95BEF0EA2,2021-01-26,2021-01-27,0,0.0,
DEC-C0569AFF5DD66DCAB973,2021-01-27,2021-01-28,0,0.0,
DEC-03ACF869EC0D51FC7835,2021-01-28,2021-01-29,0,0.0,
DEC-7528C1A464679122DF9A,2021-01-29,2021-02-01,0,0.0,
DEC-A7EAAD765A0AA798345F,2021-02-01,2021-02-02,0,0.0,
DEC-57AA06209DBFFEEB9AEF,2021-02-02,2021-02-03,0,0.0,
DEC-B68FB81697D6D7B08684,2021-02-03,2021-02-04,0,0.0,
DEC-2F9D141CAC806F8C29D1,2021-02-04,2021-02-05,0,0.0,
DEC-EDFF10F9D2910B3DBF66,2021-02-05,2021-02-08,0,0.0,
DEC-95C4182CFF1B2EDE4F61,2021-02-08,2021-02-09,0,0.0,
DEC-8BC48CACE1B80676C5D4,2021-02-09,2021-02-10,0,0.0,
DEC-4F7B43FDB3AABF397A5D,2021-02-10,2021-02-18,0,0.0,
DEC-6A7C46E5564B08E7F4E8,2021-02-18,2021-02-19,0,0.0,
DEC-798AE57B07EB38B1F2E7,2021-02-19,2021-02-22,0,0.0,
DEC-EDDB58F7BA8B3A215D33,2021-02-22,2021-02-23,0,0.0,
DEC-1693C76DF13BB64F1A26,2021-02-23,2021-02-24,0,0.0,
DEC-E3A4507E7B2B1D7F37BF,2021-02-24,2021-02-25,0,0.0,
DEC-080868FDD7FD7DA3FC3E,2021-02-25,2021-02-26,0,0.0,
DEC-2A8F74DB8E48641E9400,2021-02-26,2021-03-01,0,0.0,
DEC-9597126750824F89924C,2021-03-01,2021-03-02,0,0.0,
DEC-F377D328BC954ACCA303,2021-03-02,2021-03-03,0,0.0,
DEC-69571063FF194C4D84E2,2021-03-03,2021-03-04,0,0.0,
