hypothesis_id,mechanism,signal_name,state_primary,exit_bars,exit_trading_minutes,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar,positive_years,rolling_30d_median_episodes,rolling_30d_p10_episodes,rolling_30d_min_episodes,rolling_30d_max_episodes,density_pass,matched_random_percentile,incremental_terminal_return_vs_static,evidence
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,3,15,980,-0.0011748344593930167,-0.001337801385213222,0.2969387755102041,0.33126372879190724,-0.1843021165458334,-0.685405585435161,-0.2688949732278893,0,21.0,18.0,14,27,True,0.4695,-0.29549385828070884,DIRECTION_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,3,15,966,-0.001195373557177246,-0.00119928043174089,0.28467908902691513,0.2990041075848565,-0.18469822344300402,-0.6908931522332695,-0.2673325431667377,0,21.0,18.0,16,26,True,0.3585,-0.295867398820319,DIRECTION_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,3,15,993,-0.0013036271479996426,-0.001338195691764299,0.25176233635448136,0.24281993159485127,-0.20453953985067863,-0.731175677213549,-0.2797406235258839,0,22.0,18.0,14,29,True,0.0755,-0.3135249928070971,DIRECTION_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,3,15,1019,-0.001069986407244047,-0.00119928043174089,0.3071638861629048,0.3878058343890929,-0.1755651670965458,-0.6681983420367772,-0.26274409266176063,0,22.0,19.0,17,29,True,0.8035,-0.28703602354243796,DIRECTION_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,3,15,830,-0.0012237569995935443,-0.001199280431741001,0.3,0.31772793559590634,-0.16447030595049728,-0.6448455367628891,-0.2550538021494802,0,18.0,15.0,11,26,True,0.2565,-0.27567422463053093,DIRECTION_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,3,15,1006,-0.001047586297305929,-0.00119928043174089,0.2922465208747515,0.36403947867637454,-0.17014488610358547,-0.6526503830630159,-0.2606983624296093,0,22.0,19.0,17,28,True,0.927,-0.2815740269564474,DIRECTION_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,3,15,1225,-0.00113196678350947,-0.0013361024481199912,0.28,0.36303037155977935,-0.21769258284576076,-0.7519612056685625,-0.28949975238710896,0,27.0,24.0,22,30,True,0.7485,-0.3241482941482374,DIRECTION_FAIL
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,6,30,948,-0.0012932622293313244,-0.001357721561840497,0.3270042194092827,0.39630510058242463,-0.19538816395274317,-0.7085194887404526,-0.2757696394492805,0,21.0,18.0,14,27,True,0.1605,-0.3056331493049328,DIRECTION_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,6,30,914,-0.0011950428332060134,-0.0010341892413394116,0.35120350109409193,0.41556863586669135,-0.17615504662232684,-0.6749096335831094,-0.26100538184218236,0,20.0,17.0,14,25,True,0.383,-0.28762039513497073,DIRECTION_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,6,30,957,-0.0013128587827522722,-0.0013461844940395595,0.3187042842215256,0.373929915708383,-0.19958997938091128,-0.7221339363947701,-0.2763891424039115,0,21.0,17.0,13,29,True,0.119,-0.3093090893849759,DIRECTION_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,6,30,976,-0.0010343876831930153,-0.0010380582139108419,0.3637295081967213,0.516281435655479,-0.1643167553052287,-0.6477827980154571,-0.25366026360784566,0,21.0,19.0,15,28,True,0.802,-0.27551195596525435,DIRECTION_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,6,30,794,-0.0013969775555679987,-0.0013264886276219134,0.32997481108312343,0.3927276176969153,-0.1786749431560437,-0.6802386527589919,-0.26266508442493364,0,17.0,14.0,10,25,False,0.035,-0.29009483317828944,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,6,30,975,-0.0010669191775192265,-0.0013257109025721636,0.3261538461538461,0.47572850460044785,-0.16866406141167556,-0.6491297293674756,-0.2598310534567952,0,21.0,18.0,15,27,True,0.7745,-0.28005251943049037,DIRECTION_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,6,30,1202,-0.0011679838132971014,-0.001330302959548335,0.34442595673876875,0.46498876926580707,-0.2208501026175954,-0.7598567690489803,-0.2906470161396423,0,26.0,24.0,21,29,True,0.485,-0.3265771245647583,DIRECTION_FAIL
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,12,60,852,-0.0012562450066128088,-0.0017307812541048073,0.37089201877934275,0.5166676052534823,-0.17352857469687788,-0.6643979336423951,-0.2611816893311979,0,18.0,15.0,11,26,True,0.265,-0.28500336377737145,DIRECTION_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,12,60,833,-0.0011886359050811003,-0.00119928043174089,0.38535414165666265,0.5265147638501521,-0.16184710495240762,-0.6466889664296537,-0.2502703979100797,0,18.0,15.0,12,25,True,0.376,-0.27288286294108266,DIRECTION_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,12,60,874,-0.0012585699541088904,-0.0013753927320551695,0.35926773455377575,0.5059465497741598,-0.17802288339707817,-0.6740762840230647,-0.26409901611519504,0,19.0,15.0,12,28,True,0.2875,-0.2894579323103864,DIRECTION_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,12,60,907,-0.001112527539533737,-0.0013706895135270347,0.38257993384785005,0.5904102293727829,-0.16511154547879692,-0.6516444914932298,-0.25337672248321663,1,19.0,17.0,14,26,True,0.53,-0.2763503660705091,DIRECTION_FAIL
