ts_code,trade_date,close,pre_close,pct_chg,vol,amount
000006.SZ,2019-10-08,5.06,5.03,0.5964,42646.54,21595.134
000008.SZ,2019-10-08,3.43,3.43,0.0,254113.63,87314.657
000009.SZ,2019-10-08,4.59,4.41,4.0816,258604.22,118583.564
000012.SZ,2019-10-08,4.26,4.22,0.9479,52587.55,22447.128
000021.SZ,2019-10-08,10.97,11.13,-1.4376,331413.34,368778.821
000025.SZ,2019-10-08,20.56,20.29,1.3307,26668.4,54985.146
000027.SZ,2019-10-08,5.85,5.78,1.2111,38276.05,22374.892
000032.SZ,2019-10-08,11.22,11.37,-1.3193,31129.5,35528.943
000034.SZ,2019-10-08,15.8,15.84,-0.2525,91437.82,146312.696
000039.SZ,2019-10-08,10.12,10.18,-0.5894,97127.56,99125.472
000050.SZ,2019-10-08,14.07,13.82,1.809,186469.41,266762.784
000088.SZ,2019-10-08,5.88,5.87,0.1704,33524.6,19708.288
000006.SZ,2019-10-09,5.13,5.06,1.3834,55301.23,28240.403
000008.SZ,2019-10-09,3.43,3.43,0.0,259226.26,88348.409
000009.SZ,2019-10-09,4.62,4.59,0.6536,158597.67,72701.376
000012.SZ,2019-10-09,4.32,4.26,1.4085,61115.57,26262.158
000021.SZ,2019-10-09,11.24,10.97,2.4613,374672.79,418411.625
000025.SZ,2019-10-09,20.62,20.56,0.2918,25614.14,52502.254
000027.SZ,2019-10-09,5.86,5.85,0.1709,29745.47,17424.332
000032.SZ,2019-10-09,11.79,11.22,5.0802,58504.24,67690.118
000034.SZ,2019-10-09,15.97,15.8,1.0759,92411.03,145970.119
000039.SZ,2019-10-09,10.0,10.12,-1.1858,82366.11,82134.794
000050.SZ,2019-10-09,14.29,14.07,1.5636,152854.54,216735.473
000088.SZ,2019-10-09,5.92,5.88,0.6803,19592.93,11517.243
000006.SZ,2019-10-10,5.12,5.13,-0.1949,45179.3,23113.723
000008.SZ,2019-10-10,3.48,3.43,1.4577,262370.65,91027.818
000009.SZ,2019-10-10,4.64,4.62,0.4329,142085.53,65720.373
000012.SZ,2019-10-10,4.34,4.32,0.463,67681.86,29293.157
000021.SZ,2019-10-10,11.34,11.24,0.8897,427620.32,482747.098
000025.SZ,2019-10-10,20.79,20.62,0.8244,27924.0,57874.657
000027.SZ,2019-10-10,5.92,5.86,1.0239,36422.59,21518.428
000032.SZ,2019-10-10,11.81,11.79,0.1696,48403.87,57084.938
000034.SZ,2019-10-10,16.14,15.97,1.0645,113362.37,182845.053
000039.SZ,2019-10-10,10.03,10.0,0.3,53207.8,53190.088
000050.SZ,2019-10-10,14.34,14.29,0.3499,163862.83,234294.383
000088.SZ,2019-10-10,5.99,5.92,1.1824,40875.2,24382.558
000006.SZ,2019-10-11,5.15,5.12,0.5859,44224.66,22662.686
000008.SZ,2019-10-11,3.51,3.48,0.8621,257118.07,89482.591
000009.SZ,2019-10-11,4.65,4.64,0.2155,137272.21,63576.541
000012.SZ,2019-10-11,4.43,4.34,2.0737,121481.37,53534.738
000021.SZ,2019-10-11,11.09,11.34,-2.2046,486092.77,538909.455
000025.SZ,2019-10-11,20.88,20.79,0.4329,33744.83,70597.671
000027.SZ,2019-10-11,6.0,5.92,1.3514,59897.11,35819.987
000032.SZ,2019-10-11,11.77,11.81,-0.3387,37437.14,43882.912
000034.SZ,2019-10-11,15.95,16.14,-1.1772,108587.6,172685.099
000039.SZ,2019-10-11,10.2,10.03,1.6949,87472.88,88681.617
000050.SZ,2019-10-11,14.22,14.34,-0.8368,133553.22,190049.343
000088.SZ,2019-10-11,5.99,5.99,0.0,39527.28,23662.294
000006.SZ,2019-10-14,5.22,5.15,1.3592,63324.73,33039.547
000008.SZ,2019-10-14,3.58,3.51,1.9943,386196.3,137670.591
000009.SZ,2019-10-14,4.75,4.65,2.1505,232919.75,110463.838
000012.SZ,2019-10-14,4.54,4.43,2.4831,170423.67,77328.155
000021.SZ,2019-10-14,11.48,11.09,3.5167,645352.41,733951.258
000025.SZ,2019-10-14,21.29,20.88,1.9636,53186.93,113343.006
000027.SZ,2019-10-14,6.11,6.0,1.8333,102728.94,62693.99
000032.SZ,2019-10-14,12.0,11.77,1.9541,50686.23,60641.516
000034.SZ,2019-10-14,16.6,15.95,4.0752,158384.05,261801.021
000039.SZ,2019-10-14,10.43,10.2,2.2549,179124.14,187639.484
000050.SZ,2019-10-14,14.46,14.22,1.6878,164304.55,237625.583
000088.SZ,2019-10-14,6.07,5.99,1.3356,99713.5,61045.007
000006.SZ,2019-10-15,5.22,5.22,0.0,57875.3,30115.542
000008.SZ,2019-10-15,3.59,3.58,0.2793,394369.72,141556.099
000009.SZ,2019-10-15,4.76,4.75,0.2105,204045.35,97057.171
000012.SZ,2019-10-15,4.49,4.54,-1.1013,109830.9,49478.515
000021.SZ,2019-10-15,11.01,11.48,-4.0941,476734.7,527384.359
000025.SZ,2019-10-15,22.64,21.29,6.341,144103.06,323510.598
000027.SZ,2019-10-15,6.14,6.11,0.491,118993.2,73329.908
000032.SZ,2019-10-15,12.24,12.0,2.0,79645.07,96194.224
000034.SZ,2019-10-15,14.94,16.6,-10.0,293160.53,444948.367
000039.SZ,2019-10-15,10.3,10.43,-1.2464,85309.95,88200.681
000050.SZ,2019-10-15,14.05,14.46,-2.8354,146090.63,206292.992
000088.SZ,2019-10-15,6.25,6.07,2.9654,197269.52,122467.701
000006.SZ,2019-10-16,5.19,5.22,-0.5747,93380.29,48724.141
000008.SZ,2019-10-16,3.56,3.59,-0.8357,289510.4,103429.782
000009.SZ,2019-10-16,4.77,4.76,0.2101,235216.45,112976.602
000012.SZ,2019-10-16,4.5,4.49,0.2227,78022.85,35385.377
000021.SZ,2019-10-16,10.87,11.01,-1.2716,276632.75,303001.282
000025.SZ,2019-10-16,21.88,22.64,-3.3569,97223.23,215870.207
000027.SZ,2019-10-16,6.18,6.14,0.6515,99992.85,62059.526
000032.SZ,2019-10-16,12.42,12.24,1.4706,58066.2,71566.257
000034.SZ,2019-10-16,15.45,14.94,3.4137,228206.34,353053.675
000039.SZ,2019-10-16,9.86,10.3,-4.2718,197119.74,194334.743
000050.SZ,2019-10-16,14.04,14.05,-0.0712,104128.93,146670.231
000088.SZ,2019-10-16,6.11,6.25,-2.24,98648.27,60524.081
000006.SZ,2019-10-17,5.16,5.19,-0.578,31862.95,16494.527
000008.SZ,2019-10-17,3.59,3.56,0.8427,248367.34,88380.984
000009.SZ,2019-10-17,4.72,4.77,-1.0482,135358.27,64148.659
000012.SZ,2019-10-17,4.47,4.5,-0.6667,67265.09,30130.492
000021.SZ,2019-10-17,10.82,10.87,-0.46,235340.06,254884.721
000025.SZ,2019-10-17,21.42,21.88,-2.1024,55841.27,120889.41
000027.SZ,2019-10-17,6.16,6.18,-0.3236,67346.59,41416.011
000032.SZ,2019-10-17,12.92,12.42,4.0258,99618.08,127876.903
000034.SZ,2019-10-17,15.59,15.45,0.9061,109107.75,171673.084
000039.SZ,2019-10-17,9.84,9.86,-0.2028,53840.2,53099.154
000050.SZ,2019-10-17,13.95,14.04,-0.641,102388.15,143121.318
000088.SZ,2019-10-17,6.11,6.11,0.0,42720.68,26187.867
000006.SZ,2019-10-18,5.06,5.16,-1.938,52872.92,26966.216
000008.SZ,2019-10-18,3.54,3.59,-1.3928,215458.81,76652.36
000009.SZ,2019-10-18,4.65,4.72,-1.4831,145649.36,68413.362
000012.SZ,2019-10-18,4.45,4.47,-0.4474,155020.43,70094.352
000021.SZ,2019-10-18,10.41,10.82,-3.7893,412683.11,439768.511
000025.SZ,2019-10-18,22.1,21.42,3.1746,124114.98,274077.933
000027.SZ,2019-10-18,6.12,6.16,-0.6494,68989.13,42456.965
000032.SZ,2019-10-18,12.61,12.92,-2.3994,69790.67,89022.765
000034.SZ,2019-10-18,15.32,15.59,-1.7319,78249.54,120519.504
000039.SZ,2019-10-18,9.82,9.84,-0.2033,45533.62,44812.743
000050.SZ,2019-10-18,13.64,13.95,-2.2222,138521.56,190691.909
000088.SZ,2019-10-18,5.96,6.11,-2.455,69012.2,41605.777
000006.SZ,2019-10-21,5.07,5.06,0.1976,41958.38,21219.338
000008.SZ,2019-10-21,3.55,3.54,0.2825,227450.71,80151.945
000009.SZ,2019-10-21,4.6,4.65,-1.0753,109002.85,50074.728
000012.SZ,2019-10-21,4.43,4.45,-0.4494,79691.07,35276.14
000021.SZ,2019-10-21,10.55,10.41,1.3449,299397.6,311462.973
000025.SZ,2019-10-21,22.2,22.1,0.4525,84041.2,185389.17
000027.SZ,2019-10-21,6.18,6.12,0.9804,62681.07,38373.92
000032.SZ,2019-10-21,12.73,12.61,0.9516,49890.2,62621.565
000034.SZ,2019-10-21,15.04,15.32,-1.8277,99493.4,148208.345
000039.SZ,2019-10-21,9.75,9.82,-0.7128,33500.17,32627.932
000050.SZ,2019-10-21,13.73,13.64,0.6598,81656.87,111305.888
000088.SZ,2019-10-21,5.9,5.96,-1.0067,63307.53,36863.956
000006.SZ,2019-10-22,5.11,5.07,0.789,33220.02,16879.552
000008.SZ,2019-10-22,3.59,3.55,1.1268,224326.1,80314.494
000009.SZ,2019-10-22,4.64,4.6,0.8696,113509.81,52399.665
000012.SZ,2019-10-22,4.58,4.43,3.386,185469.5,84717.614
000021.SZ,2019-10-22,10.64,10.55,0.8531,239404.28,253755.994
000025.SZ,2019-10-22,22.1,22.2,-0.4505,61626.5,136621.538
000027.SZ,2019-10-22,6.17,6.18,-0.1618,62562.4,38600.161
000032.SZ,2019-10-22,12.9,12.73,1.3354,44551.78,57277.356
000034.SZ,2019-10-22,15.17,15.04,0.8644,114920.76,173299.809
000039.SZ,2019-10-22,9.82,9.75,0.7179,28257.4,27659.619
000050.SZ,2019-10-22,13.91,13.73,1.311,100148.24,138730.664
000088.SZ,2019-10-22,5.88,5.9,-0.339,35162.57,20656.642
000006.SZ,2019-10-23,5.09,5.11,-0.3914,45777.0,23249.277
000008.SZ,2019-10-23,3.52,3.59,-1.9499,310228.43,109625.963
000009.SZ,2019-10-23,4.66,4.64,0.431,138176.9,64666.862
000012.SZ,2019-10-23,4.51,4.58,-1.5284,106641.07,48374.879
000021.SZ,2019-10-23,10.49,10.64,-1.4098,291455.99,308455.584
000025.SZ,2019-10-23,21.43,22.1,-3.0317,64514.0,139986.914
000027.SZ,2019-10-23,6.1,6.17,-1.1345,57125.65,35012.241
000032.SZ,2019-10-23,12.82,12.9,-0.6202,38122.98,49073.025
000034.SZ,2019-10-23,14.82,15.17,-2.3072,176151.31,265052.483
000039.SZ,2019-10-23,9.78,9.82,-0.4073,28202.61,27587.33
000050.SZ,2019-10-23,13.94,13.91,0.2157,124399.74,173217.721
000088.SZ,2019-10-23,5.82,5.88,-1.0204,22199.84,13000.607
