mechanism,signal_date,event_date,signal_clock,execution_clock,net_financing_flow,net_financing_flow_rate,prior_lower_quintile
MARGIN_DELEVERAGING_REVERSAL,2021-04-16,2021-04-19,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-16468250.0,-0.018988796183045168,-0.018559445083704346
MARGIN_DELEVERAGING_REVERSAL,2021-04-23,2021-04-26,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-19632958.0,-0.02354955242878132,-0.019137196530641717
MARGIN_DELEVERAGING_REVERSAL,2021-04-28,2021-04-29,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-20662847.0,-0.026187432934920415,-0.019013765865560806
MARGIN_DELEVERAGING_REVERSAL,2021-05-11,2021-05-12,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-19983162.0,-0.02642032201852871,-0.01888520666688238
MARGIN_DELEVERAGING_REVERSAL,2021-05-19,2021-05-20,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-24837100.0,-0.032457227425149296,-0.019013765865560806
MARGIN_DELEVERAGING_REVERSAL,2021-06-08,2021-06-09,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-18565638.0,-0.02319095138536065,-0.01888520666688238
MARGIN_DELEVERAGING_REVERSAL,2021-06-18,2021-06-21,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-15908982.0,-0.02021935538181907,-0.016863093301973386
MARGIN_DELEVERAGING_REVERSAL,2021-06-22,2021-06-23,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-16722475.0,-0.021111053646429283,-0.017323289622707006
MARGIN_DELEVERAGING_REVERSAL,2021-07-01,2021-07-02,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-40352638.0,-0.05033827140325645,-0.017323289622707006
MARGIN_DELEVERAGING_REVERSAL,2021-07-13,2021-07-14,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-14954738.0,-0.018725053656451256,-0.015401371280908549
MARGIN_DELEVERAGING_REVERSAL,2021-07-29,2021-07-30,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-28477559.0,-0.033524697596788194,-0.012002891697493787
MARGIN_DELEVERAGING_REVERSAL,2021-08-02,2021-08-03,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-16146228.0,-0.01959711907046504,-0.012002891697493787
MARGIN_DELEVERAGING_REVERSAL,2021-08-06,2021-08-09,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-25209989.0,-0.028525266565168118,-0.012002891697493787
MARGIN_DELEVERAGING_REVERSAL,2021-08-24,2021-08-25,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-30932174.0,-0.0283745255888934,-0.010461547728467814
MARGIN_DELEVERAGING_REVERSAL,2021-08-25,2021-08-26,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-18198807.0,-0.017181544095223367,-0.012002891697493787
MARGIN_DELEVERAGING_REVERSAL,2021-09-17,2021-09-22,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-38206323.0,-0.031619832729602344,-0.007247687388894519
MARGIN_DELEVERAGING_REVERSAL,2021-09-28,2021-09-29,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-59284200.0,-0.047357030528589486,-0.007247687388894519
MARGIN_DELEVERAGING_REVERSAL,2021-09-30,2021-10-08,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-45168059.0,-0.03680643116510539,-0.007247687388894519
MARGIN_DELEVERAGING_REVERSAL,2021-10-11,2021-10-12,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-18867365.0,-0.015824506356894575,-0.007907532841109255
MARGIN_DELEVERAGING_REVERSAL,2021-10-14,2021-10-15,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-35367273.0,-0.02931104142037371,-0.009106770607987532
MARGIN_DELEVERAGING_REVERSAL,2021-10-18,2021-10-19,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-32246567.0,-0.02636473999059389,-0.007907532841109255
