mechanism,signal_date,event_date,signal_clock,execution_clock,announcement_date,premium_rate,prior_60_premium_q20
ETF_DISCOUNT_REVERSAL,2021-04-06,2021-04-08,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-04-07,-0.001947488876569,-0.00131102398580202
ETF_DISCOUNT_REVERSAL,2021-04-22,2021-04-26,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-04-23,-0.0012863174967142,-0.00121634299785512
ETF_DISCOUNT_REVERSAL,2021-05-06,2021-05-10,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-05-07,-0.0024148555250229,-0.00119300170480728
ETF_DISCOUNT_REVERSAL,2021-05-10,2021-05-12,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-05-11,-0.0016687526074259,-0.00119300170480728
ETF_DISCOUNT_REVERSAL,2021-05-11,2021-05-13,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-05-12,-0.0015620205851999,-0.00119300170480728
ETF_DISCOUNT_REVERSAL,2021-05-18,2021-05-20,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-05-19,-0.001281457043924,-0.00119300170480728
ETF_DISCOUNT_REVERSAL,2021-05-27,2021-05-31,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-05-28,-0.0014246162943848,-0.00119300170480728
ETF_DISCOUNT_REVERSAL,2021-05-31,2021-06-02,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-06-01,-0.0016285775309696,-0.00121634299785512
ETF_DISCOUNT_REVERSAL,2021-06-01,2021-06-03,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-06-02,-0.0017457123439187,-0.0012620344300139199
ETF_DISCOUNT_REVERSAL,2021-06-09,2021-06-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-06-10,-0.0013804564888155,-0.00128172207755652
ETF_DISCOUNT_REVERSAL,2021-06-28,2021-06-30,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-06-29,-0.0015594490820217,-0.0012620344300139199
ETF_DISCOUNT_REVERSAL,2021-07-05,2021-07-07,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-07-06,-0.0015721175624183,-0.0012211986513326401
ETF_DISCOUNT_REVERSAL,2021-07-06,2021-07-08,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-07-07,-0.0013993469714133,-0.0012211986513326401
ETF_DISCOUNT_REVERSAL,2021-07-07,2021-07-09,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-07-08,-0.0012944470861732,-0.00128242913448204
ETF_DISCOUNT_REVERSAL,2021-07-12,2021-07-14,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-07-13,-0.0013577293592811,-0.001287943414606
ETF_DISCOUNT_REVERSAL,2021-06-30,2021-07-22,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-07-21,-0.001603111613361,-0.0012620344300139199
ETF_DISCOUNT_REVERSAL,2021-07-22,2021-07-26,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-07-23,-0.0016742345450393,-0.00130710354079478
ETF_DISCOUNT_REVERSAL,2021-07-29,2021-08-02,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-07-30,-0.0016996271360624,-0.00136227478518798
ETF_DISCOUNT_REVERSAL,2021-08-02,2021-08-04,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-08-03,-0.0016457812277269,-0.00136227478518798
ETF_DISCOUNT_REVERSAL,2021-08-04,2021-08-06,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-08-05,-0.0025056215868936,-0.00136227478518798
ETF_DISCOUNT_REVERSAL,2021-08-09,2021-08-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-08-10,-0.0019524520500746,-0.00136227478518798
ETF_DISCOUNT_REVERSAL,2021-08-18,2021-08-20,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-08-19,-0.0014365973166413,-0.00138423458533506
ETF_DISCOUNT_REVERSAL,2021-09-06,2021-09-08,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-09-07,-0.0012714173276019,-0.00127076908291736
ETF_DISCOUNT_REVERSAL,2021-10-11,2021-10-13,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-12,-0.0017952870576124,-0.00105769059546616
ETF_DISCOUNT_REVERSAL,2021-10-12,2021-10-14,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-13,-0.0014342058085334,-0.0010974172763342199
ETF_DISCOUNT_REVERSAL,2021-10-13,2021-10-15,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-14,-0.0013896148599548,-0.0012162755758414
ETF_DISCOUNT_REVERSAL,2021-10-14,2021-10-18,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-15,-0.0015620436102256,-0.0012162755758414
ETF_DISCOUNT_REVERSAL,2021-10-18,2021-10-20,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-19,-0.0017883680511825,-0.0012661631312030999
ETF_DISCOUNT_REVERSAL,2021-10-19,2021-10-21,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-20,-0.0014251068830161,-0.00128781733785784
ETF_DISCOUNT_REVERSAL,2021-10-20,2021-10-22,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-21,-0.0014631035302061,-0.0013606568750962398
ETF_DISCOUNT_REVERSAL,2021-10-25,2021-10-27,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-26,-0.0014410124678904,-0.00139671326456706
