split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
0,"(0, 1, 2, 3, 4)","(5, 6, 7, 8, 9)",20260910_S003_EX07:M05,4.99198102962168,5.092864481310781,1,142,1.0,5.645446897643239
1,"(0, 1, 2, 3, 5)","(4, 6, 7, 8, 9)",20260910_S003_EX07:M05,5.131193267535568,4.8426023242453295,1,142,1.0,5.645446897643239
2,"(0, 1, 2, 3, 6)","(4, 5, 7, 8, 9)",20260910_S003_EX07:M05,4.822298844703256,5.1197631436211095,1,142,1.0,5.645446897643239
3,"(0, 1, 2, 3, 7)","(4, 5, 6, 8, 9)",20260910_S003_EX07:M05,4.660258042062006,5.279482626041764,1,142,1.0,5.645446897643239
4,"(0, 1, 2, 3, 8)","(4, 5, 6, 7, 9)",20260910_S003_EX07:M05,5.1637830587512505,4.840400072888032,1,142,1.0,5.645446897643239
5,"(0, 1, 2, 3, 9)","(4, 5, 6, 7, 8)",20260910_S003_EX07:M05,5.00557257179324,4.915541743814965,1,142,1.0,5.645446897643239
6,"(0, 1, 2, 4, 5)","(3, 6, 7, 8, 9)",20260910_S003_EX07:M05,5.254243650852081,4.712015293207209,1,142,1.0,5.645446897643239
7,"(0, 1, 2, 4, 6)","(3, 5, 7, 8, 9)",20260910_S003_EX07:M05,4.951046505757511,4.99326412463695,1,142,1.0,5.645446897643239
8,"(0, 1, 2, 4, 7)","(3, 5, 6, 8, 9)",20260910_S003_EX07:M05,4.791467592249729,5.155443875493252,1,142,1.0,5.645446897643239
9,"(0, 1, 2, 4, 8)","(3, 5, 6, 7, 9)",20260910_S003_EX07:M05,5.285250091280894,4.710222333390575,1,142,1.0,5.645446897643239
10,"(0, 1, 2, 4, 9)","(3, 5, 6, 7, 8)",20260910_S003_EX07:M05,5.132104002795629,4.78523333103574,1,142,1.0,5.645446897643239
