feature,type,p_value,relevant
w20__tsfresh__log_amount_change__minimum,real,1.1622585746735069e-07,True
w20__tsfresh__log_volume_change__minimum,real,3.511602704262115e-07,True
w60__tsfresh__range_pct__minimum,real,7.956029093867919e-05,True
w60__tsfresh__return_1d__absolute_maximum,real,8.164770730723802e-05,True
w10__tsfresh__log_amount_change__minimum,real,0.00010825890518919543,True
w10__tsfresh__log_volume_change__minimum,real,0.00045029415060688743,False
w60__tsfresh__range_pct__root_mean_square,real,0.0009010462868223654,False
w60__tsfresh__return_1d__maximum,real,0.0009823258532627467,False
w60__tsfresh__intraday_return__maximum,real,0.0010412306623164658,False
w60__tsfresh__return_1d__root_mean_square,real,0.0010690143144229589,False
w60__tsfresh__return_1d__standard_deviation,real,0.0011417365430332024,False
w60__tsfresh__return_1d__variance,real,0.0011417365430332024,False
w10__tsfresh__range_pct__standard_deviation,real,0.0012080414305720103,False
w10__tsfresh__range_pct__variance,real,0.0012080414305720103,False
w60__tsfresh__range_pct__mean,real,0.001485821442898792,False
w60__tsfresh__range_pct__sum_values,real,0.001485821442898792,False
w10__tsfresh__return_1d__minimum,real,0.0014876853801973464,False
w10__tsfresh__range_pct__minimum,real,0.0016167997820385755,False
w10__tsfresh__range_pct__root_mean_square,real,0.0018573173028245608,False
w10__tsfresh__range_pct__absolute_maximum,real,0.00265058733736739,False
w10__tsfresh__log_volume_change__mean,real,0.0026838202424287615,False
w10__tsfresh__log_volume_change__sum_values,real,0.0026838202424287615,False
w10__tsfresh__range_pct__mean,real,0.002736777250347058,False
w10__tsfresh__range_pct__sum_values,real,0.002736777250347058,False
w60__tsfresh__range_pct__median,real,0.003288814641261493,False
w10__tsfresh__log_amount_change__mean,real,0.003601425434250846,False
w10__tsfresh__log_amount_change__sum_values,real,0.003601425434250846,False
w60__tsfresh__range_pct__standard_deviation,real,0.0038685171987552338,False
w60__tsfresh__range_pct__variance,real,0.0038685171987552338,False
w20__tsfresh__return_1d__minimum,real,0.005025971773825686,False
w20__tsfresh__return_1d__absolute_maximum,real,0.005603592411873457,False
w60__tsfresh__return_1d__minimum,real,0.008277854099154925,False
w20__tsfresh__intraday_return__minimum,real,0.008973991126000535,False
w60__tsfresh__log_amount_change__standard_deviation,real,0.00912113394831225,False
w60__tsfresh__log_amount_change__variance,real,0.00912113394831225,False
w60__tsfresh__log_amount_change__root_mean_square,real,0.009211412498651837,False
w60__tsfresh__log_volume_change__root_mean_square,real,0.010762234808276273,False
w60__tsfresh__log_volume_change__standard_deviation,real,0.01076836322246512,False
w60__tsfresh__log_volume_change__variance,real,0.01076836322246512,False
w60__tsfresh__intraday_return__root_mean_square,real,0.011703698224540655,False
w10__tsfresh__range_pct__median,real,0.012359211907928637,False
w60__tsfresh__range_pct__absolute_maximum,real,0.013554107891694573,False
w60__tsfresh__intraday_return__standard_deviation,real,0.01437612641406094,False
w60__tsfresh__intraday_return__variance,real,0.01437612641406094,False
w10__tsfresh__return_1d__root_mean_square,real,0.018235436747498706,False
w10__tsfresh__return_1d__mean,real,0.021681127080617323,False
w10__tsfresh__return_1d__sum_values,real,0.021681127080617323,False
w10__tsfresh__return_1d__absolute_maximum,real,0.02205882270212718,False
w10__tsfresh__intraday_return__minimum,real,0.023105019461085424,False
w20__tsfresh__range_pct__standard_deviation,real,0.02499163430220695,False
w20__tsfresh__range_pct__variance,real,0.02499163430220695,False
w20__tsfresh__return_1d__root_mean_square,real,0.02821384333418707,False
w20__tsfresh__log_amount_change__absolute_maximum,real,0.028360223185077738,False
w20__tsfresh__log_amount_change__standard_deviation,real,0.02844276038263879,False
w20__tsfresh__log_amount_change__variance,real,0.02844276038263879,False
w20__tsfresh__log_amount_change__root_mean_square,real,0.030000122427786543,False
w20__tsfresh__log_volume_change__standard_deviation,real,0.030165856541366387,False
w20__tsfresh__log_volume_change__variance,real,0.030165856541366387,False
w20__tsfresh__log_volume_change__root_mean_square,real,0.03175627554775199,False
w20__tsfresh__log_volume_change__absolute_maximum,real,0.031776826696239636,False
w20__tsfresh__log_volume_change__mean,real,0.037001634158611185,False
w20__tsfresh__log_volume_change__sum_values,real,0.037001634158611185,False
w60__tsfresh__intraday_return__absolute_maximum,real,0.04475396701262692,False
w20__tsfresh__range_pct__absolute_maximum,real,0.04577820054390539,False
w20__tsfresh__log_amount_change__mean,real,0.04986534680985237,False
w20__tsfresh__log_amount_change__sum_values,real,0.04986534680985237,False
w10__tsfresh__intraday_return__absolute_maximum,real,0.0510716067460847,False
w60__tsfresh__log_volume_change__median,real,0.051446104252443926,False
w10__tsfresh__return_1d__standard_deviation,real,0.05193726830152774,False
w10__tsfresh__return_1d__variance,real,0.05193726830152774,False
w20__tsfresh__return_1d__standard_deviation,real,0.05530590628030244,False
w20__tsfresh__return_1d__variance,real,0.05530590628030244,False
w20__tsfresh__range_pct__root_mean_square,real,0.05774719421987954,False
w20__tsfresh__range_pct__minimum,real,0.05796148802160218,False
w20__tsfresh__range_pct__mean,real,0.06120499314830842,False
w20__tsfresh__range_pct__sum_values,real,0.06120499314830842,False
w10__tsfresh__intraday_return__root_mean_square,real,0.08809950283605694,False
w20__tsfresh__return_1d__median,real,0.08896761855330175,False
w60__tsfresh__intraday_return__minimum,real,0.09212464168397458,False
w60__tsfresh__log_amount_change__absolute_maximum,real,0.10609682293930538,False
w60__tsfresh__log_amount_change__median,real,0.11618856143349957,False
w60__tsfresh__log_volume_change__absolute_maximum,real,0.12127998534120915,False
w20__tsfresh__intraday_return__absolute_maximum,real,0.15364170350548542,False
