factor,weight,active
raw__30m__cxt_bi_status_V230101,0.05947026720107207,True
raw__30m__cxt_third_buy_V230228__di_1,0.05961894286907474,True
raw__daily__cxt_bi_status_V230101,0.04757621376085766,True
raw__daily__cxt_five_bi_V230619__di_1,0.05976947698292745,True
raw__daily__cxt_seven_bi_V230620__di_1,0.04757621376085766,True
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08370999965363216,True
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07136432064128648,True
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07136432064128648,True
raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07136432064128648,True
raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.19030485504343064,True
raw__daily__pressure_support_V240406__di_1__w_20,0.19030485504343064,True
raw__weekly__cxt_bi_status_V230101,0.04757621376085766,True
state__raw__30m__cxt_bi_status_V230101::向上,0.0,False
state__raw__30m__cxt_bi_status_V230101::向下,0.0,False
state__raw__30m__cxt_third_buy_V230228__di_1::三买,0.0,False
state__raw__30m__cxt_third_buy_V230228__di_1::其他,0.0,False
state__raw__daily__bar_accelerate_V221110__di_1::上涨,0.0,False
state__raw__daily__bar_trend_V240209__di_1::其他,0.0,False
state__raw__daily__bar_trend_V240209__di_1::多头,0.0,False
state__raw__daily__bar_trend_V240209__di_1::空头,0.0,False
state__raw__daily__bar_zdf_V221203__di_1::满足,0.0,False
state__raw__daily__cxt_bi_base_V230228__di_1::向上,0.0,False
state__raw__daily__cxt_bi_base_V230228__di_1::向下,0.0,False
state__raw__daily__cxt_bi_end_V230222__di_1::其他,0.0,False
state__raw__daily__cxt_bi_end_V230222__di_1::新低,0.0,False
state__raw__daily__cxt_bi_end_V230222__di_1::新高,0.0,False
state__raw__daily__cxt_bi_status_V230101::向上,0.0,False
state__raw__daily__cxt_bi_status_V230101::向下,0.0,False
state__raw__daily__cxt_first_buy_V221126__di_1::一买,0.0,False
state__raw__daily__cxt_first_sell_V221126__di_1::一卖,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::aAb式底背驰,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::aAb式顶背驰,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::上颈线突破,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::下颈线突破,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::其他,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::类三买,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::类三卖,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::类趋势底背驰,0.0,False
state__raw__daily__cxt_five_bi_V230619__di_1::类趋势顶背驰,0.0,False
state__raw__daily__cxt_fx_power_V221107__di_1::中底,0.0,False
state__raw__daily__cxt_fx_power_V221107__di_1::中顶,0.0,False
state__raw__daily__cxt_fx_power_V221107__di_1::弱底,0.0,False
state__raw__daily__cxt_fx_power_V221107__di_1::弱顶,0.0,False
state__raw__daily__cxt_fx_power_V221107__di_1::强底,0.0,False
state__raw__daily__cxt_fx_power_V221107__di_1::强顶,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式底背驰,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式顶背驰,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::aAb式底背驰,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::aAb式顶背驰,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::abcAd式底背驰,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::abcAd式顶背驰,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::其他,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::向下中枢完成,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::类三买,0.0,False
state__raw__daily__cxt_seven_bi_V230620__di_1::类三卖,0.0,False
state__raw__daily__pressure_support_V240406__di_1__w_20::其他,0.0,False
state__raw__daily__pressure_support_V240406__di_1__w_20::压力位,0.0,False
state__raw__daily__pressure_support_V240406__di_1__w_20::支撑位,0.0,False
state__raw__daily__tas_atr_break_V230424__di_1::看多,0.0,False
state__raw__daily__tas_atr_break_V230424__di_1::看空,0.0,False
state__raw__daily__tas_boll_power_V221112__di_1::多头,0.0,False
state__raw__daily__tas_boll_power_V221112__di_1::空头,0.0,False
state__raw__daily__tas_kdj_base_V221101__di_1::多头,0.0,False
state__raw__daily__tas_kdj_base_V221101__di_1::空头,0.0,False
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::多头,0.0,False
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::空头,0.0,False
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::多头,0.0,False
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::空头,0.0,False
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::多头,0.0,False
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::空头,0.0,False
state__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::多头,0.0,False
state__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::空头,0.0,False
state__raw__daily__tas_macd_power_V221108__di_1::弱势,0.0,False
state__raw__daily__tas_macd_power_V221108__di_1::强势,0.0,False
state__raw__daily__tas_macd_power_V221108__di_1::超弱,0.0,False
state__raw__daily__tas_macd_power_V221108__di_1::超强,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N10,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N3,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N4,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N5,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N6,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N7,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N8,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N9,0.0,False
state__raw__weekly__cxt_bi_status_V230101::其他,0.0,False
state__raw__weekly__cxt_bi_status_V230101::向上,0.0,False
state__raw__weekly__cxt_bi_status_V230101::向下,0.0,False
interaction__bi_all_bull,0.0,False
interaction__bi_all_bear,0.0,False
interaction__trend_all_bull,0.0,False
interaction__trend_all_bear,0.0,False
