variant_id,family,enter_threshold,exit_threshold,position_disagreement_rate,median_return_delta,min_return_delta,mean_return_delta,median_sharpe_delta,2021H1_return_delta,2021H2_return_delta,2022H1_return_delta,2022H2_return_delta,2023H1_return_delta,2023H2_return_delta,2024H1_return_delta,2024H2_return_delta,2025H1_return_delta,2025H2_return_delta
weight::raw__30m__cxt_bi_status_V230101::+0.0125,weight,0.175,0.025,0.03210272873194221,-0.002391076183243135,-0.04829328736126781,-0.005778125168324821,-0.021001838179844523,0.007387416565385108,0.0031124116636483956,-0.018299624529092506,-0.02691804694711486,0.021878530863102874,0.018026054504608036,-0.04829328736126781,-0.04492128893869407,-0.007894564030134665,0.03814114652631129
weight::raw__30m__cxt_bi_status_V230101::-0.0125,weight,0.175,0.025,0.021669341894060994,0.0034151085776071843,-0.007979321417066698,0.015616344063639797,0.07037569116365405,0.054235116484578905,0.014608675131926874,0.0,0.0,0.03819264789124133,0.005456416733619074,-0.007979321417066698,0.0,0.0502761053905032,0.0013738004215952948
weight::raw__30m__cxt_third_buy_V230228__di_1::+0.0125,weight,0.175,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight::raw__30m__cxt_third_buy_V230228__di_1::-0.0125,weight,0.175,0.025,0.0040128410914927765,0.0,-0.037569417051340315,-0.0015612396198426358,0.0,0.0,0.0031124116636483956,0.0,0.0,0.01884460918926556,0.0,0.0,0.0,0.0,-0.037569417051340315
weight::raw__daily__cxt_bi_status_V230101::+0.0125,weight,0.175,0.025,0.024077046548956663,0.008253635145175187,-0.04513406443018342,0.010095487698679084,0.14087704238845367,0.054235116484578905,0.016507270290350373,0.0,0.0,0.026263561405703628,0.02814793600161558,0.0,0.0,0.020935057234725774,-0.04513406443018342
weight::raw__daily__cxt_bi_status_V230101::-0.0125,weight,0.175,0.025,0.027287319422150885,-0.0034066578709274764,-0.05587443090845401,-0.000512466930028288,-0.025208036390499344,0.007387416565385108,-0.006921358328585092,-0.018299624529092506,0.0,0.03275249637693167,-0.004426095944202069,-0.05587443090845401,-0.04492128893869407,-0.002387219797652884,0.08756543620408097
weight::raw__daily__cxt_five_bi_V230619__di_1::+0.0125,weight,0.175,0.025,0.0016051364365971107,0.0,-0.02200823019099185,-0.0020634429769396554,0.0,0.0,0.0,-0.02200823019099185,0.0,0.0,0.0,0.0,0.0,0.0,0.0013738004215952948
weight::raw__daily__cxt_five_bi_V230619__di_1::-0.0125,weight,0.175,0.025,0.004815409309791332,0.0,-0.007777444089412278,0.0036461739270632564,0.0,0.0,0.0,0.0,0.0,0.0,0.022559356924967577,0.0,0.0,0.021679826435077265,-0.007777444089412278
weight::raw__daily__cxt_seven_bi_V230620__di_1::+0.0125,weight,0.175,0.025,0.00882825040128411,0.0,-0.016025091587949514,0.007206087082246892,0.0,0.0,0.0,0.0,0.0,0.0020031287608901494,-0.016025091587949514,-0.007979321417066698,0.0,0.0,0.09406215506659499
weight::raw__daily__cxt_seven_bi_V230620__di_1::-0.0125,weight,0.175,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight::raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::+0.0125,weight,0.175,0.025,0.03210272873194221,-0.0025355216261821467,-0.04829328736126781,-0.007491440343746369,-0.05543648819107516,0.007387416565385108,-0.005071043252364293,-0.03992293711386341,0.0,0.02088476075799206,0.018026054504608036,-0.04829328736126781,-0.04492128893869407,-0.02255718577380561,0.0395531071745463
weight::raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::-0.0125,weight,0.175,0.025,0.02086677367576244,0.002728208366809537,-0.007979321417066698,0.015478964021480269,0.06604723904877485,0.054235116484578905,0.014608675131926874,0.0,0.0,0.03819264789124133,0.005456416733619074,-0.007979321417066698,0.0,0.0502761053905032,0.0
weight::raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::+0.0125,weight,0.175,0.025,0.02969502407704655,-0.004076478784249993,-0.05101441626909531,-0.010768705226644503,-0.08689009325460106,0.0,-0.008152957568499986,-0.03992293711386341,0.0,0.019836430725542975,0.03464727905462284,-0.04829328736126781,-0.04492128893869407,0.030134125204809736,-0.05101441626909531
weight::raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::-0.0125,weight,0.175,0.025,0.027287319422150885,0.008887866356263985,-0.01066255668166094,0.022780261631471167,0.2001765262384403,0.06195835420466711,0.01777573271252797,0.0,0.0,0.04027081132382282,-0.01066255668166094,-0.007979321417066698,0.0,0.03237744110582641,0.09406215506659499
weight::raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::+0.0125,weight,0.175,0.025,0.016051364365971106,0.007497462079453232,-0.02691804694711486,0.012079406767198542,0.09884419900351976,0.06195835420466711,0.016507270290350373,0.0,-0.02691804694711486,0.03169220904020875,0.022559356924967577,0.0,0.0,0.01362112373731117,0.0013738004215952948
weight::raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::-0.0125,weight,0.175,0.025,0.040930979133226325,0.0,-0.05587443090845401,-0.000936923414633406,0.0,0.0,-0.006921358328585092,-0.018299624529092506,0.0,0.02831828851905982,0.0010043908299589566,-0.05587443090845401,-0.04492128893869407,0.049183642683161555,0.03814114652631129
weight::raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::+0.0125,weight,0.175,0.025,0.019261637239165328,0.0,-0.043805420651339855,0.003030608762261744,0.0,0.007387416565385108,0.0031124116636483956,-0.02200823019099185,0.0,0.0634651064481726,0.0,-0.007979321417066698,0.0,0.030134125204809736,-0.043805420651339855
weight::raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::-0.0125,weight,0.175,0.025,0.03531300160513644,0.007304337565963437,-0.04829328736126781,0.009697706316633404,0.1699653084298116,0.054235116484578905,0.014608675131926874,-0.018299624529092506,0.0,-0.002423531508424448,0.02358807556049658,-0.04829328736126781,-0.04492128893869407,0.03237744110582641,0.0861054872209841
weight::raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::+0.0125,weight,0.175,0.025,0.038523274478330656,0.007806532980942915,-0.05587443090845401,0.011650870388593804,0.22271948304540123,0.054235116484578905,0.014608675131926874,-0.018299624529092506,0.0,0.04027081132382282,0.0010043908299589566,-0.05587443090845401,-0.04492128893869407,0.03237744110582641,0.09310761338606466
weight::raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::-0.0125,weight,0.175,0.025,0.008025682182985553,0.0,-0.04513406443018342,0.0017949728119126985,0.0,0.0,0.0,0.0,0.0,0.01884460918926556,0.022559356924967577,0.0,0.0,0.021679826435077265,-0.04513406443018342
weight::raw__daily__pressure_support_V240406__di_1__w_20::+0.0125,weight,0.175,0.025,0.013643659711075442,0.0,-0.009996377060585648,0.001427782591665261,0.0,0.0,-0.009996377060585648,0.0,0.0,0.007284319845748177,0.005456416733619074,0.0,0.0,0.011533466397871006,0.0
weight::raw__daily__pressure_support_V240406__di_1__w_20::-0.0125,weight,0.175,0.025,0.002407704654895666,0.0,-0.02255718577380561,-0.0021183385352210315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02255718577380561,0.0013738004215952948
weight::raw__weekly__cxt_bi_status_V230101::+0.0125,weight,0.175,0.025,0.016051364365971106,0.0,-0.018051383902113916,0.004739976066282392,0.0,0.0,-0.018051383902113916,0.0,0.0,0.0020031287608901494,-0.016025091587949514,-0.007979321417066698,0.0,-0.00660972625753109,0.09406215506659499
weight::raw__weekly__cxt_bi_status_V230101::-0.0125,weight,0.175,0.025,0.03130016051364366,0.0,-0.05101441626909531,-0.005991514747342696,0.0,0.0,0.0,-0.018299624529092506,0.0,0.05774315232363292,0.04030667433921131,-0.04829328736126781,-0.04492128893869407,0.0045636429618785,-0.05101441626909531
enter::0.1500,enter,0.15,0.025,0.027287319422150885,-0.0022130479721010343,-0.04829328736126781,-0.003442384292749534,-0.028759980921258088,0.0015640026061849444,0.0,-0.01567492243768598,0.0,0.013779447700991154,-0.004426095944202069,-0.04829328736126781,-0.04492128893869407,-0.02255718577380561,0.0861054872209841
enter::0.1625,enter,0.1625,0.025,0.023274478330658106,-0.0022130479721010343,-0.04829328736126781,-0.0031225131059701705,-0.010104036203525957,0.007387416565385108,0.0,-0.018299624529092506,0.0,0.013779447700991154,-0.004426095944202069,-0.04829328736126781,-0.04492128893869407,-0.02255718577380561,0.0861054872209841
enter::0.1875,enter,0.1875,0.025,0.002407704654895666,0.0,0.0,0.0021679826435077264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021679826435077265,0.0
