window,baseline_return,ex04_return,return_delta,baseline_sharpe,ex04_sharpe,sharpe_delta,baseline_max_drawdown,ex04_max_drawdown,baseline_exposure,ex04_exposure,baseline_trade_count,ex04_trade_count
2021,0.0029406556554447683,-0.00619914062358029,-0.009139796279025059,0.13294054781997158,0.05300635265283405,-0.07993419516713754,-0.22018543313931405,-0.1812898546014765,0.6584362139917695,0.5596707818930041,31,29
2022,-0.07098337536211052,0.07661831985256495,0.14760169521467548,-0.3925555936985177,0.6370395335320825,1.0295951272306003,-0.167370458417332,-0.0854180176971977,0.5454545454545454,0.48760330578512395,27,23
2023,-0.06031910763728798,-0.050372752649808894,0.009946354987479089,-0.3898777490492146,-0.34463972717980246,0.045238021869412115,-0.19033050155566777,-0.1508975380849421,0.6570247933884298,0.5330578512396694,29,33
2024,0.06821503071757551,0.22170505734424073,0.15349002662666522,0.429718323504386,0.8682122887851095,0.4384939652807235,-0.18357160128619643,-0.18231540565177773,0.5289256198347108,0.45041322314049587,31,25
2025,0.5165797353772803,0.4311143133322253,-0.08546542204505503,2.1935321360904703,1.9559098664199772,-0.23762226967049305,-0.12500239103219846,-0.14102529516436368,0.720164609053498,0.6502057613168725,23,25
2021H1,0.24893799167194453,0.19306777530968966,-0.055870216362254865,3.071835242807882,2.6567773518584046,-0.4150578909494773,-0.070445854346318,-0.07616618755034055,0.6440677966101694,0.5932203389830508,5,7
2021H2,-0.19785984963082448,-0.16794861525127291,0.029911234379551566,-2.7932256547119008,-2.8407777920336588,-0.047552137321758,-0.22018543313931405,-0.1746914467340368,0.672,0.528,27,23
2022H1,-0.06477702515250938,0.04630794366340796,0.11108496881591734,-0.7230789850675907,0.7254985472584836,1.4485775323260743,-0.167370458417332,-0.0854180176971977,0.5299145299145299,0.4700854700854701,13,13
2022H2,-0.004512956055262585,0.031168259974083456,0.03568121602934604,0.027823439228323324,0.5734616952061417,0.5456382559778183,-0.09410443425020654,-0.07853962266736636,0.56,0.504,15,11
2023H1,0.0509484040161825,0.01959253929289262,-0.031355864723289884,0.7678236149964333,0.38021080082503983,-0.3876128141713934,-0.09040812622954864,-0.0856484670694928,0.847457627118644,0.7033898305084746,15,20
2023H2,-0.10632026926329408,-0.06862083552634068,0.03769943373695339,-2.295242649962902,-1.5912144703692825,0.7040281795936196,-0.12099160975498391,-0.07805054174871007,0.47580645161290325,0.3709677419354839,15,13
2024H1,-0.09485536840967668,-0.032222302415744974,0.0626330659939317,-1.2263976900051408,-0.4131995599473113,0.8131981300578295,-0.11218947015927683,-0.08766782107561533,0.5555555555555556,0.4700854700854701,16,12
2024H2,0.18015949433488965,0.2623819089795447,0.08222241464465507,1.0655359885390128,1.3922634383082284,0.32672744976921564,-0.18357160128619576,-0.1823154056517774,0.504,0.432,15,13
2025H1,0.03483459850082471,0.042732833304470974,0.007898234803646265,0.5727132492529325,0.6877953718266402,0.11508212257370765,-0.12500239103219846,-0.09722267687676034,0.6581196581196581,0.5811965811965812,13,17
2025H2,0.466221134770592,0.37311352138452736,-0.09310761338606466,3.257468496072225,2.792914609533737,-0.46455388653848795,-0.10762651461154682,-0.14102529516436346,0.7777777777777778,0.7142857142857143,11,9
