window,date,regime,baseline_decision_position,ex04_decision_position,baseline_execution_position,ex04_execution_position,position_combination,path_mechanism,baseline_episode_id,market_return,baseline_daily_return,ex04_daily_return,daily_return_delta,log_wealth_delta
2021H1,2021-01-04,warmup,0.0,0.0,0.0,0.0,both_cash,both_cash,,0.021846370683579863,0.0,0.0,0.0,0.0
2021H1,2021-01-05,warmup,0.0,0.0,0.0,0.0,both_cash,both_cash,,0.0013793103448276334,0.0,0.0,0.0,0.0
2021H1,2021-01-06,warmup,1.0,0.0,0.0,0.0,both_cash,both_cash,,-0.00619834710743794,0.0,0.0,0.0,0.0
2021H1,2021-01-07,warmup,1.0,0.0,1.0,0.0,baseline_only,late_entry,2021H1:E001,-0.021483021483021614,-0.02197203546528892,0.0,0.02197203546528892,0.022217015762334615
2021H1,2021-01-08,warmup,1.0,0.0,1.0,0.0,baseline_only,late_entry,2021H1:E001,-0.0021246458923511735,-0.0021246458923511735,0.0,0.0021246458923511735,0.0021269061545070678
2021H1,2021-01-11,warmup,1.0,0.0,1.0,0.0,baseline_only,late_entry,2021H1:E001,0.008516678495386731,0.008516678495386731,0.0,-0.008516678495386731,-0.008480616198420353
2021H1,2021-01-12,warmup,1.0,1.0,1.0,0.0,baseline_only,late_entry,2021H1:E001,0.009148486980999238,0.009148486980999238,0.0,-0.009148486980999238,-0.009106893062464972
2021H1,2021-01-13,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,0.002789400278939924,0.002789400278939924,0.0008923115044150443,-0.00189708877452488,-0.0018936034902546479
2021H1,2021-01-14,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,0.027121001390820743,0.027121001390820743,0.027121001390820743,0.0,0.0
2021H1,2021-01-15,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,0.0013540961408260443,0.0013540961408260443,0.0013540961408260443,0.0,0.0
2021H1,2021-01-18,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,0.020283975659229014,0.020283975659229014,0.020283975659229236,2.220446049250313e-16,2.185751579730777e-16
2021H1,2021-01-19,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,-0.02120609675281626,-0.02120609675281626,-0.021206096752816372,-1.1102230246251565e-16,-1.1449174941446927e-16
2021H1,2021-01-20,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,0.022342586323628844,0.022342586323629066,0.022342586323629066,0.0,0.0
2021H1,2021-01-21,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,0.0013245033112583293,0.0013245033112583293,0.0013245033112583293,0.0,0.0
2021H1,2021-01-22,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,0.003306878306878147,0.003306878306878147,0.003306878306878369,2.220446049250313e-16,2.211772431870429e-16
2021H1,2021-01-25,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,0.006591957811469928,0.006591957811469928,0.006591957811469928,0.0,0.0
2021H1,2021-01-26,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,-0.014407334643091074,-0.014407334643090963,-0.014407334643091074,-1.1102230246251565e-16,-1.1275702593849246e-16
2021H1,2021-01-27,warmup,1.0,1.0,1.0,1.0,both_long,both_long,2021H1:E001,-0.010631229235880224,-0.010631229235880113,-0.010631229235880224,-1.1102230246251565e-16,-1.1275702593849246e-16
2021H1,2021-01-28,warmup,0.0,0.0,1.0,1.0,both_long,both_long,2021H1:E001,-0.02484889187374084,-0.024848891873740953,-0.02484889187374084,1.1102230246251565e-16,1.1449174941446927e-16
2021H1,2021-01-29,warmup,0.0,0.0,0.0,0.0,both_cash,both_cash,,0.0,0.0022534435261709618,0.0022534435261709618,0.0,0.0
2021H1,2021-02-01,warmup,0.0,0.0,0.0,0.0,both_cash,both_cash,,0.0,0.0,0.0,0.0,0.0
2021H1,2021-02-02,warmup,0.0,0.0,0.0,0.0,both_cash,both_cash,,0.010330578512396826,0.0,0.0,0.0,0.0
2021H1,2021-02-03,warmup,0.0,0.0,0.0,0.0,both_cash,both_cash,,-0.01635991820040905,0.0,0.0,0.0,0.0
