event_id,window,signal_date,event_type,group,baseline_weighted_contribution,ex04_weighted_contribution
2021H1:missed_baseline_entry:20210106,2021H1,2021-01-06,missed_baseline_entry,structure,0.0,0.0
2021H1:missed_baseline_entry:20210106,2021H1,2021-01-06,missed_baseline_entry,trend,0.14999999999999997,0.15507432029491863
2021H1:missed_baseline_entry:20210106,2021H1,2021-01-06,missed_baseline_entry,volume_position,0.0,0.0
2021H1:missed_baseline_entry:20210415,2021H1,2021-04-15,missed_baseline_entry,structure,0.0,0.011894053440214415
2021H1:missed_baseline_entry:20210415,2021H1,2021-04-15,missed_baseline_entry,trend,0.15,0.1550743202949186
2021H1:missed_baseline_entry:20210415,2021H1,2021-04-15,missed_baseline_entry,volume_position,0.0,0.0
2021H2:missed_baseline_entry:20210723,2021H2,2021-07-23,missed_baseline_entry,structure,0.0,-0.011894053440214408
2021H2:missed_baseline_entry:20210723,2021H2,2021-07-23,missed_baseline_entry,trend,0.14999999999999997,0.15507432029491863
2021H2:missed_baseline_entry:20210723,2021H2,2021-07-23,missed_baseline_entry,volume_position,0.0,0.0
2021H2:missed_baseline_entry:20210831,2021H2,2021-08-31,missed_baseline_entry,structure,0.049999999999999996,0.03568216032064323
2021H2:missed_baseline_entry:20210831,2021H2,2021-08-31,missed_baseline_entry,trend,-0.3,-0.29780296157749153
2021H2:missed_baseline_entry:20210831,2021H2,2021-08-31,missed_baseline_entry,volume_position,0.4,0.38060971008686123
2021H2:missed_baseline_entry:20210910,2021H2,2021-09-10,missed_baseline_entry,structure,-0.049999999999999996,-0.059470267201072055
2021H2:missed_baseline_entry:20210910,2021H2,2021-09-10,missed_baseline_entry,trend,0.0,0.012345679012345678
2021H2:missed_baseline_entry:20210910,2021H2,2021-09-10,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2021H2:missed_baseline_entry:20210927,2021H2,2021-09-27,missed_baseline_entry,structure,-0.049999999999999996,-0.059470267201072055
2021H2:missed_baseline_entry:20210927,2021H2,2021-09-27,missed_baseline_entry,trend,0.0,0.012345679012345678
2021H2:missed_baseline_entry:20210927,2021H2,2021-09-27,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2022H1:missed_baseline_entry:20220318,2022H1,2022-03-18,missed_baseline_entry,structure,-0.049999999999999996,-0.04727700397900225
2022H1:missed_baseline_entry:20220318,2022H1,2022-03-18,missed_baseline_entry,trend,0.0,0.012345679012345678
2022H1:missed_baseline_entry:20220318,2022H1,2022-03-18,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2022H1:missed_baseline_entry:20220429,2022H1,2022-04-29,missed_baseline_entry,structure,-0.049999999999999996,-0.03568216032064323
2022H1:missed_baseline_entry:20220429,2022H1,2022-04-29,missed_baseline_entry,trend,0.0,0.012345679012345678
2022H1:missed_baseline_entry:20220429,2022H1,2022-04-29,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2022H2:missed_baseline_entry:20220916,2022H2,2022-09-16,missed_baseline_entry,structure,0.049999999999999996,0.05947026720107206
2022H2:missed_baseline_entry:20220916,2022H2,2022-09-16,missed_baseline_entry,trend,-0.3,-0.29780296157749153
2022H2:missed_baseline_entry:20220916,2022H2,2022-09-16,missed_baseline_entry,volume_position,0.4,0.38060971008686123
2022H2:missed_baseline_entry:20221125,2022H2,2022-11-25,missed_baseline_entry,structure,0.049999999999999996,0.05947026720107206
2022H2:missed_baseline_entry:20221125,2022H2,2022-11-25,missed_baseline_entry,trend,-0.3,-0.29780296157749153
2022H2:missed_baseline_entry:20221125,2022H2,2022-11-25,missed_baseline_entry,volume_position,0.4,0.38060971008686123
2023H1:missed_baseline_entry:20230223,2023H1,2023-02-23,missed_baseline_entry,structure,0.09999999999999999,0.1070464809619297
2023H1:missed_baseline_entry:20230223,2023H1,2023-02-23,missed_baseline_entry,trend,-0.15,-0.13038296227022725
2023H1:missed_baseline_entry:20230223,2023H1,2023-02-23,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2023H1:missed_baseline_entry:20230509,2023H1,2023-05-09,missed_baseline_entry,structure,0.049999999999999996,0.05947026720107206
2023H1:missed_baseline_entry:20230509,2023H1,2023-05-09,missed_baseline_entry,trend,-0.3,-0.29780296157749153
2023H1:missed_baseline_entry:20230509,2023H1,2023-05-09,missed_baseline_entry,volume_position,0.4,0.38060971008686123
2023H1:missed_baseline_entry:20230524,2023H1,2023-05-24,missed_baseline_entry,structure,0.049999999999999996,0.03568216032064323
2023H1:missed_baseline_entry:20230524,2023H1,2023-05-24,missed_baseline_entry,trend,-0.3,-0.29780296157749153
2023H1:missed_baseline_entry:20230524,2023H1,2023-05-24,missed_baseline_entry,volume_position,0.4,0.38060971008686123
