feature,false_exit_events,protective_exit_events,false_exit_median,protective_exit_median,cliffs_delta,comparable_windows,consistent_window_direction,stable_large_effect
baseline_score,5,11,0.05,2.775557561562892e-17,0.7818181818181819,2,False,False
ex04_score,5,11,0.0233364813082976,-0.02423973245256,0.7818181818181819,2,False,False
score_gap,5,11,0.026663518691702404,0.024239732452560028,0.7818181818181819,2,False,False
ex04_exit_margin,5,11,-0.0016635186917023,-0.04923973245256,0.7818181818181819,2,False,False
holding_days,5,11,10.0,6.0,0.32727272727272727,2,False,False
baseline_structure_contribution,5,11,0.0,-0.0499999999999999,0.36363636363636365,2,True,False
ex04_structure_contribution,5,11,-0.0118940534402144,-0.059470267201072,0.32727272727272727,2,True,False
structure_contribution_gap,5,11,0.0118940534402144,0.009470267201072101,0.4727272727272727,2,True,False
baseline_trend_contribution,5,11,-0.15,-0.1499999999999999,0.09090909090909091,2,False,False
ex04_trend_contribution,5,11,-0.1550743202949186,-0.1550743202949186,0.3090909090909091,2,True,False
trend_contribution_gap,5,11,0.005074320294918611,0.005074320294918694,0.09090909090909091,2,False,False
baseline_volume_position_contribution,5,11,0.2,0.2,-0.14545454545454545,2,False,False
ex04_volume_position_contribution,5,11,0.1903048550434306,0.1903048550434306,-0.14545454545454545,2,False,False
volume_position_contribution_gap,5,11,0.009695144956569424,0.009695144956569424,-0.14545454545454545,2,False,False
