event_id,signal_date,event_type,factor_score,enter_threshold,full_threshold,exit_threshold,before_position,after_position,reason
DynamicSizing:20210112:Entry,2021-01-12,Entry,0.20265053405577624,0.175,0.175,0.025,0.0,1.0,score 0.202651 >= enter 0.175000
DynamicSizing:20210115:Reduce,2021-01-15,Reduce,0.1550743202949186,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.155074 < enter 0.175000
DynamicSizing:20210121:Increase,2021-01-21,Increase,0.3453791753383492,0.175,0.175,0.025,0.5,1.0,score 0.345379 >= enter 0.175000
DynamicSizing:20210128:Exit,2021-01-28,Exit,-0.059921892773203284,0.175,0.175,0.025,1.0,0.0,score -0.059922 <= exit 0.025000
DynamicSizing:20210326:Entry,2021-03-26,Entry,0.26212080125684833,0.175,0.175,0.025,0.0,1.0,score 0.262121 >= enter 0.175000
DynamicSizing:20210331:Reduce,2021-03-31,Reduce,0.1431802668547042,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.143180 < enter 0.175000
DynamicSizing:20210401:Increase,2021-04-01,Increase,0.40484944253942123,0.175,0.175,0.025,0.5,1.0,score 0.404849 >= enter 0.175000
DynamicSizing:20210409:Reduce,2021-04-09,Reduce,0.16606512259087053,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.166065 < enter 0.175000
DynamicSizing:20210412:Exit,2021-04-12,Exit,-0.166968373735133,0.175,0.175,0.025,0.5,0.0,score -0.166968 <= exit 0.025000
DynamicSizing:20210416:Entry,2021-04-16,Entry,0.30969701501770597,0.175,0.175,0.025,0.0,1.0,score 0.309697 >= enter 0.175000
DynamicSizing:20210506:Reduce,2021-05-06,Reduce,0.16606512259087053,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.166065 < enter 0.175000
DynamicSizing:20210514:Increase,2021-05-14,Increase,0.40484944253942123,0.175,0.175,0.025,0.5,1.0,score 0.404849 >= enter 0.175000
DynamicSizing:20210616:Exit,2021-06-16,Exit,0.023336481308297602,0.175,0.175,0.025,1.0,0.0,score 0.023336 <= exit 0.025000
DynamicSizing:20210617:Entry,2021-06-17,Entry,0.40484944253942123,0.175,0.175,0.025,0.0,1.0,score 0.404849 >= enter 0.175000
DynamicSizing:20210702:Reduce,2021-07-02,Reduce,0.16606512259087053,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.166065 < enter 0.175000
DynamicSizing:20210705:Increase,2021-07-05,Increase,0.5951542975828519,0.175,0.175,0.025,0.5,1.0,score 0.595154 >= enter 0.175000
DynamicSizing:20210706:Exit,2021-07-06,Exit,0.023336481308297602,0.175,0.175,0.025,1.0,0.0,score 0.023336 <= exit 0.025000
DynamicSizing:20210707:Entry,2021-07-07,Entry,0.452425656300279,0.175,0.175,0.025,0.0,1.0,score 0.452426 >= enter 0.175000
DynamicSizing:20210713:Reduce,2021-07-13,Reduce,0.13068217205208268,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.130682 < enter 0.175000
DynamicSizing:20210714:Exit,2021-07-14,Exit,-0.08400920943548748,0.175,0.175,0.025,0.5,0.0,score -0.084009 <= exit 0.025000
DynamicSizing:20210729:Entry,2021-07-29,Entry,0.3926561793173515,0.175,0.175,0.025,0.0,1.0,score 0.392656 >= enter 0.175000
DynamicSizing:20210803:Reduce,2021-08-03,Reduce,0.08250753872751426,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.082508 < enter 0.175000
DynamicSizing:20210804:Increase,2021-08-04,Increase,0.2737156449152074,0.175,0.175,0.025,0.5,1.0,score 0.273716 >= enter 0.175000
DynamicSizing:20210806:Reduce,2021-08-06,Reduce,0.03537921041651463,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.035379 < enter 0.175000
DynamicSizing:20210809:Exit,2021-08-09,Exit,-0.15537353007677399,0.175,0.175,0.025,0.5,0.0,score -0.155374 <= exit 0.025000
DynamicSizing:20210812:Entry,2021-08-12,Entry,0.2023513242739209,0.175,0.175,0.025,0.0,1.0,score 0.202351 >= enter 0.175000
DynamicSizing:20210817:Exit,2021-08-17,Exit,-0.3572732287785636,0.175,0.175,0.025,1.0,0.0,score -0.357273 <= exit 0.025000
DynamicSizing:20210824:Entry,2021-08-24,Entry,0.21454458749599065,0.175,0.175,0.025,0.0,1.0,score 0.214545 >= enter 0.175000
DynamicSizing:20210827:Exit,2021-08-27,Exit,-0.07181594621341772,0.175,0.175,0.025,1.0,0.0,score -0.071816 <= exit 0.025000
DynamicSizing:20211013:Entry,2021-10-13,Entry,0.1898532294712994,0.175,0.175,0.025,0.0,1.0,score 0.189853 >= enter 0.175000
DynamicSizing:20211018:Reduce,2021-10-18,Reduce,0.04802783933298896,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.048028 < enter 0.175000
DynamicSizing:20211019:Exit,2021-10-19,Exit,-0.04712458818872642,0.175,0.175,0.025,0.5,0.0,score -0.047125 <= exit 0.025000
DynamicSizing:20211020:Entry,2021-10-20,Entry,0.26212080125684833,0.175,0.175,0.025,0.0,1.0,score 0.262121 >= enter 0.175000
DynamicSizing:20211027:Exit,2021-10-27,Exit,-0.21454458749599065,0.175,0.175,0.025,1.0,0.0,score -0.214545 <= exit 0.025000
DynamicSizing:20211029:Entry,2021-10-29,Entry,0.5475780838219942,0.175,0.175,0.025,0.0,1.0,score 0.547578 >= enter 0.175000
DynamicSizing:20211118:Reduce,2021-11-18,Reduce,0.0709126950691552,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.070913 < enter 0.175000
DynamicSizing:20211119:Increase,2021-11-19,Increase,0.2265873166042077,0.175,0.175,0.025,0.5,1.0,score 0.226587 >= enter 0.175000
DynamicSizing:20211202:Exit,2021-12-02,Exit,-0.16696837373513299,0.175,0.175,0.025,1.0,0.0,score -0.166968 <= exit 0.025000
DynamicSizing:20211203:Entry,2021-12-03,Entry,0.24947217234037405,0.175,0.175,0.025,0.0,1.0,score 0.249472 >= enter 0.175000
DynamicSizing:20211208:Exit,2021-12-08,Exit,-0.04802783933298885,0.175,0.175,0.025,1.0,0.0,score -0.048028 <= exit 0.025000
DynamicSizing:20211210:Entry,2021-12-10,Entry,0.40484944253942123,0.175,0.175,0.025,0.0,1.0,score 0.404849 >= enter 0.175000
DynamicSizing:20211215:Exit,2021-12-15,Exit,-0.07181594621341772,0.175,0.175,0.025,1.0,0.0,score -0.071816 <= exit 0.025000
DynamicSizing:20211217:Entry,2021-12-17,Entry,0.23742944323215703,0.175,0.175,0.025,0.0,1.0,score 0.237429 >= enter 0.175000
DynamicSizing:20211222:Reduce,2021-12-22,Reduce,0.14227701571044177,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.142277 < enter 0.175000
DynamicSizing:20211223:Exit,2021-12-23,Exit,0.02333648130829763,0.175,0.175,0.025,0.5,0.0,score 0.023336 <= exit 0.025000
DynamicSizing:20211230:Entry,2021-12-30,Entry,0.26212080125684833,0.175,0.175,0.025,0.0,1.0,score 0.262121 >= enter 0.175000
DynamicSizing:20220105:Exit,2022-01-05,Exit,-0.16696837373513299,0.175,0.175,0.025,1.0,0.0,score -0.166968 <= exit 0.025000
DynamicSizing:20220117:Entry,2022-01-17,Entry,0.27431406447891815,0.175,0.175,0.025,0.0,1.0,score 0.274314 >= enter 0.175000
DynamicSizing:20220120:Exit,2022-01-20,Exit,-0.012046469230490242,0.175,0.175,0.025,1.0,0.0,score -0.012046 <= exit 0.025000
DynamicSizing:20220217:Entry,2022-02-17,Entry,0.2145445874959907,0.175,0.175,0.025,0.0,1.0,score 0.214545 >= enter 0.175000
DynamicSizing:20220222:Exit,2022-02-22,Exit,-0.07181594621341772,0.175,0.175,0.025,1.0,0.0,score -0.071816 <= exit 0.025000
DynamicSizing:20220223:Entry,2022-02-23,Entry,0.5000018700611366,0.175,0.175,0.025,0.0,1.0,score 0.500002 >= enter 0.175000
DynamicSizing:20220303:Exit,2022-03-03,Exit,-0.02423973245256003,0.175,0.175,0.025,1.0,0.0,score -0.024240 <= exit 0.025000
DynamicSizing:20220321:Entry,2022-03-21,Entry,0.41704270576149105,0.175,0.175,0.025,0.0,1.0,score 0.417043 >= enter 0.175000
DynamicSizing:20220324:Exit,2022-03-24,Exit,-0.012046469230490242,0.175,0.175,0.025,1.0,0.0,score -0.012046 <= exit 0.025000
DynamicSizing:20220505:Entry,2022-05-05,Entry,0.30969701501770597,0.175,0.175,0.025,0.0,1.0,score 0.309697 >= enter 0.175000
DynamicSizing:20220524:Reduce,2022-05-24,Reduce,0.11848890883001288,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.118489 < enter 0.175000
DynamicSizing:20220527:Increase,2022-05-27,Increase,0.21364133635172816,0.175,0.175,0.025,0.5,1.0,score 0.213641 >= enter 0.175000
DynamicSizing:20220615:Reduce,2022-06-15,Reduce,0.1422770157104417,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.142277 < enter 0.175000
DynamicSizing:20220617:Increase,2022-06-17,Increase,0.48825649228892487,0.175,0.175,0.025,0.5,1.0,score 0.488256 >= enter 0.175000
DynamicSizing:20220622:Exit,2022-06-22,Exit,-0.1315854231963451,0.175,0.175,0.025,1.0,0.0,score -0.131585 <= exit 0.025000
DynamicSizing:20220623:Entry,2022-06-23,Entry,0.18970269535744663,0.175,0.175,0.025,0.0,1.0,score 0.189703 >= enter 0.175000
DynamicSizing:20220705:Reduce,2022-07-05,Reduce,0.04712458818872642,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.047125 < enter 0.175000
DynamicSizing:20220706:Increase,2022-07-06,Increase,0.3810613356589925,0.175,0.175,0.025,0.5,1.0,score 0.381061 >= enter 0.175000
DynamicSizing:20220711:Exit,2022-07-11,Exit,-0.16696837373513299,0.175,0.175,0.025,1.0,0.0,score -0.166968 <= exit 0.025000
DynamicSizing:20220721:Entry,2022-07-21,Entry,0.21454458749599065,0.175,0.175,0.025,0.0,1.0,score 0.214545 >= enter 0.175000
DynamicSizing:20220728:Reduce,2022-07-28,Reduce,0.16696837373513299,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.166968 < enter 0.175000
DynamicSizing:20220803:Increase,2022-08-03,Increase,0.1898532294712993,0.175,0.175,0.025,0.5,1.0,score 0.189853 >= enter 0.175000
DynamicSizing:20220816:Reduce,2022-08-16,Reduce,0.11848890883001288,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.118489 < enter 0.175000
DynamicSizing:20220817:Increase,2022-08-17,Increase,0.1781078516990876,0.175,0.175,0.025,0.5,1.0,score 0.178108 >= enter 0.175000
DynamicSizing:20220818:Reduce,2022-08-18,Reduce,0.16741625918499112,0.175,0.175,0.025,1.0,0.5,exit 0.025000 < score 0.167416 < enter 0.175000
DynamicSizing:20220819:Exit,2022-08-19,Exit,-0.10719889675220554,0.175,0.175,0.025,0.5,0.0,score -0.107199 <= exit 0.025000
DynamicSizing:20221014:Entry,2022-10-14,Entry,0.19075648061556189,0.175,0.175,0.025,0.0,1.0,score 0.190756 >= enter 0.175000
