period,signal_date,execution_date,side,size,price,fees,factor_event_id,event_type
2026Q1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026Q1:20251231,InitialEntry
2026Q1,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,DynamicSizing:20260129:Exit,Exit
2026Q1,2026-02-27,2026-03-02,Buy,736200.1970815603,1.5054627000000005,554.1609682193957,DynamicSizing:20260227:Entry,Entry
2026Q1,2026-03-04,2026-03-05,Sell,368100.09854078013,1.4600262,268.7178940460604,DynamicSizing:20260304:Reduce,Reduce
2026Q1,2026-03-06,2026-03-09,Buy,376586.9233362943,1.4256964,268.44931044382975,DynamicSizing:20260306:Increase,Increase
2026Q1,2026-03-09,2026-03-10,Sell,744687.0218770744,1.4489195,539.4957736973098,DynamicSizing:20260309:Exit,Exit
2026H1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026H1:20251231,InitialEntry
2026H1,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,DynamicSizing:20260129:Exit,Exit
2026H1,2026-02-27,2026-03-02,Buy,736200.1970815603,1.5054627000000005,554.1609682193957,DynamicSizing:20260227:Entry,Entry
2026H1,2026-03-04,2026-03-05,Sell,368100.09854078013,1.4600262,268.7178940460604,DynamicSizing:20260304:Reduce,Reduce
2026H1,2026-03-06,2026-03-09,Buy,376586.9233362943,1.4256964,268.44931044382975,DynamicSizing:20260306:Increase,Increase
2026H1,2026-03-09,2026-03-10,Sell,744687.0218770744,1.4489195,539.4957736973098,DynamicSizing:20260309:Exit,Exit
2026H1,2026-04-08,2026-04-09,Buy,781521.0721545558,1.3792502000000002,538.9565475366544,DynamicSizing:20260408:Entry,Entry
2026H1,2026-04-23,2026-04-24,Sell,390760.53607727797,1.4812299000000002,289.40309488884645,DynamicSizing:20260423:Reduce,Reduce
2026H1,2026-04-24,2026-04-27,Buy,380513.4532880763,1.5195985,289.1138364231447,DynamicSizing:20260424:Increase,Increase
2026H1,2026-06-01,2026-06-02,Sell,771273.9893653542,1.7215385,663.888933370524,DynamicSizing:20260601:Exit,Exit
2026H1,2026-06-16,2026-06-17,Buy,741788.6995474566,1.7881787,663.2253762157634,DynamicSizing:20260616:Entry,Entry
2026M1-M8,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026M1-M8:20251231,InitialEntry
2026M1-M8,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,DynamicSizing:20260129:Exit,Exit
2026M1-M8,2026-02-27,2026-03-02,Buy,736200.1970815603,1.5054627000000005,554.1609682193957,DynamicSizing:20260227:Entry,Entry
2026M1-M8,2026-03-04,2026-03-05,Sell,368100.09854078013,1.4600262,268.7178940460604,DynamicSizing:20260304:Reduce,Reduce
2026M1-M8,2026-03-06,2026-03-09,Buy,376586.9233362943,1.4256964,268.44931044382975,DynamicSizing:20260306:Increase,Increase
2026M1-M8,2026-03-09,2026-03-10,Sell,744687.0218770744,1.4489195,539.4957736973098,DynamicSizing:20260309:Exit,Exit
2026M1-M8,2026-04-08,2026-04-09,Buy,781521.0721545558,1.3792502000000002,538.9565475366544,DynamicSizing:20260408:Entry,Entry
2026M1-M8,2026-04-23,2026-04-24,Sell,390760.53607727797,1.4812299000000002,289.40309488884645,DynamicSizing:20260423:Reduce,Reduce
2026M1-M8,2026-04-24,2026-04-27,Buy,380513.4532880763,1.5195985,289.1138364231447,DynamicSizing:20260424:Increase,Increase
2026M1-M8,2026-06-01,2026-06-02,Sell,771273.9893653542,1.7215385,663.888933370524,DynamicSizing:20260601:Exit,Exit
2026M1-M8,2026-06-16,2026-06-17,Buy,741788.6995474566,1.7881787,663.2253762157634,DynamicSizing:20260616:Entry,Entry
2026M1-M8,2026-07-07,2026-07-08,Sell,370894.3497737283,2.0920984,387.97373786532864,DynamicSizing:20260707:Reduce,Reduce
2026M1-M8,2026-07-08,2026-07-09,Buy,365235.4822516427,2.1223894,387.58595801738556,DynamicSizing:20260708:Increase,Increase
2026M1-M8,2026-07-13,2026-07-14,Sell,736129.832025371,2.0476716,753.6760754755614,DynamicSizing:20260713:Exit,Exit
2026M1-M8,2026-08-04,2026-08-05,Buy,904414.2960040773,1.6649953000000002,752.9227760497015,DynamicSizing:20260804:Entry,Entry
2026M1-M8,2026-08-13,2026-08-14,Sell,452207.14800203865,1.7891884,404.5418918011654,DynamicSizing:20260813:Reduce,Reduce
2026M1-M8,2026-08-14,2026-08-17,Sell,452207.14800203865,1.7750526,401.34573689980175,DynamicSizing:20260814:Exit,Exit
