factor,factor_kind,year,horizon,active_n,control_n,active_return,control_return,return_delta,active_mae,control_mae,mae_delta,active_max_drawdown,control_max_drawdown,max_drawdown_delta
valid__cxt_bi_zdf::向上,state,2021,5,63,76,0.0035419427234112013,0.0068503585850446585,-0.003308415861633457,-0.013585237836888015,-0.014169095459895963,0.0005838576230079474,-0.023937694418159332,-0.02216332735239454,-0.0017743670657647918
valid__cxt_bi_zdf::向上,state,2021,20,63,76,-0.00630027784465515,0.013023503535014209,-0.019323781379669357,-0.040366419057520676,-0.03703219884636775,-0.0033342202111529273,-0.0612928890331996,-0.06052882234263886,-0.0007640666905607413
valid__cxt_bi_zdf::向上,state,2021,60,63,76,-0.09408014882083837,0.042416323893182555,-0.13649647271402093,-0.12782370580198615,-0.07582278928548147,-0.05200091651650468,-0.16105352796870295,-0.11022211792784908,-0.05083141004085387
valid__cxt_bi_zdf::向上,state,2022,5,53,32,0.0057014786321272805,-0.012057597473874138,0.017759076106001418,-0.016433329570376336,-0.025152909830188416,0.00871958025981208,-0.027344853151615826,-0.03484996481621728,0.007505111664601452
valid__cxt_bi_zdf::向上,state,2022,20,53,32,-0.007393745409065753,-0.047171461909930344,0.03977771650086459,-0.04715180088539161,-0.08475382515665017,0.03760202427125856,-0.07357376152594858,-0.10527172260939308,0.0316979610834445
valid__cxt_bi_zdf::向上,state,2022,60,53,32,-0.020561089496197355,-0.008858973997808748,-0.011702115498388607,-0.11164249799121356,-0.1460889373164478,0.034446439325234224,-0.1532027927355694,-0.172504502268443,0.019301709532873607
valid__cxt_bi_zdf::向上,state,2023,5,71,22,-0.000775176460424676,0.0011236695880228716,-0.0018988460484475477,-0.015844078976610103,-0.01318161706335207,-0.002662461913258033,-0.022749783538177994,-0.02312196256316631,0.00037217902498831723
valid__cxt_bi_zdf::向上,state,2023,20,71,22,-0.009179417652280066,-0.006299934868097192,-0.002879482784182873,-0.04126958781296277,-0.04054187511127039,-0.0007277127016923832,-0.05867701290749781,-0.05954739239169133,0.0008703794841935231
valid__cxt_bi_zdf::向上,state,2023,60,71,22,-0.07357790151711527,-0.05765832692687803,-0.01591957459023724,-0.11104546872133088,-0.09712155430725095,-0.013923914414079933,-0.1434225843212754,-0.14609694935744713,0.002674365036171744
valid__cxt_bi_zdf::向上,state,2024,5,55,40,0.004577240400500523,-0.007751725916157965,0.012328966316658488,-0.019384527552123266,-0.027555698243661247,0.008171170691537982,-0.030744884418159136,-0.037937233005237034,0.007192348587077898
valid__cxt_bi_zdf::向上,state,2024,20,55,40,-0.009737800699346167,-0.03872397596228307,0.028986175262936904,-0.04868814838987564,-0.06082982522085789,0.012141676830982252,-0.0719331214946244,-0.08833078449277912,0.01639766299815472
valid__cxt_bi_zdf::向上,state,2024,60,55,40,0.03240938518610237,0.0679952801560539,-0.03558589496995153,-0.08056784509412065,-0.0853248217330556,0.004756976638934943,-0.11839198843003677,-0.1325690843446826,0.014177095914645818
valid__cxt_bi_zdf::向上,state,2025,5,80,47,0.010804235069008666,0.011387803820462521,-0.0005835687514538553,-0.012394973341120562,-0.018175803828020563,0.0057808304869,-0.021553074478479966,-0.035551685140315224,0.013998610661835258
valid__cxt_bi_zdf::向上,state,2025,20,75,44,0.04655374635529018,0.07355792366837195,-0.027004177313081773,-0.027486936227104325,-0.035561988857672186,0.008075052630567861,-0.055048980947034816,-0.07938417786669177,0.024335196919656958
valid__cxt_bi_zdf::向上,state,2025,60,66,40,0.12403708901838065,0.11489191180478353,0.009145177213597117,-0.04776451149795072,-0.05777533810139528,0.010010826603444559,-0.12571831060624672,-0.14817376439404234,0.02245545378779562
valid__cxt_bi_zdf::向下,state,2021,5,46,47,-0.012629879708825719,-0.0039020522433689275,-0.008727827465456792,-0.02433385935438532,-0.018263525923159277,-0.006070333431226042,-0.03173686522770657,-0.026995688287409548,-0.004741176940297024
valid__cxt_bi_zdf::向下,state,2021,20,46,47,-0.006836681705223733,-0.0224014172890446,0.015564735583820866,-0.04902992266155505,-0.05244752434284068,0.0034176016812856314,-0.06341549762181037,-0.07109445345050705,0.007678955828696682
valid__cxt_bi_zdf::向下,state,2021,60,46,47,-0.039075473198341266,0.035070259408220505,-0.07414573260656177,-0.10304539956152839,-0.07289097002850527,-0.030154429533023122,-0.13470399958210638,-0.10105283295513717,-0.03365116662696921
valid__cxt_bi_zdf::向下,state,2022,5,83,74,-0.0068692212135702466,-0.009208402493945136,0.002339181280374889,-0.02232511408978923,-0.02576364499470113,0.0034385309049118976,-0.030762946485507873,-0.03360494895462011,0.002842002469112235
valid__cxt_bi_zdf::向下,state,2022,20,83,74,-0.025121921069627302,-0.006038874410200137,-0.019083046659427165,-0.0672336869205672,-0.0743176101214985,0.007083923200931291,-0.08693217409911488,-0.08880186723525273,0.0018696931361378427
valid__cxt_bi_zdf::向下,state,2022,60,83,74,-0.04813868685264785,-0.04913331257301922,0.0009946257203713726,-0.13903310650622214,-0.1452047983713627,0.0061716918651405495,-0.17437614964837606,-0.17673866066518168,0.002362511016805624
valid__cxt_bi_zdf::向下,state,2023,5,99,50,-0.00801401087987657,-0.00011893718712377544,-0.007895073692752793,-0.017462640730071203,-0.013427413222905367,-0.004035227507165836,-0.02405218371027331,-0.02056755682441142,-0.003484626885861892
valid__cxt_bi_zdf::向下,state,2023,20,99,50,-0.024471472591972965,-0.030450394518335182,0.005978921926362218,-0.05093059357162883,-0.04379815479277429,-0.007132438778854541,-0.06614008589108489,-0.06334752651318695,-0.002792559377897935
valid__cxt_bi_zdf::向下,state,2023,60,99,50,-0.05795003054841827,-0.0524238747438357,-0.005526155804582572,-0.10970065367293327,-0.10624573938526875,-0.0034549142876645206,-0.13992292613585017,-0.1358998455771015,-0.004023080558748671
valid__cxt_bi_zdf::向下,state,2024,5,93,54,0.015766112310732956,-0.0008498267376300826,0.01661593904836304,-0.016399051924733257,-0.020246559203295003,0.0038475072785617466,-0.03345225358083763,-0.030504621804281377,-0.0029476317765562525
valid__cxt_bi_zdf::向下,state,2024,20,93,54,0.061512655204369236,0.05033734736409651,0.011175307840272729,-0.04595439964226782,-0.05076246818728976,0.004808068545021936,-0.08951309031509916,-0.08045827647000538,-0.009054813845093782
