factor,year,endpoint,effect,matched_strata,references
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2021,return_20,0.05851064130840821,1,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2022,return_20,-0.11665382049048012,2,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2023,return_20,-0.032758465125544284,1,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2024,return_20,0.049067668278584296,1,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2025,return_20,-0.030895283739051017,2,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2021,max_drawdown_20,0.017513422676722137,1,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2022,max_drawdown_20,-0.04791742545275375,2,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2023,max_drawdown_20,-0.01705020766762544,1,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2024,max_drawdown_20,-0.032090466289062675,1,['target_position']
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2025,max_drawdown_20,-0.030173814754137822,2,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2021,return_20,0.029839414221820314,1,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2022,return_20,-0.010263454542328517,2,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2023,return_20,-0.05451638816827654,2,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024,return_20,0.04290504468960059,2,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025,return_20,-0.016293587859851237,2,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2021,max_drawdown_20,0.012731633577341467,1,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2022,max_drawdown_20,-0.006403644136478065,2,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2023,max_drawdown_20,-0.028670364397153102,2,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024,max_drawdown_20,-0.03176909117366039,2,['target_position']
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025,max_drawdown_20,-0.036816521652490296,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2021,return_20,0.0003784631439911872,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022,return_20,-0.016122678040683108,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023,return_20,-0.00543359872328002,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024,return_20,0.013414403234745936,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025,return_20,0.004903013082867704,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2021,max_drawdown_20,0.010410973774496986,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022,max_drawdown_20,-0.017209059774109567,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023,max_drawdown_20,0.004660282761878032,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024,max_drawdown_20,-0.007602285002850489,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025,max_drawdown_20,0.019954070128378375,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2021,return_20,-0.010258980421766855,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2022,return_20,-0.004067120076868276,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2023,return_20,0.00980933326300893,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2024,return_20,0.08734774683596708,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2025,return_20,0.01269794457446526,2,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2021,max_drawdown_20,-0.002145984380454574,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2022,max_drawdown_20,-0.03133967572860882,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2023,max_drawdown_20,0.02035569457379246,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2024,max_drawdown_20,-0.008391972860770203,1,['target_position']
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2025,max_drawdown_20,0.04168257198869183,2,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021,return_20,0.03856905822500387,1,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022,return_20,-0.013521498266672793,1,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023,return_20,-0.01869038561821353,2,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024,return_20,-0.03278060541948402,1,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025,return_20,0.00680708263818515,1,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021,max_drawdown_20,0.016732044498352548,1,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022,max_drawdown_20,-0.006339547674601875,1,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023,max_drawdown_20,-0.0007285762090982691,2,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024,max_drawdown_20,0.0006460692366536402,1,['target_position']
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025,max_drawdown_20,-0.024571460234115924,1,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2021,return_20,-0.00309655720529248,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2022,return_20,-0.021628306544420453,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2023,return_20,0.00967853900188436,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2024,return_20,-0.021317682600093035,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2025,return_20,-0.006421249043099674,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2021,max_drawdown_20,0.004293890840647384,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2022,max_drawdown_20,-0.01843087615397476,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2023,max_drawdown_20,-0.000599165641565445,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2024,max_drawdown_20,0.0007300924033825225,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,2025,max_drawdown_20,-0.008932564891707613,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2021,return_20,-0.005832527152368843,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2022,return_20,-0.01434979367923294,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2023,return_20,0.007008270540059949,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2024,return_20,-0.020625640979432498,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2025,return_20,-0.012411422861535716,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2021,max_drawdown_20,0.0031434674900027854,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2022,max_drawdown_20,0.005098466813288992,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2023,max_drawdown_20,0.010238233986839939,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2024,max_drawdown_20,0.0004203942945099109,2,['target_position']
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,2025,max_drawdown_20,-0.0021680329793804026,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2021,return_20,0.05327017257715567,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2022,return_20,-0.017906329446221638,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2023,return_20,0.09039573926595043,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2024,return_20,0.023186873128780743,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2025,return_20,-0.019645178374301846,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2021,max_drawdown_20,0.019957200366017707,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2022,max_drawdown_20,-0.01083201938560716,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2023,max_drawdown_20,0.01588485754745788,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2024,max_drawdown_20,0.0017252498318215581,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,2025,max_drawdown_20,-0.0050421345804248265,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2021,return_20,-0.0006647864884232588,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2022,return_20,-0.03569616243259508,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2023,return_20,-0.015659497244255288,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2024,return_20,0.004321184842434574,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2025,return_20,-0.017164358375103057,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2021,max_drawdown_20,-0.0038256977248423258,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2022,max_drawdown_20,-0.008381370484757034,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2023,max_drawdown_20,0.014406290334653734,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2024,max_drawdown_20,0.006316091120705779,2,['target_position']
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,2025,max_drawdown_20,-0.0051515818594263995,2,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2021,return_20,-0.007651965659030093,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2022,return_20,-0.005579654198530867,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2023,return_20,-0.019142903908677043,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2024,return_20,-0.04434144643514839,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2025,return_20,0.015550911256297595,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2021,max_drawdown_20,0.007123693716349862,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2022,max_drawdown_20,-0.0021889551854878814,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2023,max_drawdown_20,0.0040055242978556255,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2024,max_drawdown_20,-0.013276829915559826,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,2025,max_drawdown_20,0.0035808731737651256,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2021,return_20,-0.003963908373189294,2,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2022,return_20,0.03093146030169424,2,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2023,return_20,-0.0036211403564924446,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2024,return_20,-0.0011440266544670286,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2025,return_20,-0.0015924331336896,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2021,max_drawdown_20,-0.001044288717237954,2,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2022,max_drawdown_20,0.007944613315818888,2,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2023,max_drawdown_20,-0.0005840042481297242,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2024,max_drawdown_20,0.011679403236522931,1,['target_position']
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,2025,max_drawdown_20,0.009257562262807217,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2021,return_20,0.00035271129648182555,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2022,return_20,-0.006303198838124474,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2023,return_20,-0.012681954611698562,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2024,return_20,-0.03822961140702647,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2025,return_20,0.015065616601384835,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2021,max_drawdown_20,0.009095319825018135,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2022,max_drawdown_20,0.002089410771279304,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2023,max_drawdown_20,0.009395669736221184,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2024,max_drawdown_20,-0.0034606494573776736,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,2025,max_drawdown_20,-0.0005360060161728603,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2021,return_20,0.002392773865171839,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2022,return_20,0.03495995568764244,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2023,return_20,-0.005421887134423593,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2024,return_20,0.0278920360088454,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2025,return_20,0.009234175731203328,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2021,max_drawdown_20,0.0018264288998815353,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2022,max_drawdown_20,0.015374543933428938,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2023,max_drawdown_20,0.000307644518564337,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2024,max_drawdown_20,0.006969060472055616,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,2025,max_drawdown_20,0.02002353223047163,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2021,return_20,0.006591830995930545,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2022,return_20,0.025292345960953568,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2023,return_20,-0.008390981582811369,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2024,return_20,0.07452877772267116,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2025,return_20,0.022537489033930425,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2021,max_drawdown_20,0.00361357787672519,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2022,max_drawdown_20,0.014632422487455957,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2023,max_drawdown_20,0.000904873679975951,2,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2024,max_drawdown_20,-0.0018343281895723956,1,['target_position']
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,2025,max_drawdown_20,0.032140429565981544,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2021,return_20,-0.03713970321657313,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2022,return_20,-0.11673250784849451,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2023,return_20,-0.004675503935467264,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2024,return_20,-0.04260076497693004,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2025,return_20,-0.06761581974256382,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2021,max_drawdown_20,-0.009418885875362597,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2022,max_drawdown_20,-0.05151853679510156,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2023,max_drawdown_20,0.008134929338790925,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2024,max_drawdown_20,-0.006974135569393455,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,2025,max_drawdown_20,-0.010350301550915306,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,2021,return_20,-0.007132798978192658,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,2022,return_20,-0.04249717243197175,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,2023,return_20,-0.02123949483356702,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,2024,return_20,0.03653327273456714,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,2025,return_20,,0,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,2021,max_drawdown_20,0.006631172919265307,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,2022,max_drawdown_20,-0.009646319149258759,1,['target_position']
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,2023,max_drawdown_20,0.011405745587032737,1,['target_position']
