factor,event_date
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2021-06-02
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2021-06-04
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2021-06-29
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2022-02-28
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2022-03-11
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2023-02-03
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2023-02-10
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2023-03-30
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2023-04-18
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2023-04-20
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2023-11-08
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2024-04-30
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2024-08-01
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2024-09-26
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2024-10-09
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2024-11-11
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2025-02-24
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2025-02-26
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2025-08-20
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2025-08-22
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,2025-11-07
state__raw__30m__cxt_bs_V240526__di_1__v1::卖点,2023-02-21
state__raw__30m__cxt_bs_V240526__di_1__v1::卖点,2023-08-16
state__raw__30m__cxt_bs_V240526__di_1__v1::卖点,2025-10-14
state__raw__30m__cxt_bs_V240526__di_1__v1::卖点,2025-12-18
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2021-04-02
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2021-05-26
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2021-06-03
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2021-06-28
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2021-07-09
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2022-02-25
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2022-03-10
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2022-04-28
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2022-06-24
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2023-02-02
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2023-04-17
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2023-07-26
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024-01-19
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024-06-12
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024-08-02
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024-09-25
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024-10-08
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024-10-11
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024-11-08
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2024-12-25
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025-04-01
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025-05-30
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025-08-19
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025-08-21
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025-10-09
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025-10-27
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,2025-11-06
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,2021-12-08
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,2022-01-06
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,2023-02-20
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,2024-01-31
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,2024-05-27
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,2025-04-08
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,2025-10-13
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,2025-12-17
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2021-03-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2021-08-16
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2021-09-14
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2021-09-17
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2021-10-13
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2021-12-24
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-01-26
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-02-08
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-02-14
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-03-16
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-04-01
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-04-08
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-04-18
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-04-22
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-08-31
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-09-02
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-09-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-09-21
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2022-12-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-02-28
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-05-08
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-05-10
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-05-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-05-24
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-07-07
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-07-13
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-07-17
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-07-19
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-07-28
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-08-04
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-08-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-09-13
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-10-24
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-11-27
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-11-30
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-12-26
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-01-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-01-18
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-01-23
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-03-29
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-04-09
