factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|满足|任意__age_1_3,state,return_20,1,0.0072606541069727875,raw__30m__cxt_bi_status_V230101,0.5665385438580915
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__v1::向下__age_1_3,state,return_20,-1,-0.005025347584325145,raw__30m__cxt_bi_status_V230101,0.6359123898181095
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|7笔__exit,event,max_drawdown_20,1,0.017956319998713763,raw__daily__cxt_seven_bi_V230620__di_1,0.07988295936383967
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔__onset,event,return_20,-1,-0.012916624427394297,raw__30m__cxt_bi_status_V230101,0.13609324171210532
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔__exit,event,return_20,-1,-0.018681966069628568,raw__30m__cxt_third_buy_V230228__di_1,0.1280971501675114
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔__age_1_3,state,return_20,-1,-0.01622581020191318,raw__30m__cxt_third_buy_V230228__di_1,0.11540823955358182
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否__onset,event,return_20,-1,-0.020232972466923623,raw__daily__cxt_bi_status_V230101,0.04823487960362475
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否__exit,event,return_20,-1,-0.007179287117236718,raw__30m__cxt_third_buy_V230228__di_1,0.08158970062461998
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否__age_1_3,state,return_20,-1,-0.01976270064045173,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.05391048183617778
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::是__exit,event,return_20,-1,-0.019290732254472347,raw__daily__cxt_bi_status_V230101,0.05092524187766
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::是__age_1_3,state,return_20,-1,-0.008232234507549778,raw__30m__cxt_third_buy_V230228__di_1,0.13746120127203734
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::3笔__exit,event,return_20,-1,-0.014048466859160197,target_position,0.050058783907436406
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|中继|任意__onset,event,return_20,1,0.0141672843099791,raw__30m__cxt_bi_status_V230101,0.34895057261800794
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|中继|任意__age_1_3,state,return_20,1,0.0156455029301518,raw__30m__cxt_bi_status_V230101,0.3909479153921128
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|中继|任意__age_1_3,state,return_20,1,0.007562143844869361,raw__30m__cxt_bi_status_V230101,0.3911132675821208
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::中继__onset,event,return_20,1,0.009030444568744977,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.11449261335755044
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::中继__age_1_3,state,return_20,1,0.010730442956724146,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.16259115015818554
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::转折__age_1_3,state,return_20,1,0.00853399792248628,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.08717479817078537
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意__age_1_3,state,return_20,1,0.020980502373018635,raw__daily__cxt_seven_bi_V230620__di_1,0.05393728907728229
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第3次|任意__exit,event,max_drawdown_20,1,0.010234423164800523,raw__30m__cxt_third_buy_V230228__di_1,0.10519857612924244
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新低__onset,event,return_20,-1,-0.009529047539861644,raw__30m__cxt_bi_status_V230101,0.28265244480931023
