factor,reason
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|弱|任意__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|弱|任意__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|弱|任意__age_4_8,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|强|任意__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看多|强|任意__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看空|弱|任意__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看空|弱|任意__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看空|强|任意__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__joint::看空|强|任意__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::nan__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::nan__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::nan__age_1_3,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::nan__age_4_8,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::nan__age_9_plus,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::看多__onset,event_year_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::看多__exit,event_year_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::看空__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v1::看空__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v2::弱__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v2::弱__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v2::强__onset,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230106__di_1__v2::强__exit,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|弱|任意__onset,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|弱|任意__exit,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|弱|任意__age_1_3,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|强|任意__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看多|强|任意__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|弱|任意__onset,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|弱|任意__exit,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|弱|任意__age_1_3,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|强|任意__onset,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__joint::看空|强|任意__exit,event_total_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v1::看多__onset,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v1::看多__exit,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v1::看多__age_1_3,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v1::看空__onset,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v1::看空__exit,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v1::看空__age_1_3,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v2::弱__onset,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v2::弱__exit,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v2::弱__age_1_3,state_active_support
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v2::强__onset,cross_year_direction
dynamic__state__raw__30m__byi_bi_end_V230107__di_1__v2::强__exit,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|其他|任意__onset,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|其他|任意__exit,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|其他|任意__age_1_3,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|满足|任意__onset,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|满足|任意__exit,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|满足|任意__age_4_8,state_active_support
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|其他|任意__onset,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|其他|任意__exit,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|其他|任意__age_1_3,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|满足|任意__onset,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|满足|任意__exit,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|满足|任意__age_1_3,state_influence
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|满足|任意__age_4_8,state_active_support
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__v1::向上__onset,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__v1::向上__exit,cross_year_direction
