factor,endpoint,pass
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,return_20,True
cross__byi_fx_num_V230628__di_1__daily_weekly_divergence,return_20,True
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,return_20,True
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,return_20,True
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,return_20,True
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_bi_end_V230324__di_1__30m_daily_divergence,return_20,True
cross__cxt_bi_end_V230324__di_1__daily_weekly_divergence,return_20,True
cross__cxt_bi_end_V230324__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_bi_end_V230618__di_1__daily_weekly_divergence,return_20,True
cross__cxt_bi_status_V230101__di_1__daily_weekly_divergence,return_20,False
cross__cxt_bi_status_V230102__di_1__30m_daily_divergence,return_20,False
cross__cxt_bi_status_V230102__di_1__daily_weekly_divergence,return_20,True
cross__cxt_bi_status_V230102__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_bi_trend_V230824__di_1__daily_weekly_divergence,max_drawdown_20,False
cross__cxt_bi_trend_V230913__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_decision_V240526__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_decision_V240612__di_1__daily_weekly_divergence,return_20,False
cross__cxt_decision_V240612__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_decision_V240614__di_1__30m_daily_divergence,return_20,False
cross__cxt_decision_V240614__di_1__30m_daily_divergence,max_drawdown_20,True
cross__cxt_decision_V240614__di_1__daily_weekly_divergence,max_drawdown_20,False
cross__cxt_double_zs_V230311__di_1__30m_daily_divergence,max_drawdown_20,True
cross__cxt_double_zs_V230311__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_eleven_bi_V230622__di_1__30m_daily_divergence,max_drawdown_20,True
cross__cxt_first_buy_V221126__di_1__30m_daily_divergence,return_20,False
cross__cxt_first_buy_V221126__di_1__daily_weekly_divergence,return_20,True
cross__cxt_first_sell_V221126__di_1__30m_daily_divergence,return_20,True
cross__cxt_five_bi_V230619__di_1__30m_daily_divergence,return_20,True
cross__cxt_five_bi_V230619__di_1__daily_weekly_divergence,return_20,True
cross__cxt_five_bi_V230619__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_nine_bi_V230621__di_1__30m_daily_divergence,max_drawdown_20,True
cross__cxt_overlap_V240526__di_1__daily_weekly_divergence,return_20,True
cross__cxt_range_oscillation_V230620__di_1__daily_weekly_divergence,return_20,True
cross__cxt_second_bs_V230320__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__cxt_seven_bi_V230620__di_1__30m_daily_divergence,return_20,True
cross__cxt_seven_bi_V230620__di_1__daily_weekly_divergence,return_20,True
cross__cxt_third_buy_V230228__di_1__30m_daily_divergence,return_20,True
cross__cxt_three_bi_V230618__di_1__daily_weekly_divergence,return_20,True
cross__zdy_bi_end_V230406__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__zdy_bi_end_V230407__di_1__daily_weekly_divergence,max_drawdown_20,True
cross__zdy_zs_V230423__di_1__30m_daily_divergence,max_drawdown_20,True
cross__zdy_zs_V230423__di_1__daily_weekly_divergence,max_drawdown_20,False
cross__zdy_zs_space_V230421__di_1__30m_daily_divergence,max_drawdown_20,True
