factor,exact_match,closest_reference,max_abs_correlation
cross__byi_bi_end_V230106__di_1__30m_daily::nan,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.23751628790319612
cross__byi_bi_end_V230106__di_1__30m_daily::看多,False,,0.0
cross__byi_bi_end_V230106__di_1__30m_daily_divergence,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.07813376638647945
cross__byi_bi_end_V230106__di_1__daily_weekly_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.09144276917929887
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07612863974819
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07830589060097679
cross__byi_fx_num_V230628__di_1__30m_daily::向上,False,raw__30m__cxt_bi_status_V230101,0.2514287732182067
cross__byi_fx_num_V230628__di_1__daily_weekly::向上,False,raw__daily__cxt_bi_status_V230101,0.2689321200232362
cross__byi_fx_num_V230628__di_1__all::向上,False,raw__daily__cxt_seven_bi_V230620__di_1,0.1304697848452021
cross__byi_fx_num_V230628__di_1__30m_daily::向下,False,raw__daily__cxt_bi_status_V230101,0.28562728854479097
cross__byi_fx_num_V230628__di_1__daily_weekly::向下,False,raw__daily__cxt_five_bi_V230619__di_1,0.39729085670198055
cross__byi_fx_num_V230628__di_1__all::向下,False,raw__daily__cxt_five_bi_V230619__di_1,0.20897975342181685
cross__byi_fx_num_V230628__di_1__30m_daily_divergence,False,target_position,0.124761448335815
cross__byi_fx_num_V230628__di_1__daily_weekly_divergence,False,raw__weekly__cxt_bi_status_V230101,0.09925486830370915
cross__byi_second_bs_V230324__di_1__30m_daily_divergence,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.12564537906498432
cross__byi_second_bs_V230324__di_1__daily_weekly_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.11238454892595812
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.12265430103132119
cross__byi_symmetry_zs_V221107__di_1__daily_weekly::否,False,raw__daily__cxt_seven_bi_V230620__di_1,0.1343793508891817
cross__byi_symmetry_zs_V221107__di_1__all::否,False,raw__daily__pressure_support_V240406__di_1__w_20,0.13526627940261382
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,False,raw__weekly__cxt_bi_status_V230101,0.14644160407615145
cross__byi_symmetry_zs_V221107__di_1__daily_weekly::是,False,raw__daily__cxt_seven_bi_V230620__di_1,0.15089378860401953
cross__byi_symmetry_zs_V221107__di_1__all::是,False,raw__daily__cxt_five_bi_V230619__di_1,0.08112903905186661
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,False,raw__daily__cxt_seven_bi_V230620__di_1,0.07894248374385746
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,False,raw__daily__pressure_support_V240406__di_1__w_20,0.07391937621897096
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.2982828037585389
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.34026441471157587
cross__cxt_bi_base_V230228__di_1__all::向上,False,raw__30m__cxt_third_buy_V230228__di_1,0.2600471635303401
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.3018094175707946
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.3826318207628086
cross__cxt_bi_base_V230228__di_1__all::向下,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.21395386538200553
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,False,raw__30m__cxt_bi_status_V230101,0.09490106453062966
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,False,raw__daily__cxt_bi_status_V230101,0.11711068003613094
cross__cxt_bi_end_V230104__di_1__30m_daily_divergence,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.0848720466271739
cross__cxt_bi_end_V230104__di_1__daily_weekly_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.0801866353250207
cross__cxt_bi_end_V230105__di_1__30m_daily_divergence,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.0970527108738212
cross__cxt_bi_end_V230105__di_1__daily_weekly_divergence,False,raw__weekly__cxt_bi_status_V230101,0.15510250997239405
cross__cxt_bi_end_V230222__di_1__30m_daily::新低,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.12863599611186272
cross__cxt_bi_end_V230222__di_1__daily_weekly::新低,False,raw__daily__cxt_five_bi_V230619__di_1,0.26926552227173445
cross__cxt_bi_end_V230222__di_1__all::新低,False,raw__daily__cxt_seven_bi_V230620__di_1,0.0828063163165454
cross__cxt_bi_end_V230222__di_1__30m_daily::新高,False,raw__daily__cxt_bi_status_V230101,0.13379606681722014
cross__cxt_bi_end_V230222__di_1__daily_weekly::新高,False,raw__daily__cxt_bi_status_V230101,0.14715170636764366
cross__cxt_bi_end_V230222__di_1__all::新高,False,raw__daily__cxt_seven_bi_V230620__di_1,0.11715287438361355
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,False,target_position,0.10536089761537612
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,False,target_position,0.12088981267751862
cross__cxt_bi_end_V230224__di_1__30m_daily_divergence,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.10462648442135877
