factor,year,endpoint,effect,matched_strata,references
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2021,return_20,-0.03289966353932597,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2022,return_20,-0.01083055410529646,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2023,return_20,0.010373093017235222,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2024,return_20,0.0021334518797486582,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2025,return_20,-0.010616256723234886,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2021,max_drawdown_20,-0.020491814220244053,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2022,max_drawdown_20,-0.01037290642121086,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2023,max_drawdown_20,0.0003069225711347757,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2024,max_drawdown_20,0.0027063627126659045,2,['target_position']
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,2025,max_drawdown_20,0.005064085164592624,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2021,return_20,-0.033040253552128356,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2022,return_20,0.03113846230499559,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2023,return_20,-0.02033260492325727,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2024,return_20,-0.05621689440693552,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2025,return_20,-0.023241505779669686,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2021,max_drawdown_20,-0.01957392063971207,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2022,max_drawdown_20,0.02343119064808746,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2023,max_drawdown_20,-0.02708552481619988,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2024,max_drawdown_20,-0.024955372168047187,2,['target_position']
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,2025,max_drawdown_20,0.017033882568120152,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2021,return_20,0.018039582515908554,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2022,return_20,-0.0394638373659206,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2023,return_20,-0.012737160626223053,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2024,return_20,0.03787461202253577,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2025,return_20,-0.008377995752904936,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2021,max_drawdown_20,0.011854681690000632,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2022,max_drawdown_20,-0.015216443489200615,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2023,max_drawdown_20,0.000631453576549255,2,['target_position']
cross__byi_fx_num_V230628__di_1__30m_daily::向下,2024,max_drawdown_20,-0.01345454253402076,2,['target_position']
