rank,candidate_id,trend_trend_multiplier,trend_volume_multiplier,range_trend_multiplier,range_volume_multiplier,continuous_quality_pass,annual_double_wins,pass,maximin_improvement,drawdown_relative_improvement,calmar_relative_improvement,win_loss_relative_improvement,weight_shift,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count,start,end
1,143,0.75,0.5,1.25,1.25,True,1,False,0.07995657031351985,0.09573213672754961,0.0855800108376495,0.07995657031351985,0.336821429234037,0.7525733759841478,0.12373873350152742,-0.23072279847132016,0.5363090874476745,4.62788041699249,63,18,45,True,0.7246108279462475,0.5272277227722773,127,2021-01-04,2025-12-31
2,293,1.0,0.75,1.25,1.25,True,2,False,0.05372832074329385,0.05372832074329385,0.07039600840575844,0.0884907125749148,0.22353454081733232,0.7822991872239342,0.12767534945726444,-0.24144001884813449,0.5288077348004686,4.664451322650179,63,18,45,True,0.7412455005663339,0.5412541254125413,127,2021-01-04,2025-12-31
3,125,0.75,0.5,0.5,0.5,True,0,False,0.04450925517452133,0.07990804438564682,0.15735721654537974,0.04450925517452133,0.5737171560234613,0.8326688427247031,0.13422870169847823,-0.2347602955633653,0.5717691800326086,4.475979923883671,62,19,43,True,0.7746450158456741,0.5132013201320133,125,2021-01-04,2025-12-31
4,275,1.0,0.75,0.5,0.5,True,1,False,0.038124682464704046,0.038124682464704046,0.13985345868172805,0.05213806387837581,0.46043026760675654,0.8637531721059395,0.13820206549866376,-0.2454212673655174,0.5631217986207893,4.5086712518278125,62,19,43,True,0.7912772204418311,0.5272277227722773,125,2021-01-04,2025-12-31
5,418,1.25,0.75,1.25,1.25,True,1,False,0.00855053156869711,0.02964988184085093,0.00855053156869711,0.035086949302885986,0.2715023310522223,0.7497311615143911,0.1233595730568493,-0.24758360199648144,0.49825421418096355,4.435603017973838,65,19,46,True,0.7209532723108312,0.5379537953795379,131,2021-01-04,2025-12-31
6,400,1.25,0.75,0.5,0.5,True,0,False,0.0032475903769762717,0.014172617549242077,0.07710438466100486,0.0032475903769762717,0.5083980578416465,0.8296967344099015,0.13384600183588446,-0.25153260635136065,0.5321218738890566,4.2991635076146055,64,20,44,True,0.7707129962604136,0.5239273927392739,129,2021-01-04,2025-12-31
7,312,1.0,1.0,1.0,1.0,False,0,False,,,,,0.0,0.7699865045469618,0.1260511266965616,-0.25514873174455033,0.4940299951118762,4.285246781404348,66,20,46,True,0.7342490225522434,0.5363036303630363,133,2021-01-04,2025-12-31
8,318,1.0,1.0,1.25,1.25,False,0,False,,,,,0.09326621394943078,0.7745351987342957,0.12665220527466015,-0.2640974748967364,0.4795661349059921,4.751529677337319,64,18,46,True,0.7360546601180299,0.5453795379537953,129,2021-01-04,2025-12-31
9,462,1.25,1.25,1.0,1.0,False,0,False,,,,,0.09326621394943078,0.7750549679437915,0.12672081147223313,-0.28084045568664506,0.4512199325499782,4.397115256278476,65,19,46,True,0.7308258298146632,0.5528052805280528,131,2021-01-04,2025-12-31
10,317,1.0,1.0,1.25,1.0,False,0,False,,,,,0.09731314326071916,0.7364674781474372,0.12158367795382663,-0.24228427159642585,0.5018224136164694,4.037554140950606,65,20,45,True,0.7165651225508011,0.5206270627062707,131,2021-01-04,2025-12-31
11,437,1.25,1.0,1.0,1.0,False,0,False,,,,,0.09731314326071916,0.75350675024958,0.12386314235913831,-0.2624472482739879,0.4719544334099038,4.182452474829798,66,20,46,True,0.7242551020451456,0.5354785478547854,133,2021-01-04,2025-12-31
12,313,1.0,1.0,1.0,1.25,False,0,False,,,,,0.10763157381111782,0.6634762816186146,0.11161385013645764,-0.28802150986872144,0.3875191480918581,4.671704432640437,70,19,51,True,0.6668917772808775,0.570957095709571,141,2021-01-04,2025-12-31
13,337,1.0,1.25,1.0,1.0,False,0,False,,,,,0.10763157381111782,0.746397971496789,0.12291429288317324,-0.3233107948713664,0.3801737981933958,4.36799875269659,66,19,47,True,0.7105224954800274,0.5561056105610561,133,2021-01-04,2025-12-31
14,187,0.75,1.0,1.0,1.0,False,0,False,,,,,0.1129687887937322,0.6702964913866762,0.11255993251794782,-0.3603245800759858,0.31238482951735075,3.700229026501604,67,21,46,True,0.6636721663006188,0.5594059405940595,135,2021-01-04,2025-12-31
15,307,1.0,1.0,0.75,1.0,False,0,False,,,,,0.1129687887937322,0.7190394385095467,0.11923380328040767,-0.2711674727294636,0.4397054044876687,4.647875977445804,68,19,49,True,0.7004572221882156,0.5742574257425742,137,2021-01-04,2025-12-31
16,323,1.0,1.0,1.5,1.25,False,0,False,,,,,0.12617563245313623,0.7492397916676998,0.12329397330535263,-0.24228427159642585,0.5088814576900148,4.131472224458,66,20,46,True,0.7233561395574135,0.5288778877887789,133,2021-01-04,2025-12-31
17,587,1.5,1.25,1.0,1.0,False,0,False,,,,,0.12617563245313623,0.5876589068982288,0.10088409397670861,-0.302590372149368,0.3334015331026761,3.9918152411046623,69,20,49,True,0.6171115929839551,0.5445544554455446,139,2021-01-04,2025-12-31
18,287,1.0,0.75,1.0,1.0,False,0,False,,,,,0.13026832686790152,0.7777305914819077,0.1270737250230023,-0.23221575584414178,0.5472226660980379,4.207074187224005,65,20,45,True,0.7394493522941492,0.5321782178217822,131,2021-01-04,2025-12-31
19,311,1.0,1.0,1.0,0.75,False,0,False,,,,,0.13026832686790152,0.7856233488263984,0.12811233087922824,-0.24228427159642585,0.5287686651514284,3.9827677269409065,63,20,43,True,0.7462698256804492,0.518976897689769,127,2021-01-04,2025-12-31
20,162,0.75,0.75,1.0,1.0,False,0,False,,,,,0.13136425270438762,0.8238182268451819,0.1330876106573462,-0.2624472482739876,0.5071023283063972,4.334341709515745,65,20,45,True,0.7639666406267203,0.5371287128712872,131,2021-01-04,2025-12-31
21,306,1.0,1.0,0.75,0.75,False,0,False,,,,,0.13136425270438762,0.7904843847421565,0.12875018522146608,-0.25739175819880267,0.5002109862508605,4.61516673343462,65,19,46,True,0.7469680138760314,0.5396039603960396,131,2021-01-04,2025-12-31
22,319,1.0,1.0,1.25,1.5,False,0,False,,,,,0.1415867301839931,0.5603089398102274,0.09691380014151485,-0.3105809202849613,0.3120404178485768,4.421770543851882,70,19,51,True,0.5988165201725717,0.58003300330033,141,2021-01-04,2025-12-31
23,487,1.25,1.5,1.0,1.0,False,0,False,,,,,0.1415867301839931,0.6416534592960059,0.10856585343921354,-0.36287611022124144,0.29918159498849944,4.210600204458269,67,19,48,True,0.6461335510331452,0.5693069306930693,135,2021-01-04,2025-12-31
24,324,1.0,1.0,1.5,1.5,False,0,False,,,,,0.16290911471384178,0.7183081238981894,0.11913478615064466,-0.28741493085961367,0.4145045137158703,4.686012143231109,65,18,47,True,0.7016310718291427,0.5478547854785478,131,2021-01-04,2025-12-31
25,612,1.5,1.5,1.0,1.0,False,0,False,,,,,0.16290911471384178,0.7483776270262619,0.123178835750972,-0.2907393636701544,0.42367443539815663,4.423692336201384,66,19,47,True,0.7147058614992677,0.5561056105610561,133,2021-01-04,2025-12-31
26,212,0.75,1.25,1.0,1.0,False,0,False,,,,,0.1710062116806914,0.46110049017860755,0.08203277045138524,-0.406759743964646,0.20167376852935381,3.4163929274882254,69,21,48,True,0.5271165004867043,0.5759075907590759,139,2021-01-04,2025-12-31
27,308,1.0,1.0,0.75,1.25,False,0,False,,,,,0.1710062116806914,0.39573072313831315,0.0717840047040128,-0.35784595650892026,0.20060029573709434,3.7635776695002385,67,19,48,True,0.4819792245516431,0.6072607260726073,135,2021-01-04,2025-12-31
28,316,1.0,1.0,1.25,0.75,False,0,False,,,,,0.17823611710279152,0.8523320694601941,0.13674830279526184,-0.2247874441711586,0.608344933585963,4.075470950118661,66,21,45,True,0.7867112751522329,0.5107260726072608,133,2021-01-04,2025-12-31
29,412,1.25,0.75,1.0,1.0,False,0,False,,,,,0.17823611710279152,0.7452460479086105,0.1227602511261725,-0.238434046369829,0.5148604110663046,4.02225948904982,67,21,46,True,0.7191189333964645,0.5288778877887789,135,2021-01-04,2025-12-31
30,322,1.0,1.0,1.5,1.0,False,0,False,,,,,0.18201417715085877,0.8304376143518368,0.13394144637477035,-0.2247874441711586,0.5958582200560281,3.967882085089973,65,21,44,True,0.7741912275617363,0.5099009900990099,131,2021-01-04,2025-12-31
31,562,1.5,1.0,1.0,1.0,False,0,False,,,,,0.18201417715085877,0.6282218395751755,0.10667386627939246,-0.287694306573257,0.37078893757054443,3.8844119847980547,69,21,48,True,0.6470754616963338,0.5313531353135313,139,2021-01-04,2025-12-31
32,468,1.25,1.25,1.25,1.25,False,0,False,,,,,0.18653242789886157,0.7796166875920156,0.12732224752359644,-0.28962535925732213,0.43961014964326733,4.904270374936471,63,17,46,True,0.7326321429706079,0.5618811881188119,127,2021-01-04,2025-12-31
33,443,1.25,1.0,1.25,1.25,False,0,False,,,,,0.19057935721014996,0.7580130930616995,0.12446305300579663,-0.27130830606857603,0.4587513549044727,4.636686116972292,64,18,46,True,0.7260797666455774,0.5445544554455446,129,2021-01-04,2025-12-31
34,467,1.25,1.25,1.25,1.0,False,0,False,,,,,0.19057935721014996,0.7414399577850899,0.12225070584977238,-0.27859565192734437,0.43881053061680386,4.156745138780427,64,19,45,True,0.7133246134247224,0.5371287128712872,129,2021-01-04,2025-12-31
35,442,1.25,1.0,1.25,1.0,False,0,False,,,,,0.19462628652143832,0.7202998083308854,0.11940437413511629,-0.24970884211682043,0.47817439351729385,3.9715946135752582,65,20,45,True,0.7065253362740804,0.5198019801980198,131,2021-01-04,2025-12-31
36,314,1.0,1.0,1.0,1.5,False,0,False,,,,,0.19805510972720936,0.4811893798610216,0.08510930814095241,-0.3320904356483081,0.25628352703022517,4.458703549756475,73,19,54,True,0.5436511734555497,0.6014851485148515,147,2021-01-04,2025-12-31
37,362,1.0,1.5,1.0,1.0,False,0,False,,,,,0.19805510972720936,0.6318032860386538,0.10717955639827692,-0.36206046554542526,0.2960266767508474,3.690085453044066,68,21,47,True,0.6375507088456597,0.5750825082508251,137,2021-01-04,2025-12-31
38,343,1.0,1.25,1.25,1.25,False,0,False,,,,,0.20089778776054862,0.7423783387028671,0.12237641468690352,-0.3356776611627025,0.36456526258858746,4.8481456335146405,64,17,47,True,0.7073839941223163,0.566006600660066,129,2021-01-04,2025-12-31
39,463,1.25,1.25,1.0,1.25,False,0,False,,,,,0.20089778776054862,0.6682397465508187,0.11227494877950628,-0.33275084389892096,0.3374144674253984,4.833081722031469,69,18,51,True,0.6645134055904057,0.5874587458745875,139,2021-01-04,2025-12-31
40,342,1.0,1.25,1.25,1.0,False,0,False,,,,,0.20494471707183698,0.7133256517020878,0.11845928908538195,-0.3146699837138236,0.3764556367508973,4.136288910480033,65,19,46,True,0.6930358430064576,0.5404290429042904,131,2021-01-04,2025-12-31
41,438,1.25,1.0,1.0,1.25,False,0,False,,,,,0.20494471707183698,0.6479882085004454,0.10945391828638584,-0.2949979184489171,0.37103284952615445,4.557887335067496,70,19,51,True,0.6570019399507534,0.5701320132013201,141,2021-01-04,2025-12-31
42,193,0.75,1.0,1.25,1.25,False,0,False,,,,,0.20623500274316298,0.6664520191289633,0.11202701408104043,-0.37201499914591885,0.30113574543562704,4.061651294545759,65,19,46,True,0.6606380630048218,0.5693069306930693,131,2021-01-04,2025-12-31
43,457,1.25,1.25,0.75,1.0,False,0,False,,,,,0.20623500274316298,0.7239620119017245,0.11989943365961886,-0.32107648060920846,0.373429512595013,4.795406252232295,67,18,49,True,0.6976196012560058,0.5907590759075908,135,2021-01-04,2025-12-31
44,37,0.5,0.75,1.0,1.0,False,0,False,,,,,0.20764614092526382,0.7542207423177436,0.12395827450038022,-0.3445200602410502,0.3597998746826248,3.409112874551622,68,23,45,True,0.7151615875732623,0.5536303630363036,137,2021-01-04,2025-12-31
45,301,1.0,1.0,0.5,0.75,False,0,False,,,,,0.20764614092526382,0.5448369256630226,0.09464331324121322,-0.33963795700083665,0.278659411559763,3.747354054179876,66,20,46,True,0.5885742402055067,0.5833333333333334,133,2021-01-04,2025-12-31
46,192,0.75,1.0,1.25,1.0,False,0,False,,,,,0.21028193205445136,0.6386653393716752,0.10814600818191367,-0.35215640705978546,0.3070965230615661,3.5029328022366455,66,21,45,True,0.646002466612453,0.5437293729372937,133,2021-01-04,2025-12-31
47,432,1.25,1.0,0.75,1.0,False,0,False,,,,,0.21028193205445136,0.7030340353602171,0.11705906540800193,-0.2783090276602007,0.42060822242145984,4.5356063217202935,68,19,49,True,0.690562944166144,0.5734323432343235,137,2021-01-04,2025-12-31
48,338,1.0,1.25,1.0,1.25,False,0,False,,,,,0.21526314762223564,0.6333319519982357,0.10739513204814166,-0.37600739870886146,0.28561973093326437,4.780038217080793,70,18,52,True,0.6399826867976837,0.5915841584158416,141,2021-01-04,2025-12-31
49,473,1.25,1.25,1.5,1.25,False,0,False,,,,,0.21944184640256703,0.7542488455975294,0.12396201834761733,-0.28048226273774757,0.44196027633848095,4.253891762358401,65,19,46,True,0.7200450812403304,0.5453795379537953,131,2021-01-04,2025-12-31
50,593,1.5,1.25,1.25,1.25,False,0,False,,,,,0.21944184640256703,0.591739036787762,0.1014717385606625,-0.3119928291781874,0.3252374063466353,4.423228823850427,67,18,49,True,0.6191334419965864,0.5536303630363036,135,2021-01-04,2025-12-31
51,188,0.75,1.0,1.0,1.25,False,0,False,,,,,0.22060036260485003,0.5778575404055977,0.09946753913422568,-0.4042105128565686,0.24607855553109048,4.084244482357914,71,20,51,True,0.6038212904447696,0.5957095709570958,143,2021-01-04,2025-12-31
52,332,1.0,1.25,0.75,1.0,False,0,False,,,,,0.22060036260485003,0.6878882330265121,0.11498616648605386,-0.36508986325608883,0.31495305145023406,4.740779590262133,68,18,50,True,0.6728469601906435,0.5948844884488449,137,2021-01-04,2025-12-31
53,448,1.25,1.0,1.5,1.25,False,0,False,,,,,0.2234887757138554,0.7329532030977686,0.12111134628101472,-0.24970884211682043,0.48501024334715237,4.064627880172044,66,20,46,True,0.7133340789226394,0.528052805280528,133,2021-01-04,2025-12-31
54,592,1.5,1.25,1.25,1.0,False,0,False,,,,,0.2234887757138554,0.5575926997960519,0.09651649188037958,-0.29368497680976857,0.3286395270497515,3.797695623264982,68,20,48,True,0.5989761603568827,0.5288778877887789,137,2021-01-04,2025-12-31
55,461,1.25,1.25,1.0,0.75,False,0,False,,,,,0.22353454081733232,0.7907365892724727,0.1287832414936101,-0.26319110065906504,0.4893145747372155,4.089577408241026,62,19,43,True,0.7425865611238655,0.5354785478547854,125,2021-01-04,2025-12-31
56,168,0.75,0.75,1.25,1.25,False,0,False,,,,,0.22463046665381842,0.8285052633541543,0.13369244526363344,-0.27130830606857625,0.4927694518495175,4.806758614424731,63,18,45,True,0.7657142245243904,0.5462046204620462,127,2021-01-04,2025-12-31
57,456,1.25,1.25,0.75,0.75,False,0,False,,,,,0.22463046665381842,0.7956115450585495,0.12942147518038372,-0.3089064908807422,0.4189665125241695,4.738456383353282,64,18,46,True,0.7433414253297286,0.5561056105610561,129,2021-01-04,2025-12-31
58,182,0.75,1.0,0.75,1.0,False,0,False,,,,,0.2259375775874644,0.6305608744043181,0.10700423106233403,-0.393786426361283,0.27173163902851744,4.042964272590597,69,20,49,True,0.6366099204391632,0.599009900990099,139,2021-01-04,2025-12-31
59,292,1.0,0.75,1.25,1.0,False,0,False,,,,,0.22758147012862068,0.7440649118430809,0.12260221926589265,-0.22482152200690442,0.5453313284754271,3.990656946075444,64,20,44,True,0.7217727962294841,0.5165016501650165,129,2021-01-04,2025-12-31
60,436,1.25,1.0,1.0,0.75,False,0,False,,,,,0.22758147012862068,0.7689980050846599,0.1259203414994392,-0.24970884211682043,0.5042686531722026,3.9185175082425436,63,20,43,True,0.7362053017309557,0.5181518151815182,127,2021-01-04,2025-12-31
61,167,0.75,0.75,1.25,1.0,False,0,False,,,,,0.22867739596510678,0.7892797650340242,0.1285922456586983,-0.24970884211682054,0.5149687314578127,4.081469970441708,64,20,44,True,0.7464836414763928,0.5214521452145214,129,2021-01-04,2025-12-31
62,431,1.25,1.0,0.75,0.75,False,0,False,,,,,0.22867739596510678,0.7738137815154975,0.12655695645273957,-0.2629841947628635,0.48123407783824323,4.503843565640914,65,19,46,True,0.7369519885498892,0.5387788778877888,131,2021-01-04,2025-12-31
63,348,1.0,1.25,1.5,1.25,False,0,False,,,,,0.23380720626425405,0.7259277491563965,0.12016482007749119,-0.2958882099772203,0.4061156072651302,4.231754443336727,66,19,47,True,0.6997507100931291,0.5486798679867987,133,2021-01-04,2025-12-31
64,588,1.5,1.25,1.0,1.25,False,0,False,,,,,0.23380720626425405,0.49212037952895193,0.08676948785576966,-0.3537604275366626,0.24527754124442636,4.357975439494638,73,19,54,True,0.551330029018501,0.5792079207920792,147,2021-01-04,2025-12-31
65,469,1.25,1.25,1.25,1.5,False,0,False,,,,,0.2348529441334239,0.5647769788200481,0.097566156375404,-0.35241346847969013,0.2768513836781094,4.591849027140519,69,18,51,True,0.5974540646921785,0.5965346534653465,139,2021-01-04,2025-12-31
66,493,1.25,1.5,1.25,1.25,False,0,False,,,,,0.2348529441334239,0.6378749138619495,0.10803484817418729,-0.3745198986786211,0.28846223806893895,4.673429504346089,65,17,48,True,0.6431322064765502,0.5792079207920792,131,2021-01-04,2025-12-31
67,288,1.0,0.75,1.0,1.25,False,0,False,,,,,0.23789990067901934,0.6707543625000114,0.11262333757077392,-0.2809204203186827,0.400908333552297,4.580279709787,69,19,50,True,0.6719525121323294,0.5668316831683168,139,2021-01-04,2025-12-31
68,336,1.0,1.25,1.0,0.75,False,0,False,,,,,0.23789990067901934,0.7618264242336115,0.12496975518181386,-0.30003574786568077,0.4165162187199107,4.069393974433874,63,19,44,True,0.7220249058455529,0.5387788778877888,127,2021-01-04,2025-12-31
69,444,1.25,1.0,1.25,1.5,False,0,False,,,,,0.23889987344471225,0.5457814234195502,0.0947824313632124,-0.3173362777146328,0.2986813611283557,4.310320084853046,70,19,51,True,0.5890164402470901,0.5792079207920792,141,2021-01-04,2025-12-31
70,492,1.25,1.5,1.25,1.0,False,0,False,,,,,0.23889987344471225,0.6105647331957453,0.10416777504759112,-0.3547405183220168,0.2936449874413063,3.9838425246930624,66,19,47,True,0.6283753487900687,0.5536303630363036,133,2021-01-04,2025-12-31
71,163,0.75,0.75,1.0,1.25,False,0,False,,,,,0.23899582651550544,0.7140686409454944,0.11856011824243406,-0.30923416735772635,0.3833991542897072,4.724441857523115,69,19,50,True,0.69663607600322,0.5717821782178217,139,2021-01-04,2025-12-31
72,331,1.0,1.25,0.75,0.75,False,0,False,,,,,0.23899582651550544,0.7666226773354543,0.12560583265706837,-0.3484418107508621,0.36047864745737207,4.702216023791104,65,18,47,True,0.7228939039555836,0.5594059405940595,131,2021-01-04,2025-12-31
73,198,0.75,1.0,1.5,1.25,False,0,False,,,,,0.23914442124686844,0.6507182846370698,0.10983581252184815,-0.33440196541829936,0.32845444668501234,3.5865737748117206,67,21,46,True,0.6527880640164107,0.551980198019802,135,2021-01-04,2025-12-31
74,582,1.5,1.25,0.75,1.0,False,0,False,,,,,0.23914442124686844,0.54195993520164,0.09421913646775781,-0.34245365333973476,0.2751295994330851,4.3297462225742445,71,19,52,True,0.5846718530207188,0.5825082508250825,143,2021-01-04,2025-12-31
75,186,0.75,1.0,1.0,0.75,False,0,False,,,,,0.24323711566163372,0.6850526299612967,0.11459644145791104,-0.33832263981408406,0.3387193996857094,3.438177381225589,64,21,43,True,0.6748390463027375,0.5420792079207921,129,2021-01-04,2025-12-31
76,282,1.0,0.75,0.75,1.0,False,0,False,,,,,0.24323711566163372,0.7265606206328117,0.12025021060596863,-0.26833921857319554,0.44812760223928166,4.561277389343359,67,19,48,True,0.7055588419922526,0.5701320132013201,135,2021-01-04,2025-12-31
77,137,0.75,0.5,1.0,1.0,False,0,False,,,,,0.24355521528460622,0.7480809768849912,0.1231392092855137,-0.22723365546046226,0.5419056830995681,4.174421990840767,65,20,45,True,0.7227816287980912,0.5181518151815182,131,2021-01-04,2025-12-31
78,305,1.0,1.0,0.75,0.5,False,0,False,,,,,0.24355521528460622,0.8889614319557835,0.1413859541161171,-0.24228427159642585,0.5835539929377851,4.077893916732771,65,21,44,True,0.8061370850995654,0.5148514851485149,131,2021-01-04,2025-12-31
79,157,0.75,0.75,0.75,1.0,False,0,False,,,,,0.24433304149811982,0.7713216753716987,0.12622768705569842,-0.2971483502313199,0.4247968631070455,4.701921163475423,67,19,48,True,0.7300632518102349,0.5750825082508251,135,2021-01-04,2025-12-31
