signal_date,first_execution_date,filled,t1_filled,fill_date,fill_price,wait_sessions,cycle_end_signal_date
2021-01-12,2021-01-13,True,True,2021-01-13 10:00:00,1.434,1,2021-01-28
2021-03-26,2021-03-29,True,True,2021-03-29 10:00:00,1.281,1,2021-04-12
2021-04-16,2021-04-19,True,True,2021-04-19 00:00:00,1.3,1,2021-05-07
2021-05-14,2021-05-17,True,True,2021-05-17 00:00:00,1.326,1,2021-06-16
2021-06-17,2021-06-18,True,True,2021-06-18 00:00:00,1.505,1,2021-07-06
2021-07-07,2021-07-08,True,True,2021-07-08 00:00:00,1.602,1,2021-07-14
2021-07-29,2021-07-30,True,True,2021-07-30 00:00:00,1.626,1,2021-08-09
2021-08-24,2021-08-25,True,True,2021-08-25 00:00:00,1.618,1,2021-08-27
2021-10-15,2021-10-18,True,True,2021-10-18 00:00:00,1.398,1,2021-10-27
2021-10-29,2021-11-01,True,True,2021-11-01 10:00:00,1.431,1,2021-12-02
2021-12-03,2021-12-06,True,True,2021-12-06 00:00:00,1.482,1,2021-12-08
2021-12-10,2021-12-13,True,True,2021-12-13 00:00:00,1.484,1,2021-12-15
2021-12-17,2021-12-20,True,True,2021-12-20 00:00:00,1.438,1,2021-12-27
2021-12-30,2021-12-31,True,False,2022-01-04 00:00:00,1.435,2,2022-01-05
2022-01-17,2022-01-18,True,True,2022-01-18 00:00:00,1.372,1,2022-01-20
2022-02-23,2022-02-24,True,True,2022-02-24 00:00:00,1.259,1,2022-03-03
2022-03-21,2022-03-22,True,True,2022-03-22 00:00:00,1.178,1,2022-03-24
2022-05-05,2022-05-06,True,True,2022-05-06 00:00:00,0.955,1,2022-06-22
2022-06-24,2022-06-27,True,True,2022-06-27 10:30:00,1.137,1,2022-07-05
2022-07-06,2022-07-07,True,True,2022-07-07 00:00:00,1.136,1,2022-07-11
2022-07-21,2022-07-22,True,True,2022-07-22 10:00:00,1.13,1,2022-08-19
2022-10-17,2022-10-18,True,True,2022-10-18 10:00:00,0.99,1,2022-11-21
2022-12-02,2022-12-05,True,True,2022-12-05 10:00:00,1.04,1,2022-12-07
2022-12-12,2022-12-13,True,True,2022-12-13 00:00:00,1.028,1,2022-12-15
2022-12-27,2022-12-28,True,True,2022-12-28 00:00:00,0.984,1,2023-01-13
2023-01-18,2023-01-19,True,True,2023-01-19 00:00:00,1.028,1,2023-02-16
2023-03-01,2023-03-02,True,True,2023-03-02 10:00:00,1.018,1,2023-03-07
2023-03-09,2023-03-10,True,True,2023-03-10 00:00:00,1.016,1,2023-03-16
2023-03-17,2023-03-20,True,True,2023-03-20 00:00:00,1.037,1,2023-04-21
2023-04-28,2023-05-04,True,True,2023-05-04 00:00:00,1.104,1,2023-05-08
2023-05-15,2023-05-16,True,True,2023-05-16 00:00:00,1.048,1,2023-05-23
2023-05-25,2023-05-26,True,True,2023-05-26 10:00:00,1.044,1,2023-06-06
2023-06-07,2023-06-08,True,True,2023-06-08 00:00:00,1.041,1,2023-07-05
2023-07-31,2023-08-01,True,True,2023-08-01 00:00:00,0.993,1,2023-08-08
2023-08-30,2023-08-31,True,True,2023-08-31 00:00:00,0.959,1,2023-09-07
2023-09-27,2023-09-28,True,True,2023-09-28 00:00:00,0.903,1,2023-10-16
2023-10-27,2023-10-30,True,True,2023-10-30 00:00:00,0.88,1,2023-11-22
2023-12-08,2023-12-11,True,True,2023-12-11 00:00:00,0.882,1,2023-12-15
2023-12-28,2023-12-29,True,True,2023-12-29 00:00:00,0.869,1,2024-01-04
2024-02-07,2024-02-08,True,False,2024-02-19 10:00:00,0.77,2,2024-03-14
2024-03-18,2024-03-19,True,True,2024-03-19 00:00:00,0.843,1,2024-03-21
2024-04-18,2024-04-19,True,True,2024-04-19 00:00:00,0.759,1,2024-04-23
2024-04-24,2024-04-25,True,True,2024-04-25 00:00:00,0.753,1,2024-05-15
2024-05-31,2024-06-03,True,True,2024-06-03 00:00:00,0.761,1,2024-06-25
2024-07-10,2024-07-11,True,False,2024-07-12 00:00:00,0.732,2,2024-07-24
2024-07-31,2024-08-01,True,True,2024-08-01 10:00:00,0.763,1,2024-08-05
2024-09-24,2024-09-25,True,True,2024-09-25 14:00:00,0.684,1,2024-10-30
2024-11-05,2024-11-06,True,True,2024-11-06 10:00:00,1.019,1,2024-11-15
2024-12-02,2024-12-03,True,True,2024-12-03 00:00:00,1.041,1,2024-12-05
2024-12-10,2024-12-11,True,True,2024-12-11 00:00:00,1.034,1,2024-12-13
2024-12-20,2024-12-23,True,True,2024-12-23 00:00:00,1.035,1,2024-12-31
2025-01-14,2025-01-15,True,True,2025-01-15 00:00:00,1.002,1,2025-03-11
2025-03-27,2025-03-28,True,True,2025-03-28 00:00:00,1.062,1,2025-04-01
2025-04-11,2025-04-14,True,True,2025-04-14 10:00:00,1.035,1,2025-04-18
2025-04-21,2025-04-22,True,True,2025-04-22 00:00:00,1.04,1,2025-04-24
2025-05-07,2025-05-08,True,True,2025-05-08 00:00:00,1.05,1,2025-05-12
2025-05-14,2025-05-15,True,True,2025-05-15 00:00:00,1.036,1,2025-05-19
2025-06-05,2025-06-06,True,True,2025-06-06 00:00:00,1.023,1,2025-06-10
2025-06-24,2025-06-25,True,True,2025-06-25 10:00:00,1.003,1,2025-09-08
2025-09-10,2025-09-11,True,True,2025-09-11 00:00:00,1.285,1,2025-10-14
2025-10-24,2025-10-27,True,True,2025-10-27 10:30:00,1.501,1,2025-10-30
2025-12-01,2025-12-02,True,True,2025-12-02 00:00:00,1.3681435,1,2025-12-04
2025-12-05,2025-12-08,True,False,2025-12-09 00:00:00,1.3792502000000002,2,2025-12-11
2025-12-12,2025-12-15,True,True,2025-12-15 00:00:00,1.3742017,1,
