candidate_id,first_front_count,mean_pareto_layer,worst_pareto_layer
0,0,15.4,32
1,0,21.4,30
2,0,24.0,36
3,0,24.0,26
4,0,18.6,38
5,0,35.0,47
6,0,20.6,29
7,0,24.8,37
8,0,30.4,34
9,0,20.2,27
10,0,15.8,27
11,0,30.4,46
12,0,26.0,40
13,0,26.8,34
14,0,32.0,47
15,0,35.8,42
16,0,22.8,28
17,0,25.0,33
18,0,24.0,40
19,0,14.6,20
20,0,14.6,19
21,0,25.0,29
22,0,26.0,33
23,0,21.2,26
24,0,24.4,39
25,0,21.2,30
26,0,24.4,36
27,0,17.4,37
28,0,16.6,24
29,0,17.8,28
30,0,31.4,45
31,1,23.8,43
32,0,23.6,27
33,0,29.4,41
34,0,29.0,42
35,0,25.8,43
36,2,5.8,16
38,0,31.6,42
39,0,14.8,29
40,0,27.0,33
41,0,22.6,29
42,0,21.4,28
43,0,12.4,26
44,0,18.8,39
45,0,23.8,39
46,0,25.6,31
47,0,18.4,30
48,0,22.8,33
49,0,24.8,41
50,0,14.2,15
51,0,33.2,40
52,0,20.6,31
53,0,18.6,23
54,0,29.2,40
55,0,27.6,41
56,0,20.6,23
57,0,21.4,25
58,0,28.0,42
59,0,24.0,30
60,0,23.6,26
61,0,26.4,39
62,0,26.8,36
63,0,32.6,45
64,0,27.8,32
65,0,19.0,28
66,0,29.2,41
67,0,18.6,35
68,0,29.2,44
69,0,29.2,41
70,0,25.8,30
71,0,26.8,34
72,0,24.4,37
73,0,10.0,16
74,0,18.0,22
75,0,25.6,33
76,1,19.0,38
77,0,32.4,38
78,0,27.0,39
79,0,20.0,25
80,0,19.0,25
81,0,27.0,30
82,0,18.2,34
83,0,33.0,39
84,0,30.8,45
85,0,21.2,39
86,0,33.0,46
87,0,21.2,27
88,0,24.6,42
89,0,17.2,34
90,0,21.4,27
91,0,30.6,43
92,0,29.4,35
93,0,30.6,36
94,0,21.4,34
95,0,26.0,44
96,0,25.8,36
97,0,26.4,44
98,0,24.6,42
99,0,20.4,39
100,0,21.4,26
101,0,25.4,39
102,0,27.0,35
103,0,25.6,38
104,0,21.4,32
105,0,20.6,32
106,0,28.0,41
107,0,18.0,30
108,0,32.0,41
109,0,23.8,38
110,0,24.2,28
111,0,20.0,29
112,0,21.8,29
113,0,16.2,24
114,0,11.4,14
115,0,23.0,27
116,0,15.0,22
117,0,30.0,40
118,0,18.6,25
119,0,27.6,40
120,0,22.8,27
121,0,25.6,35
122,0,22.2,35
123,0,15.6,18
124,0,27.4,40
125,0,28.4,39
126,0,28.0,37
127,0,26.4,32
128,0,26.0,39
129,0,22.2,37
130,0,32.0,45
131,0,20.4,28
132,0,31.8,40
133,0,30.2,37
134,0,26.2,34
135,0,18.4,34
136,0,11.4,15
137,0,21.4,36
138,0,30.2,42
139,0,14.0,23
140,0,13.2,18
141,0,26.8,36
142,0,10.2,23
143,0,34.8,40
144,0,23.0,40
145,0,19.2,22
146,0,33.6,38
147,0,27.4,35
148,0,16.4,21
149,0,32.0,45
150,0,22.4,25
151,0,24.8,31
152,0,27.0,41
153,0,23.8,36
154,0,34.0,48
155,0,23.8,28
156,0,22.4,37
157,0,28.8,36
158,0,29.0,43
159,0,22.2,27
160,0,21.0,28
161,0,26.4,42
162,0,22.4,31
163,0,20.4,30
164,0,29.0,37
165,0,28.2,36
166,0,21.6,24
167,0,30.2,45
168,0,21.4,30
169,0,20.6,27
170,0,14.4,25
171,0,18.8,29
172,0,18.2,26
173,0,31.8,41
174,0,34.6,43
175,0,20.2,28
176,0,18.6,24
177,0,27.2,36
178,0,26.0,31
179,0,25.8,33
180,0,17.2,25
181,0,15.4,24
182,0,25.2,40
183,0,18.8,24
184,0,33.6,44
185,0,14.2,21
186,0,18.8,21
187,0,23.6,33
188,0,19.8,26
189,0,25.2,30
190,0,26.8,34
191,0,35.2,48
192,0,21.2,27
193,0,11.8,14
194,0,23.6,26
195,0,16.6,20
196,0,31.2,43
197,0,18.2,26
198,0,27.4,32
199,0,24.0,27
200,0,20.4,24
201,0,29.8,44
202,0,22.0,35
203,0,13.6,17
204,0,21.8,33
205,0,21.8,40
206,0,20.2,31
207,0,29.4,37
208,0,21.0,36
209,0,32.0,45
210,0,14.0,21
211,0,16.2,20
212,0,18.4,31
213,0,9.4,18
214,0,29.0,46
215,0,21.8,29
216,0,26.4,38
217,0,24.2,31
218,0,20.8,31
219,0,29.6,36
220,0,21.0,28
221,0,20.4,25
222,0,27.2,45
223,0,24.2,41
224,0,22.8,37
225,0,33.0,46
226,0,27.2,37
227,0,30.6,42
228,0,29.8,41
229,0,24.0,36
230,0,32.4,46
231,0,13.2,14
232,0,22.0,29
233,0,24.0,34
234,0,17.8,21
235,0,28.4,32
236,0,27.4,33
237,0,27.2,38
238,0,21.8,33
239,0,23.8,34
240,0,23.4,27
241,0,22.2,26
242,0,28.4,37
243,0,26.2,39
244,0,13.6,20
245,0,21.8,27
246,0,20.6,28
247,0,15.4,30
248,0,16.2,28
249,0,22.6,25
250,0,15.2,18
251,0,24.0,37
252,0,26.8,38
253,0,18.2,22
254,0,28.4,44
255,0,13.0,19
256,0,24.4,33
260,0,11.4,17
261,0,35.4,42
262,0,19.0,29
263,0,18.2,23
265,0,28.6,41
267,0,23.4,41
268,0,32.0,38
270,0,27.8,33
272,0,13.8,17
274,0,25.8,38
275,0,30.8,45
276,0,24.0,28
277,0,21.6,27
278,0,19.2,37
280,0,35.8,45
281,0,37.8,47
283,0,20.6,30
284,0,14.6,22
287,0,27.6,33
288,0,18.2,31
294,0,16.6,32
297,0,30.4,36
299,0,19.2,30
303,0,14.6,22
305,0,27.8,42
307,0,21.6,31
308,0,18.2,23
309,0,31.8,40
311,0,15.2,20
313,0,26.4,30
314,0,14.6,19
315,0,26.4,31
316,0,21.4,34
317,0,20.0,25
319,0,24.0,30
321,0,17.8,31
322,0,26.4,32
323,0,13.6,17
327,0,20.6,28
330,0,24.6,32
338,0,26.8,38
341,0,18.2,22
342,0,23.6,38
345,0,22.6,34
347,0,33.2,44
348,0,26.4,40
349,0,23.4,33
350,0,15.4,21
351,0,26.4,31
353,0,29.4,43
355,0,31.6,40
358,0,23.6,28
359,0,17.0,21
360,0,31.4,45
365,0,29.4,45
366,0,25.4,36
367,0,28.2,37
368,0,29.0,37
373,0,36.6,47
375,0,19.8,24
378,0,19.0,23
380,0,15.6,23
382,0,17.4,24
384,0,25.8,32
387,0,15.6,20
388,0,15.8,26
391,0,20.4,27
392,0,17.8,26
393,0,34.8,43
394,0,21.0,33
398,0,26.0,33
399,0,37.0,47
400,0,16.4,31
401,0,12.6,21
403,0,32.0,40
404,0,38.6,48
406,0,21.2,25
408,0,27.6,43
409,0,35.0,40
411,0,16.6,23
413,0,37.6,47
414,1,18.4,27
415,0,17.8,21
416,0,28.4,42
417,0,29.2,47
421,0,32.8,48
422,0,32.8,42
425,0,37.0,46
426,0,22.0,30
427,0,30.4,42
428,0,36.2,48
429,0,17.4,23
431,0,27.4,43
433,0,14.2,26
435,0,36.4,46
437,0,18.8,21
439,0,21.4,33
441,0,28.2,39
442,0,21.0,35
443,0,38.6,45
444,0,19.2,25
445,1,10.2,17
446,0,25.0,31
449,0,21.2,25
450,0,17.2,23
454,0,28.8,43
456,0,20.2,34
457,0,21.0,31
458,0,12.2,20
459,0,37.2,48
461,0,17.4,28
462,0,25.6,31
464,0,31.6,42
466,0,16.4,21
468,0,20.0,27
469,0,17.0,22
473,0,19.8,29
474,0,27.6,38
475,0,29.8,42
478,0,24.2,32
479,0,26.8,37
481,0,13.4,26
482,0,24.0,44
483,0,21.0,33
484,0,24.8,36
490,0,17.8,22
495,0,5.6,8
496,0,20.4,27
498,0,14.6,23
499,0,26.2,38
500,0,31.2,43
501,0,19.8,33
502,0,20.0,29
503,0,16.2,31
504,0,10.8,17
506,0,21.0,35
507,0,28.0,46
508,0,15.6,23
509,0,30.6,39
511,0,11.8,23
512,0,15.2,20
513,0,17.2,30
514,0,25.8,38
515,0,15.8,25
516,0,24.2,34
517,0,16.2,22
518,0,19.0,26
519,0,13.2,23
520,0,15.2,20
521,0,20.2,34
522,0,34.4,41
523,0,35.6,45
524,0,34.0,44
525,0,33.0,39
526,0,16.4,25
527,0,21.4,36
528,0,37.0,49
529,0,29.6,37
530,0,23.8,40
531,0,32.2,42
532,0,13.0,25
533,0,17.6,21
534,0,23.2,30
535,0,25.8,37
536,0,22.2,28
537,0,20.4,31
538,0,17.8,28
539,1,12.0,20
540,0,22.6,24
541,0,16.0,25
542,0,24.8,37
543,0,19.0,32
544,0,22.4,38
545,0,30.2,35
546,0,34.8,45
547,0,22.8,29
548,0,20.6,26
549,0,33.6,46
550,0,32.6,41
551,0,24.4,31
552,0,21.2,31
553,0,29.8,41
555,0,21.8,27
556,1,6.4,13
557,0,25.2,31
558,0,36.2,46
559,0,28.0,39
560,0,29.6,38
561,0,19.8,25
562,0,26.2,45
563,0,24.4,32
564,0,22.4,38
566,0,27.2,38
567,0,32.0,43
568,0,19.6,28
569,0,28.0,31
570,0,34.6,45
571,0,27.0,41
572,0,18.6,22
573,0,29.4,35
574,0,27.2,32
575,0,27.6,44
576,0,17.0,21
577,0,35.2,41
578,0,31.0,39
579,0,20.4,24
580,0,17.2,22
581,0,32.0,40
582,0,30.6,36
583,0,17.4,25
584,0,16.0,19
585,0,12.4,18
586,0,22.4,32
587,0,34.8,44
588,0,9.0,19
589,0,14.4,23
590,0,38.4,49
591,0,27.6,36
592,0,29.0,41
593,0,22.4,40
594,0,10.2,17
595,0,12.2,16
596,0,21.6,43
597,0,34.2,45
598,0,27.4,36
599,0,18.6,34
600,0,29.6,39
601,0,21.8,29
602,0,34.0,40
603,0,36.2,42
604,0,27.4,41
605,0,34.2,43
606,0,25.2,35
607,0,25.6,34
608,0,35.2,45
609,0,29.0,42
610,0,18.0,35
611,0,21.2,36
612,0,35.2,48
613,0,25.8,34
614,0,21.0,32
615,0,25.2,45
616,0,18.8,23
617,0,28.2,35
618,0,15.2,19
619,0,22.8,39
620,0,22.2,29
621,0,25.2,30
622,0,25.2,42
623,0,25.0,40
624,0,22.8,38
625,0,14.4,19
626,0,20.2,30
627,0,33.0,46
628,0,19.2,37
629,0,31.6,40
630,0,22.4,31
631,0,24.4,29
632,0,12.8,17
633,0,30.0,40
634,0,16.6,19
635,0,17.0,23
636,0,21.2,26
637,0,35.0,43
638,0,26.2,36
639,0,24.2,34
640,0,21.0,39
641,0,17.4,33
642,0,36.6,47
643,1,21.0,45
644,0,18.0,32
645,0,27.4,37
646,0,24.0,29
647,0,25.0,43
648,0,25.0,42
649,0,31.2,40
650,0,18.6,23
651,0,29.2,41
652,0,31.6,42
653,0,24.6,34
654,0,31.4,45
655,0,28.6,44
656,0,18.0,26
657,0,38.0,44
658,0,32.8,46
659,0,14.4,18
660,0,25.6,38
661,0,31.6,35
662,0,35.2,42
663,0,11.6,16
664,0,23.0,29
665,0,19.2,29
666,0,32.0,45
667,0,29.8,44
668,0,29.6,40
669,0,33.6,45
670,0,29.2,42
671,0,30.6,48
673,0,24.2,33
674,0,25.4,37
675,0,28.0,39
676,0,11.8,16
677,0,34.8,47
678,0,34.0,45
679,0,32.2,44
680,0,20.4,23
681,0,27.4,33
682,0,20.6,27
683,0,14.4,20
684,0,33.6,43
685,0,23.2,39
686,0,16.0,25
687,0,32.0,44
688,0,19.0,37
689,0,29.4,38
690,0,30.4,44
691,0,22.6,37
692,0,24.6,38
693,0,13.4,20
694,0,25.8,39
695,0,29.0,45
696,0,13.4,27
697,0,27.4,34
698,0,18.4,27
699,0,24.8,40
700,0,32.2,44
701,0,16.2,23
702,0,36.0,44
703,0,27.4,44
704,0,30.4,36
705,0,10.2,15
706,0,23.4,35
707,0,34.2,41
708,0,29.6,44
709,0,25.4,29
710,0,28.6,41
711,0,30.4,39
712,0,27.6,34
713,0,15.4,17
714,0,24.6,32
715,0,28.2,34
716,0,27.0,32
717,0,33.8,46
718,0,18.2,33
719,0,16.4,26
720,0,35.2,47
721,0,26.2,33
722,0,24.4,40
723,0,16.8,20
724,0,15.4,22
725,0,25.6,32
726,0,27.4,33
727,0,31.2,36
728,0,28.6,37
729,0,30.0,35
730,0,19.8,29
731,0,30.4,35
733,0,31.0,38
734,0,31.6,44
735,0,18.8,26
736,0,16.4,20
737,0,23.2,35
738,0,36.2,46
739,0,19.4,21
740,0,24.2,36
741,0,18.6,22
742,0,27.8,38
743,0,27.8,41
744,0,26.6,37
745,0,28.8,45
746,0,31.6,41
747,0,19.0,27
748,0,34.2,48
