candidate_id,eligible,target_achieved,worst_scores,pareto_layer,median_score,turnover,parameter_distance,reason_codes
R1102,True,True,"{'net_cagr': 1.002469707934521, 'max_drawdown': -0.015627295901859968, 'calmar': 1.248989427807988, 'profit_factor': 1.0729422150081864}",1,1.0377059614713537,200.31766685123,0.7971992629139941,[]
R0539,True,True,"{'net_cagr': 0.9436848687956669, 'max_drawdown': -0.000375592012895651, 'calmar': 0.9430683494353748, 'profit_factor': 1.2766102899536182}",1,0.9433766091155209,191.18317724186,0.6819160929481258,[]
R1319,True,True,"{'net_cagr': 0.41446081528071604, 'max_drawdown': -6.779589282586216e-05, 'calmar': 0.31195109475797866, 'profit_factor': 2.4973262662305524}",1,0.3632059550193474,174.79111978721005,0.7282571812956894,[]
R1077,True,True,"{'net_cagr': 0.16261071540452238, 'max_drawdown': -6.779589282586216e-05, 'calmar': 0.16250736896545845, 'profit_factor': 2.2169814222562176}",2,0.1625590421849904,178.36342433809,0.7257662307092049,[]
R1353,True,True,"{'net_cagr': -0.6329359728394673, 'max_drawdown': -6.779589282586216e-05, 'calmar': -0.6330312291411, 'profit_factor': 2.426506918277238}",2,-0.3165018843661466,190.21917754722003,0.6432204435844342,[]
R1297,True,True,"{'net_cagr': 0.16261071540452238, 'max_drawdown': -0.6045933240274807, 'calmar': 0.16250736896545845, 'profit_factor': 1.9950512907001254}",3,0.1625590421849904,189.30053232609998,0.7802772858560009,[]
R1091,True,True,"{'net_cagr': 0.11543969958939157, 'max_drawdown': -0.14450048126549161, 'calmar': 0.11486983994088786, 'profit_factor': 1.1411450104794605}",3,0.11515476976513972,175.76851272646,0.6790624130939785,[]
R0004,True,True,"{'net_cagr': -0.2979113071743085, 'max_drawdown': -0.4814467381707539, 'calmar': -0.2984578804342395, 'profit_factor': 0.2467301578430245}",4,-0.298184593804274,174.49177251844,0.27032365861440866,[]
R1327,True,True,"{'net_cagr': -0.48385989750722863, 'max_drawdown': -0.3524680815331029, 'calmar': -0.4839566698052893, 'profit_factor': 0.8181961968626345}",4,-0.41816398952016576,191.93040705722,0.6946112233890342,[]
R1351,True,True,"{'net_cagr': -0.9759306235396733, 'max_drawdown': -0.5909737910315797, 'calmar': -0.9761413912690005, 'profit_factor': 0.7540584851948793}",5,-0.7834522072856265,209.01003479027997,0.6878382235839096,[]
R1101,True,False,"{'net_cagr': -0.2979113071743085, 'max_drawdown': -0.000375592012895651, 'calmar': -0.2984578804342395, 'profit_factor': 0.6268224234086952}",,-0.1491434495936021,213.31640368267,0.6508289082961194,[]
R0512,False,True,"{'net_cagr': -1.390966249784409, 'max_drawdown': -0.00015571145963594394, 'calmar': -1.3911673238696722, 'profit_factor': 1.0511098183777434}",,-0.6955609806220225,190.26754357499,0.6500915572781362,"['NONINFERIORITY_NET_CAGR_2026_YTD', 'NONINFERIORITY_CALMAR_2026_YTD']"
