candidate_id,outcome,representative_candidate_id,failed_count,reason_codes
R0001,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0002,SCREENING_NONINFERIORITY,,5,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0003,SCREENING_NONINFERIORITY,,8,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_NET_CAGR_2024;NONINFERIORITY_CALMAR_2024;NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0004,SHORTLISTED,,0,
R0005,SCREENING_NONINFERIORITY,,15,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_MAX_DRAWDOWN_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_PROFIT_FACTOR_FULL;NONINFERIORITY_NET_CAGR_2021;NONINFERIORITY_MAX_DRAWDOWN_2021;NONINFERIORITY_CALMAR_2021;NONINFERIORITY_NET_CAGR_2023;NONINFERIORITY_CALMAR_2023;NONINFERIORITY_NET_CAGR_2024;NONINFERIORITY_CALMAR_2024;NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0006,SCREENING_NONINFERIORITY,,5,NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0007,SCREENING_NONINFERIORITY,,7,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_NET_CAGR_2023;NONINFERIORITY_CALMAR_2023;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0008,SCREENING_NONINFERIORITY,,14,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_MAX_DRAWDOWN_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_PROFIT_FACTOR_FULL;NONINFERIORITY_NET_CAGR_2021;NONINFERIORITY_CALMAR_2021;NONINFERIORITY_NET_CAGR_2023;NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_CALMAR_2023;NONINFERIORITY_NET_CAGR_2024;NONINFERIORITY_CALMAR_2024;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0009,SCREENING_NONINFERIORITY,,8,NONINFERIORITY_NET_CAGR_2022;NONINFERIORITY_CALMAR_2022;NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0010,SCREENING_NONINFERIORITY,,7,NONINFERIORITY_NET_CAGR_2021;NONINFERIORITY_CALMAR_2021;NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0011,SCREENING_NONINFERIORITY,,17,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_MAX_DRAWDOWN_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_PROFIT_FACTOR_FULL;NONINFERIORITY_NET_CAGR_2021;NONINFERIORITY_MAX_DRAWDOWN_2021;NONINFERIORITY_CALMAR_2021;NONINFERIORITY_NET_CAGR_2023;NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_CALMAR_2023;NONINFERIORITY_NET_CAGR_2024;NONINFERIORITY_CALMAR_2024;NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0012,SCREENING_NONINFERIORITY,,17,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_MAX_DRAWDOWN_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_PROFIT_FACTOR_FULL;NONINFERIORITY_NET_CAGR_2021;NONINFERIORITY_MAX_DRAWDOWN_2021;NONINFERIORITY_CALMAR_2021;NONINFERIORITY_NET_CAGR_2023;NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_CALMAR_2023;NONINFERIORITY_NET_CAGR_2024;NONINFERIORITY_CALMAR_2024;NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0013,SCREENING_NONINFERIORITY,,15,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_MAX_DRAWDOWN_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_PROFIT_FACTOR_FULL;NONINFERIORITY_NET_CAGR_2021;NONINFERIORITY_MAX_DRAWDOWN_2021;NONINFERIORITY_CALMAR_2021;NONINFERIORITY_NET_CAGR_2023;NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_NET_CAGR_2024;NONINFERIORITY_MAX_DRAWDOWN_2024;NONINFERIORITY_CALMAR_2024;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R0014,SCREENING_NONINFERIORITY,,12,NONINFERIORITY_NET_CAGR_FULL;NONINFERIORITY_MAX_DRAWDOWN_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_PROFIT_FACTOR_FULL;NONINFERIORITY_NET_CAGR_2021;NONINFERIORITY_MAX_DRAWDOWN_2021;NONINFERIORITY_CALMAR_2021;NONINFERIORITY_NET_CAGR_2024;NONINFERIORITY_CALMAR_2024;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
